"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"33029",281,"BAGHMARA","GEN",122402,"DURYODHAN RAWANI","SWJP",1479,7,0.0120831358964723
"34000",284,"DHANBAD","GEN",153608,"BISHWANATH BAGI","SWJP",1345,7,0.00875605437216812
"34045",227,"DINARA","GEN",127887,"JANAKI BHAGAT","SWJP",1000,6,0.00781940306676988
"34242",15,"GHORASAHAN","GEN",106259,"RAM PUKAR SINHA","SWJP",668,8,0.00628652631777073
"34510",198,"HILSA","GEN",148521,"NAWAL PRASAD SINHA","SWJP",78,12,0.000525178257620134
"35600",12,"MOTIHARI","GEN",137657,"VED PRAKASH ARYA","SWJP",56,16,0.000406808226243489
"35835",53,"PARU","GEN",123026,"JUNAID AHMAD","SWJP",433,7,0.00351958122673256
"36134",220,"RAJPUR","SC",90502,"RAJENDRA PRABHAKAR","SWJP",124,16,0.00137013546661952
"36548",67,"SITAMARHI","GEN",151348,"OM PRAKASH","SWJP",894,8,0.00590691651029416
"36734",280,"TUNDI","GEN",105100,"SHAMIM AHMAD","SWJP",353,10,0.00335870599429115
