"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"40015",136,"AMOUR","GEN",85705,"AFAQUE ALAM","BJP",11720,3,0.136748147716003
"40022",130,"ARARIA","GEN",110253,"PRADEEP KUMAR SINGH","BJP",36089,1,0.327328961570207
"40026",198,"ARRAH","GEN",113344,"AMARENDRA PRATAP SINGH","BJP",53489,1,0.471917348955392
"40049",224,"ARWAL","GEN",89351,"RANJEET KUMAR","BJP",25371,2,0.283947577531309
"40069",238,"ATRI","GEN",83306,"VIRENDRA SINGH","BJP",29238,2,0.350971118526877
"40084",220,"AURANGABAD","GEN",117788,"RAMADHAR SINGH","BJP",55813,1,0.473842836282134
"40095",107,"BACHWARA","GEN",102280,"AMRENDRA KUMAR AMAR","BJP",10026,4,0.0980250293312476
"40123",85,"BAHERA","GEN",86936,"RAM NARAYAN THAKUR","BJP",31096,2,0.357688414465814
"40144",137,"BAISI","GEN",94247,"SANTOSH KUMAR","BJP",23623,3,0.250649888060097
"40147",109,"BAKHRI","SC",90405,"KAMAL DEO CHAUPAL","BJP",17076,3,0.188883358221337
"40161",185,"BAKHTIARPUR","GEN",88912,"VINODE YADAV","BJP",35774,1,0.402352888249055
"40186",156,"BANKA","GEN",94808,"RAM NARAYAN MANDAL","BJP",44470,1,0.469053244451945
"40190",126,"BANMANKHI","SC",81589,"KRISHNA KUMAR RISHI","BJP",38140,1,0.467464976896395
"40206",141,"BARARI","GEN",104698,"BIBHASH CHANDRA CHOUDHARY","BJP",38493,1,0.367657452864429
"40216",25,"BARAULI","GEN",97446,"RAM PRAVESH RAI","BJP",38235,1,0.392371159411366
"40225",106,"BARAUNI","GEN",96342,"SURENDRA MEHTA","BJP",29145,2,0.302516036619543
"40255",144,"BARSOI","GEN",119617,"DULAL CHANDRA GOSWAMI","BJP",38035,2,0.317973197789612
"40287",27,"BASANTPUR","GEN",100170,"SRI SATYADEO PRASAD SINGH","BJP",33137,2,0.330807627034042
"40304",105,"BEGUSARAI","GEN",109670,"BHOLA SINGH","BJP",39768,1,0.362615118081517
"40314",229,"BELAGANJ","GEN",73798,"KRISHNA KUMAR SINGH","BJP",2325,5,0.0315049188324887
"40346",8,"BETTIAH","GEN",115271,"RENU DEVI","BJP",55184,1,0.478732725490366
"40349",212,"BHABHUA","GEN",128122,"ANAND BHUSHAN PANDEY","BJP",31950,2,0.249371692605485
"40359",150,"BHAGALPUR","GEN",92385,"ASHWINI KUMAR CHOUBEY","BJP",53698,1,0.581241543540618
"40365",22,"BHORE","SC",92023,"INDRADEV MANJHI","BJP",27190,2,0.295469610858155
"40370",99,"BIBHUTPUR","GEN",125092,"CHANDRA BALI THAKUR","BJP",22096,3,0.176637994436095
"40387",152,"BIHPUR","GEN",80077,"KUMAR SHAILENDRA","BJP",32842,2,0.410130249634727
"40392",194,"BIKRAM","GEN",95330,"ANIL KUMAR","BJP",41140,1,0.431553550823455
"40427",235,"BODH GAYA","SC",78621,"HARI MANJHI","BJP",25381,1,0.322827234453899
"40451",200,"BRAHMPUR","GEN",92039,"VIVEK THAKUR","BJP",25254,2,0.274383685176936
"40455",201,"BUXAR","GEN",102267,"PROF. SUKHDA PANDEY","BJP",45165,2,0.441638065064977
"40460",213,"CHAINPUR","GEN",110832,"BRIJ KISHOR BIND","BJP",32739,2,0.295393027284539
"40477",159,"CHAKAI","GEN",93055,"PHALGUNI PRASAD YADAV","BJP",24975,1,0.268389662027833
"40493",7,"CHANPATIA","GEN",88836,"SATISH CHANDRA DUBEY","BJP",42960,1,0.483587734702148
"40564",31,"DARAULI","GEN",93165,"YOGMAYA","BJP",17559,3,0.188472065689905
"40576",89,"DARBHANGA","GEN",99154,"SANJAY SARAOGI","BJP",53263,1,0.537174496238175
"40597",217,"DEHRI","GEN",119391,"SHEELA SINGH","BJP",8878,3,0.0743607139566634
"40606",14,"DHAKA","GEN",97940,"AWANEESH KUMAR SINGH","BJP",32066,1,0.327404533387788
"40643",191,"DINAPUR","GEN",96110,"ASHA DEVI","BJP",49989,1,0.52012277598585
"40688",129,"FORBESGANJ","GEN",128594,"LAXMI NARAYAN MEHTA","BJP",61354,1,0.477114017761326
"40705",42,"GARKHA","SC",82771,"GYANCHAND MANJHI","BJP",28634,1,0.345942419446424
"40732",232,"GAYA TOWN","GEN",82597,"PREM KUMAR","BJP",48098,1,0.582321391818105
"40740",86,"GHANSHYAMPUR","GEN",101950,"VIJAYSHANKAR CHAUDHARY","BJP",28056,3,0.275193722412948
"40785",24,"GOPALGANJ","GEN",106688,"SHUBASH  SINGH","BJP",39205,1,0.367473380323935
"40793",28,"GOREAKOTHI","GEN",88683,"BHUMENDRA NARAYAN SINGH","BJP",32953,2,0.371581926637574
"40807",234,"GURUA","GEN",89146,"BIRBHADRA YASHRAJ","BJP",26197,2,0.293866241895318
"40818",45,"HAJIPUR","GEN",109065,"NITYANAND ROY","BJP",47760,1,0.437904002200523
"40823",75,"HARLAKHI","GEN",102017,"ARUN SHANKAR PRASAD","BJP",23154,3,0.226962172971171
"40866",243,"HISUA","GEN",80189,"ANIL SINGH","BJP",43276,1,0.539675017770517
"40898",40,"JALALPUR","GEN",93489,"JANARDAN SINGH SIGRIWAL","BJP",45468,1,0.486345987228444
"40913",91,"JALE","GEN",87811,"VIJAY KUMAR MISHRA","BJP",30218,2,0.34412545125326
"40967",143,"KADWA","GEN",111833,"HIMRAJ SINGH","BJP",33685,2,0.301208051290764
"41012",138,"KASBA","GEN",126822,"PRADIP KUMAR DAS","BJP",49113,1,0.3872593083219
"41025",21,"KATEYA","GEN",102978,"UMESH PRADHAN","BJP",17253,3,0.167540639748296
"41035",142,"KATIHAR","GEN",118602,"TAR KISHOR PRASAD","BJP",47777,1,0.402834690814657
"41040",158,"KATORIA","GEN",106532,"MANOJ YADAV","BJP",38644,2,0.362745466151016
"41044",90,"KEOTI","GEN",96210,"ASHOK KUMAR YADAV","BJP",41817,1,0.434642968506392
"41078",76,"KHAJAULI","SC",91482,"RAM PRIT PASWAN","BJP",37827,1,0.41349117859251
"41106",135,"KISHANGANJ 2","GEN",120867,"SANJEEV KUMAR YADAV","BJP",39239,2,0.324646098604251
"41126",140,"KORHA","SC",108471,"MAHESH PASWAN","BJP",37483,2,0.345557798858681
"41170",172,"LAKHISARAI","GEN",102920,"VIJAY KUMAR SINHA","BJP",41366,2,0.401923824329576
"41229",78,"MADHUBANI","GEN",101029,"RAM DEO MAHTO","BJP",38007,1,0.376198913183343
"41247",47,"MAHNAR","GEN",93672,"MANINDRA NATH SINGH","BJP",8429,3,0.0899842001878897
"41257",30,"MAIRWA","SC",88033,"RAMAYAN MANJHI","BJP",30148,1,0.342462485658787
"41263",69,"MAJORGANJ","SC",85267,"DINKAR RAM","BJP",44146,1,0.517738398207982
"41419",12,"MOTIHARI","GEN",123847,"PRAMOD KUMAR","BJP",56119,1,0.453131686677917
"41466",128,"NARPATGANJ","GEN",116930,"JANARDAN YADAV","BJP",36329,1,0.310690156503891
"41499",239,"NAWADA","GEN",118114,"DR.SHATRUGHAN PRASAD SINGH","BJP",20005,3,0.169370269400748
"41519",216,"NOKHA","GEN",103783,"Rameshwar Prasad Chaurasia","BJP",45653,1,0.439888999161712
"41539",195,"PALIGANJ","GEN",99832,"DR. USHA VIDYARTHI","BJP",29228,2,0.292771856719288
"41553",79,"PANDAUL","GEN",88065,"VINOD NARAIN JHA","BJP",33552,1,0.380991313234543
"41570",53,"PARU","GEN",102090,"ASHOK KUMAR SINGH","BJP",43569,1,0.426770496620629
"41580",49,"PATEPUR","SC",89481,"CHANDRIKA DAS","BJP",12862,3,0.143740011846090
"41590",189,"PATNA CENTRAL","GEN",129329,"ARUN KUMAR SINHA","BJP",89614,1,0.692914968800501
"41606",190,"PATNA EAST","GEN",118219,"NAND KISHORE YADAV","BJP",70148,1,0.593373315626084
"41618",188,"PATNA WEST","GEN",170072,"NAVIN KISHORE PD. SINHA","BJP",117915,1,0.693324003951268
"41645",17,"PIPRA","SC",88946,"KRISHNANDAN PASWAN","BJP",43239,1,0.486126413779147
"41666",147,"PIRPAINTI","GEN",114909,"DILIP KUMAR SINHA","BJP",29591,2,0.25751681765571
"41675",145,"PRANPUR","GEN",101068,"BINOD KUMAR SINGH","BJP",34386,2,0.340226382237701
"41702",139,"PURNEA","GEN",118804,"RAJ KISHORE KESHRI","BJP",46841,1,0.394271236658698
"41743",240,"RAJAULI","SC",97174,"BANWARI RAM","BJP",45699,1,0.470280116080433
"41760",177,"RAJGIR","SC",63264,"SATYADEO NARAYAN ARYA","BJP",36344,1,0.574481537683359
"41771",210,"RAMGARH","GEN",106259,"MALTI GUPTA","BJP",15883,3,0.149474397462803
"41776",3,"RAMNAGAR","GEN",104534,"CHANDRA MOHAN RAI","BJP",39147,1,0.374490596360993
"41793",127,"RANIGANJ","SC",107280,"RAMJI DAS RISHIDEV","BJP",34796,1,0.32434750186428
"41796",10,"RAXAUL","GEN",96817,"DR. AJAY KUMAR SINGH","BJP",38448,1,0.397120340436080
"41826",206,"SAHAR","SC",85654,"SHIWESH KUMAR","BJP",20303,3,0.237035047983749
"41834",117,"SAHARSA","GEN",104336,"SAJEEV KUMAR JHA","BJP",40816,1,0.391197669069161
"41868",196,"SANDESH","GEN",103535,"SANJAY SINGH (TIGER)","BJP",28894,2,0.279074709035592
"41883",214,"SASARAM","GEN",118553,"JAWAHAR PRASAD","BJP",53904,1,0.454682715747387
"41888",199,"SHAHPUR","GEN",95031,"MUNNI DEVI","BJP",34121,1,0.359051256958256
"41910",4,"SHIKARPUR","SC",98341,"BHAGIRATHI DEVI","BJP",35147,1,0.357399253617515
"41929",5,"SIKTA","GEN",106046,"KRISHNA PRASAD","BJP",24201,3,0.228212285234709
"41972",67,"SITAMARHI","GEN",110660,"SUNIL KUMAR ALIAS PINTU","BJP",50973,1,0.460627146213627
"41976",29,"SIWAN","GEN",99569,"BYASDEO PRASAD","BJP",42756,1,0.429410760377226
"41998",70,"SONBARSA","GEN",99091,"RAM NARESH PRASAD YADAV","BJP",13952,3,0.140799870825807
"42008",44,"SONEPUR","GEN",98391,"VINAY KUMAR SINGH","BJP",43026,2,0.437296094154953
"42012",11,"SUGAULI","GEN",110680,"RAMCHANDRA SAHNI","BJP",35869,1,0.324078424286231
"42037",169,"SURAJGARHA","GEN",101876,"PREM RANJAN PATEL","BJP",39703,1,0.389718873925164
"42042",71,"SURSAND","GEN",94771,"BAIDYANATH PRASAD","BJP",32739,2,0.345453778054468
"42048",38,"TARAIYA","GEN",83562,"JANAK SINGH","BJP",22802,2,0.272875230367871
"42063",134,"THAKURGANJ","GEN",130275,"AWADH BIHARI SINGH","BJP",17699,4,0.135858760314719
"42092",94,"WARISNAGAR","SC",91392,"PALTAN RAM","BJP",16538,3,0.180956757703081
