"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"39991",13,"ADAPUR","GEN",110185,"RAM KUAR RAM","BSP",926,10,0.00840404773789536
"40001",123,"ALAMNAGAR","GEN",86876,"SANJEV RAM","BSP",1112,7,0.0127998526635665
"40011",154,"AMARPUR","GEN",88383,"SHAMSHER ALMU","BSP",1620,7,0.0183293167238044
"40018",130,"ARARIA","GEN",110253,"ASHOK KUMAR PASWAN","BSP",2748,6,0.0249244918505619
"40037",198,"ARRAH","GEN",113344,"VINOD KUMAR  PANDEY","BSP",1336,6,0.0117871259175607
"40048",224,"ARWAL","GEN",89351,"RAM SAHAY MAHATO","BSP",3813,5,0.0426743964812929
"40051",175,"ASTHAWAN","GEN",72858,"DHAYAN PARKASH @ OM PRAKASH","BSP",2051,4,0.0281506492080485
"40067",238,"ATRI","GEN",83306,"SURENDRA YADAV","BSP",1344,6,0.0161332917196841
"40080",220,"AURANGABAD","GEN",117788,"KU. SIDESHWAR VIDYARATHI","BSP",5069,4,0.043034944136924
"40098",107,"BACHWARA","GEN",102280,"DHARMENDRA RAJAK","BSP",2287,5,0.0223601877199844
"40104",2,"BAGHA","SC",119904,"JITENDRA BHARTI","BSP",3202,3,0.0267046970910061
"40118",133,"BAHADURGANJ","GEN",94572,"SHAMIM ALAM","BSP",4223,4,0.0446538087383158
"40121",85,"BAHERA","GEN",86936,"BINOD KUMAR RAM","BSP",2453,5,0.0282161590135272
"40126",87,"BAHERI","GEN",94035,"BISHWANATH MANDAL","BSP",1678,8,0.0178444196309885
"40135",26,"BAIKUNTHPUR","GEN",104536,"GANGA PRASAD","BSP",10188,3,0.097459248488559
"40146",109,"BAKHRI","SC",90405,"ARUN KUMAR","BSP",2637,5,0.0291687406669985
"40159",185,"BAKHTIARPUR","GEN",88912,"PRAMOD KUMAR NIRALA","BSP",3762,4,0.0423114990102573
"40164",103,"BALIA","GEN",92613,"DOCTER RAMUDAY SHARMA","BSP",1430,7,0.0154405968924449
"40175",36,"BANIAPUR","GEN",82733,"NAWAL KISHOR KUSHWAHA","BSP",4150,4,0.0501613624551267
"40183",156,"BANKA","GEN",94808,"NAVAL KISHORE PRASAD SINGH","BSP",2470,6,0.0260526537844908
"40198",236,"BARACHATTI","SC",81859,"PANKAJ KUMAR","BSP",5043,4,0.0616059321516266
"40204",141,"BARARI","GEN",104698,"BANARASI PRASAD SINGH","BSP",1436,8,0.0137156392672257
"40212",25,"BARAULI","GEN",97446,"AFTAB ALAM","BSP",10042,3,0.103051946719209
"40222",106,"BARAUNI","GEN",96342,"PRASHANT KUMAR SINGH","BSP",2183,8,0.0226588611405202
"40232",174,"BARBIGHA","SC",70646,"USHA KUMARI","BSP",1605,5,0.0227189083599921
"40237",184,"BARH","GEN",90467,"LALA DAS","BSP",2160,5,0.0238761095205987
"40251",197,"BARHARA","GEN",100775,"SUDARSHAN  RAM","BSP",551,8,0.00546762589928058
"40259",144,"BARSOI","GEN",119617,"MANIK CHANDRA ROY","BSP",1371,13,0.0114615815477733
"40278",55,"BARURAJ","GEN",97323,"SITA RAM  SAHANI","BSP",2525,6,0.0259445352075049
"40286",27,"BASANTPUR","GEN",100170,"RAMAYAN SINGH","BSP",2109,5,0.0210542078466607
"40292",68,"BATHNAHA","GEN",106365,"LAXAMAN PRASAD YADAV","BSP",1641,8,0.0154280073332393
"40307",105,"BEGUSARAI","GEN",109670,"NARAYAN PRASAD HISARIA","BSP",2397,6,0.0218564785264886
"40313",229,"BELAGANJ","GEN",73798,"DILIP KUMAR","BSP",1113,7,0.0150817095314236
"40326",157,"BELHAR","GEN",81203,"VILAKASHAN RAVIDAS","BSP",10810,3,0.133123160474367
"40332",65,"BELSAND","GEN",84280,"MOHAMMAD ZAINUL ABEDIN","BSP",2752,4,0.0326530612244898
"40347",8,"BETTIAH","GEN",115271,"SHAMBHU PRASAD GUPTA","BSP",7824,3,0.0678748340866306
"40352",212,"BHABHUA","GEN",128122,"RAM CHANDRA SINGH YADAV","BSP",37778,1,0.294859586956182
"40358",150,"BHAGALPUR","GEN",92385,"AJAY SHRIVASTAV","BSP",1913,4,0.0207068247009796
"40366",22,"BHORE","SC",92023,"LALAN MANJHI","BSP",8978,4,0.097562565880269
"40373",99,"BIBHUTPUR","GEN",125092,"RAM SAGAR MAHTO","BSP",3220,5,0.0257410545838263
"40381",176,"BIHAR","GEN",114302,"SARYUG PRASAD SAHASTH","BSP",897,8,0.00784763171248097
"40396",194,"BIKRAM","GEN",95330,"DEVI DAYAL PANDIT","BSP",2423,5,0.0254169726214203
"40406",208,"BIKRAMGANJ","GEN",100244,"DINESH KUMAR","BSP",2457,5,0.0245101951238977
"40410",74,"BISFI","GEN",82525,"BASHUKI NATH JHA","BSP",1001,9,0.0121296576794911
"40422",60,"BOCHAHA","SC",111357,"KUMAR RAVI ANAND","BSP",2317,6,0.0208069542103325
"40434",235,"BODH GAYA","SC",78621,"SHARMILA BHARATI","BSP",3263,5,0.0415029063481767
"40439",200,"BRAHMPUR","GEN",92039,"DR.SAROJ KUMAR OJHA","BSP",2635,6,0.0286291680700573
"40452",201,"BUXAR","GEN",102267,"HRIDAY NARAYAN SINGH","BSP",46192,1,0.451680405213803
"40464",213,"CHAINPUR","GEN",110832,"MOHAMMAD ZAMA KHAN","BSP",26869,3,0.242429984120110
"40473",159,"CHAKAI","GEN",93055,"BIRENDRA KUMAR DAS","BSP",2425,7,0.0260598570737736
"40483",181,"CHANDI","GEN",71468,"ARJUN PRASAD","BSP",1355,7,0.0189595343370460
"40489",7,"CHANPATIA","GEN",88836,"EZAZ HUSSAIN","BSP",9138,3,0.102863703903823
"40500",41,"CHAPRA","GEN",101561,"JITENDRA KUMAR SINGH","BSP",2143,6,0.021100619332224
"40515",164,"CHAUTHAM","GEN",98247,"PAWAN KUMAR","BSP",2028,7,0.0206418516595927
"40522",215,"CHENARI","SC",116692,"PREMA BHARTI","BSP",18847,3,0.161510643403147
"40526",108,"CHERIA BARIARPUR","GEN",95944,"GULAB PASWAN","BSP",2540,5,0.0264737763695489
"40533",114,"CHHATAPUR","SC",83111,"ANIL KUMAR BHASKAR","BSP",3152,5,0.0379251843919577
"40542",148,"COLGONG","GEN",122949,"BIKASH MANDAL","BSP",2702,5,0.0219765919202271
"40547",98,"DALSINGHSARAI","GEN",115316,"NAND KUMAR CHOUDHARY","BSP",2355,6,0.0204221443685178
"40555",31,"DARAULI","GEN",93165,"ANIL MANI TRIPATHI","BSP",2612,6,0.0280362797187785
"40577",89,"DARBHANGA","GEN",99154,"SHAMIM AHMAD","BSP",860,9,0.00867337676745265
"40581",88,"DARBHANGA RURAL","SC",84423,"KEDAR PRASAD","BSP",4178,5,0.0494888833611693
"40598",217,"DEHRI","GEN",119391,"VIR CHAND PATEL SINGH","BSP",529,10,0.00443081974353176
"40602",219,"DEO","SC",89443,"RAM PRAVESH BHUIYAN","BSP",7247,4,0.0810236687052089
"40616",14,"DHAKA","GEN",97940,"SUDHIR KUMAR SINGH","BSP",1534,8,0.0156626506024096
"40620",125,"DHAMDAHA","GEN",99384,"JAMUN MURMU","BSP",4184,4,0.0420993318844080
"40627",1,"DHANAHA","GEN",59357,"ARTHRAJ YADAV","BSP",4285,4,0.0721903061138535
"40641",155,"DHURAIYA","SC",102094,"RAJESH KUMAR","BSP",4092,4,0.0400807099339824
"40645",191,"DINAPUR","GEN",96110,"BINAY CHAND","BSP",1304,5,0.0135677869108313
"40657",209,"DINARA","GEN",111434,"SITA SUNDARI DEVI","BSP",41938,1,0.376348331747940
"40659",203,"DUMRAON","GEN",104189,"ANURADHA DEVI","BSP",21730,3,0.208563284031904
"40671",237,"FATEHPUR","SC",75950,"CHANDRA MANJHI","BSP",2247,6,0.0295852534562212
"40685",186,"FATWA","SC",88149,"TILKESHWAR CHOUDHARY","BSP",3166,5,0.0359164596308523
"40693",129,"FORBESGANJ","GEN",128594,"VIKASH KUMAR TANTI","BSP",2178,5,0.0169370266108839
"40702",42,"GARKHA","SC",82771,"ARVIND KUMAR","BSP",3361,4,0.0406060093511012
"40723",231,"GAYA MUFASSIL","GEN",91768,"SURYADEV VERMA","BSP",1543,7,0.0168141400052306
"40727",232,"GAYA TOWN","GEN",82597,"GODESHWAR PD.VERMA","BSP",1568,4,0.0189837403295519
"40739",86,"GHANSHYAMPUR","GEN",101950,"VIDYANAND RAM","BSP",2742,6,0.0268955370279549
"40754",20,"GOBINDGANJ","GEN",88872,"PRABHU RAM","BSP",2883,5,0.0324399135835809
"40762",241,"GOBINDPUR","GEN",88683,"MUKHTAR SAYEED","BSP",1432,8,0.0161474014185357
"40777",223,"GOH","GEN",92540,"SHAMBHU SHARAN SINGH","BSP",3734,6,0.0403501188675168
"40784",24,"GOPALGANJ","GEN",106688,"REYAJUL HAQUE ALIAS  'RAJU'","BSP",31271,2,0.29310700359928
"40791",151,"GOPALPUR","GEN",95881,"RAM VILAS PASWAN","BSP",1185,6,0.0123590700973081
"40802",28,"GOREAKOTHI","GEN",88683,"NEYAJUDIN KHAN","BSP",3681,4,0.0415073914955516
"40812",234,"GURUA","GEN",89146,"SIDHESHWAR PRASAD SINHA","BSP",4357,4,0.0488748794113028
"40815",45,"HAJIPUR","GEN",109065,"AVATAR","BSP",2750,4,0.0252143217347453
"40828",182,"HARNAUT","GEN",72379,"AMAR KANT PASWAN","BSP",2712,4,0.0374694317412509
"40839",19,"HARSIDHI","GEN",96765,"KALIM AKHTAR","BSP",3091,5,0.0319433679532889
"40844",102,"HASANPUR","GEN",85216,"GAJENDRA PRASAD YADAV","BSP",3003,6,0.0352398610589561
"40853",92,"HAYAGHAT","GEN",83809,"JHAREE LAL DAS","BSP",1326,8,0.0158216897946521
"40859",180,"HILSA","GEN",86717,"DEONATH SHREE RANJAN","BSP",2108,6,0.0243089590276416
"40869",243,"HISUA","GEN",80189,"RAMESH CHANDRA RAMAN","BSP",1629,5,0.0203145069772662
"40877",233,"IMAMGANJ","SC",75762,"YOGENDRA MANJHI","BSP",2639,5,0.0348327657664792
"40883",179,"ISLAMPUR","GEN",90704,"VIJAY KUMAR RAVIDAS","BSP",2876,6,0.0317075321926266
"40887",204,"JAGDISHPUR","GEN",101771,"MAHESH RAM","BSP",2516,5,0.0247221703628735
"40891",227,"JAHANABAD","GEN",79352,"BASANT MOCHI","BSP",2778,5,0.0350085694122391
"40902",40,"JALALPUR","GEN",93489,"VANDANA SINGH","BSP",1624,6,0.0173710276075260
"40907",91,"JALE","GEN",87811,"BINOD KUMAR BAITHA","BSP",1581,7,0.018004578014144
"40926",170,"JAMUI","GEN",105054,"JAI NARAYAN RAO","BSP",2365,7,0.0225122318045957
"40934",48,"JANDAHA","GEN",97653,"MAHESH SINGH","BSP",2520,5,0.0258056588123253
"40944",160,"JHAJHA","GEN",84624,"RAJU YADAV","BSP",1675,7,0.0197934392134619
"40952",80,"JHANJHARPUR","GEN",87331,"RAMBILAS DHANGAR","BSP",3445,5,0.0394476188295107
"40955",132,"JOKIHAT","GEN",105089,"JIWACHH MANDAL","BSP",2911,4,0.0277003301963098
