"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"39990",13,"ADAPUR","GEN",110185,"PRABHUDEO YADAV","CPI(ML)(L)",3901,4,0.0354040931161229
"40036",198,"ARRAH","GEN",113344,"SUDAMA  PRASAD","CPI(ML)(L)",7845,3,0.0692140739695088
"40040",224,"ARWAL","GEN",89351,"ANWAR HUSSAIN","CPI(ML)(L)",9339,4,0.104520374702018
"40106",2,"BAGHA","SC",119904,"PRABHAWATI DEVI","CPI(ML)(L)",2211,6,0.0184397518014412
"40131",87,"BAHERI","GEN",94035,"SATYA NARAYAN MUKHIA","CPI(ML)(L)",4171,5,0.0443558249587919
"40151",109,"BAKHRI","SC",90405,"RAMASHRAYA PASWAN","CPI(ML)(L)",2614,6,0.0289143299596261
"40163",103,"BALIA","GEN",92613,"DIWAKAR SAH","CPI(ML)(L)",1247,8,0.0134646323950201
"40194",236,"BARACHATTI","SC",81859,"GANESH DAS","CPI(ML)(L)",2555,6,0.0312122063548296
"40208",141,"BARARI","GEN",104698,"GHANSHYAM PANDIT","CPI(ML)(L)",2364,6,0.0225792278744580
"40247",197,"BARHARA","GEN",100775,"LALAN YADAV","CPI(ML)(L)",4802,4,0.0476507070205904
"40263",144,"BARSOI","GEN",119617,"MUNNAF  ALAM","CPI(ML)(L)",39872,1,0.333330546661428
"40319",229,"BELAGANJ","GEN",73798,"SURYA VILAS PASWAN","CPI(ML)(L)",2073,6,0.0280901921461286
"40356",212,"BHABHUA","GEN",128122,"VIJAY SINGH YADAV","CPI(ML)(L)",2987,6,0.0233137166138524
"40368",22,"BHORE","SC",92023,"RAMNARESH RAM","CPI(ML)(L)",15382,3,0.167153863707986
"40378",176,"BIHAR","GEN",114302,"MADHUSUDAN SHARMA","CPI(ML)(L)",2384,4,0.020857027873528
"40404",208,"BIKRAMGANJ","GEN",100244,"ASHOK KUMAR SINGH","CPI(ML)(L)",8795,3,0.0877359243445992
"40418",74,"BISFI","GEN",82525,"SHAILENDRA KUMAR SIMANCHAL","CPI(ML)(L)",1409,7,0.0170736140563466
"40423",60,"BOCHAHA","SC",111357,"RAM NANDAN PASWAN","CPI(ML)(L)",4600,4,0.0413085841033792
"40488",181,"CHANDI","GEN",71468,"PARAMANAND PRASAD","CPI(ML)(L)",2564,4,0.0358761963396205
