"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"40023",130,"ARARIA","GEN",110253,"SUDHIR RANJAN JHA","CPI",5616,5,0.0509373894587902
"40085",220,"AURANGABAD","GEN",117788,"SAIYAD MD. JAFAR ISLAM","CPI",12157,3,0.103210853397630
"40097",107,"BACHWARA","GEN",102280,"AWDHESH KUMAR RAI","CPI",33789,2,0.33035784122018
"40148",109,"BAKHRI","SC",90405,"RAM BINOD PASWAN","CPI",37876,1,0.418959128366794
"40193",126,"BANMANKHI","SC",81589,"VEENA DEVI","CPI",7162,3,0.087781441125642
"40223",106,"BARAUNI","GEN",96342,"RAJENDRA PRASAD SINGH","CPI",34102,1,0.353968155114073
"40305",105,"BEGUSARAI","GEN",109670,"KAMLI MAHATO","CPI",27733,2,0.252876812254947
"40338",73,"BENIPATTI","GEN",91386,"KRIPANAND JHA","CPI",16040,3,0.175519226139671
"40353",212,"BHABHUA","GEN",128122,"RAM LAL SINGH","CPI",18722,4,0.146126348324253
"40409",208,"BIKRAMGANJ","GEN",100244,"KESHAV PRASAD SINGH","CPI",5244,4,0.0523123578468537
"40494",7,"CHANPATIA","GEN",88836,"VIPIN TIWARI","CPI",5667,5,0.0637917060651087
"40640",155,"DHURAIYA","SC",102094,"MUNILAL PASWAN","CPI",29467,2,0.288626168041217
"40726",232,"GAYA TOWN","GEN",82597,"BACHCHU LAL BITHHAL","CPI",6489,3,0.0785621753816725
"40798",28,"GOREAKOTHI","GEN",88683,"HARIKISHORE TIWARI","CPI",6348,3,0.0715807990257434
"40824",75,"HARLAKHI","GEN",102017,"RAM NARESH PANDEY","CPI",37437,1,0.366968250389641
"40870",243,"HISUA","GEN",80189,"SHYAM KISHOR SINGH","CPI",4508,3,0.0562171868959583
"40880",179,"ISLAMPUR","GEN",90704,"RAKESH KUMAR ROSHAN","CPI",27412,2,0.302213794319986
"40905",91,"JALE","GEN",87811,"AHMAD ALI TAMANNE","CPI",14343,3,0.163339444944255
"40965",143,"KADWA","GEN",111833,"BINODANAND SAH","CPI",4255,5,0.0380478034211726
"40981",93,"KALYANPUR","GEN",103354,"PRAYAG CHANDRA MUKHIYA","CPI",6516,3,0.063045455425044
"41061",18,"KESARIYA","GEN",88256,"RAMAYAN SINGH","CPI",4619,4,0.0523363850616389
"41185",82,"LAUKAHA","GEN",85440,"RAM NARAYAN YADAV","CPI",7056,4,0.0825842696629213
"41322",39,"MARHAURA","GEN",84553,"CHULHAN PRASAD SINGH","CPI",2760,6,0.0326422480574314
"41357",104,"MATIHANI","GEN",100286,"RAJENDRA RAJAN","CPI",19963,3,0.199060686436791
"41362",63,"MINAPUR","GEN",96592,"JAGDISH PRASAD GUPTA","CPI",12002,3,0.124254596653967
"41485",9,"NAUTAN","GEN",94597,"MAHMAD HARUN","CPI",4508,4,0.0476547882068142
"41594",189,"PATNA CENTRAL","GEN",129329,"MOHAN PRASAD","CPI",2962,3,0.0229028292185047
"41664",147,"PIRPAINTI","GEN",114909,"AMBIKA PRASAD","CPI",28452,3,0.247604626269483
"41716",221,"RAFIGANJ","GEN",80225,"RAM CHANDRA SINGH","CPI",11493,3,0.143259582424431
"41753",177,"RAJGIR","SC",63264,"ARJUN PASWAN ALIAS AJAY PASWAN","CPI",10328,2,0.163252402630248
"41920",171,"SIKANDRA","SC",78239,"MAHADEO PRASAD","CPI",14228,3,0.181853040043968
"41952",119,"SIMRI BAKHTIARPUR","GEN",93989,"OMPRAKASH NARAYAN","CPI",9407,3,0.100086180297694
"41986",121,"SONABARSA","GEN",99458,"KHARA NAND THAKUR","CPI",6459,3,0.0649419855617447
"42018",153,"SULTANGANJ","SC",103249,"BIJAY KUMAR PASWAN","CPI",6508,3,0.0630320874778448
"42026",112,"SUPAUL","GEN",102495,"ASHA MUKUND","CPI",10061,3,0.098160885896873
