"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"39998",123,"ALAMNAGAR","GEN",86876,"MANORANJAN SINGH","CPM",4709,4,0.0542036926193655
"40219",106,"BARAUNI","GEN",96342,"DINESH PRASAD SINGH","CPM",16174,3,0.167881090282535
"40309",105,"BEGUSARAI","GEN",109670,"RAJENDRA PRASAD SINGH","CPM",14930,4,0.136135679766572
"40372",99,"BIBHUTPUR","GEN",125092,"RAM DEO VERMA","CPM",54616,1,0.43660665750008
"40411",74,"BISFI","GEN",82525,"CHITRADHAR MISHRA","CPM",2540,6,0.0307785519539533
"40453",201,"BUXAR","GEN",102267,"JAWAHAR LAL CHAUDHARY","CPM",2722,4,0.026616601640803
"41067",165,"KHAGARIA","GEN",98054,"GITA YADAV","CPM",26845,2,0.273777714320680
"41706",139,"PURNEA","GEN",118804,"SUNIL KUMAR SINGH","CPM",3156,5,0.0265647621292212
"41759",177,"RAJGIR","SC",63264,"PARMESHWAR PRASAD","CPM",9858,3,0.155823216995448
"42011",11,"SUGAULI","GEN",110680,"RAMASHRAY SINGH","CPM",24356,3,0.220057824358511
