"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"40093",77,"BABUBARHI","GEN",92458,"SUKAN PASWAN","IJP",2737,5,0.0296026303835255
"40099",107,"BACHWARA","GEN",102280,"MD. MOEN ANSARI","IJP",2085,6,0.0203852170512319
"40101",2,"BAGHA","SC",119904,"CHHOTELAL RAM","IJP",1041,11,0.00868194555644516
"40125",85,"BAHERA","GEN",86936,"VISHNUDEV RAM","IJP",2805,4,0.0322651145670378
"40199",236,"BARACHATTI","SC",81859,"RAMDEO MANJHI","IJP",2498,7,0.0305158870741152
"40282",27,"BASANTPUR","GEN",100170,"KEDAR PRASAD KUSHWAHA","IJP",1375,6,0.0137266646700609
"40429",235,"BODH GAYA","SC",78621,"MANOJ KUMAR","IJP",1301,9,0.0165477416975108
"40468",213,"CHAINPUR","GEN",110832,"RAM PRAKASH RAM","IJP",614,9,0.00553991626966941
"40481",181,"CHANDI","GEN",71468,"ADHIR KUMAR","IJP",1630,6,0.0228074103095092
"40496",41,"CHAPRA","GEN",101561,"AJAY SINGH","IJP",777,9,0.00765057453156231
"40527",108,"CHERIA BARIARPUR","GEN",95944,"HAFIZ GULAM SARWAR","IJP",1998,6,0.0208246477111648
"40534",114,"CHHATAPUR","SC",83111,"ARUN KUMAR RAJAK","IJP",1429,8,0.0171938732538412
"40561",31,"DARAULI","GEN",93165,"SURENDRA PASWAN","IJP",958,10,0.0102828315354479
"40579",89,"DARBHANGA","GEN",99154,"SHRAWAN CHAUDHARY","IJP",570,11,0.00574863343889304
"40586",217,"DEHRI","GEN",119391,"BABAN RAM","IJP",989,8,0.00828370647703763
"40604",219,"DEO","SC",89443,"SHANKAR RAM","IJP",2252,7,0.0251780463535436
"40644",191,"DINAPUR","GEN",96110,"BIJAY KUMAR MEHTA","IJP",771,8,0.00802205805847466
"40680",186,"FATWA","SC",88149,"RAMESH PASWAN","IJP",1053,10,0.0119456828778545
"40797",28,"GOREAKOTHI","GEN",88683,"GAGAN DEV PRASAD","IJP",704,10,0.00793838728955944
"41011",138,"KASBA","GEN",126822,"MUKHTAR ALAM","IJP",1855,8,0.014626799766602
"41074",76,"KHAJAULI","SC",91482,"LALO PASWAN","IJP",2351,7,0.0256990446207997
"41141",57,"KURHANI","GEN",104786,"MAHESH MAHTO","IJP",1433,6,0.0136754910007062
"41146",225,"KURTHA","GEN",81732,"AKHALAQUR RAHAMAN","IJP",1250,9,0.0152938873391083
"41258",30,"MAIRWA","SC",88033,"SACHIDASNAND SADHU","IJP",3284,5,0.0373041927459021
"41277",226,"MAKHDUMPUR","GEN",80197,"SANJEET KUMAR","IJP",1282,7,0.0159856353728942
"41305",146,"MANIHARI","GEN",84542,"RAJ KUMAR PASWAN","IJP",915,11,0.0108230228762035
"41332",187,"MASAURHI","GEN",101942,"DHANESHWAR THAKUR","IJP",1479,8,0.0145082497890958
"41401",183,"MOKAMEH","GEN",90396,"MOHAMMAD ZAKIR HUSSEN","IJP",1367,7,0.0151223505464844
"41420",12,"MOTIHARI","GEN",123847,"RAJU VAITHA","IJP",1197,9,0.00966515135610875
"41453",218,"NABINAGAR","GEN",104956,"VIJAY RAM","IJP",1462,6,0.0139296467090971
"41491",9,"NAUTAN","GEN",94597,"TARKESHWAR PRASAD","IJP",819,10,0.0086577798450268
"41543",195,"PALIGANJ","GEN",99832,"RAM RAKSHA PRASAD","IJP",454,14,0.00454764003525924
"41625",188,"PATNA WEST","GEN",170072,"VIKASH CHANDRA","IJP",636,9,0.00373959264311586
"41786",3,"RAMNAGAR","GEN",104534,"SUDAMA RAM","IJP",955,8,0.00913578357280885
"41828",117,"SAHARSA","GEN",104336,"BIHARI SADA","IJP",1741,7,0.0166864744671063
"41931",5,"SIKTA","GEN",106046,"MEERA YADAV","IJP",937,9,0.00883578824283801
