"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"40014",136,"AMOUR","GEN",85705,"ABDUL JALIL MASTAN","INC",42041,1,0.490531474243043
"40021",130,"ARARIA","GEN",110253,"MOIDUR RAHMAN","INC",32938,2,0.298749240383482
"40079",62,"AURAI","GEN",82082,"UGAN TARA DEVI","INC",10184,3,0.124071050900319
"40100",107,"BACHWARA","GEN",102280,"RAMDEO RAI","INC",36807,1,0.359865076261244
"40105",2,"BAGHA","SC",119904,"NARSINGH BAITHA","INC",42403,2,0.353641246330398
"40114",133,"BAHADURGANJ","GEN",94572,"Md. Tausif Alam","INC",58938,1,0.62320771475701
"40179",36,"BANIAPUR","GEN",82733,"UMA PANDEY","INC",29787,2,0.360037711674906
"40229",174,"BARBIGHA","SC",70646,"MAHAVIR CHOUDHARY","INC",24550,2,0.347507289867792
"40340",73,"BENIPATTI","GEN",91386,"YUGESHWAR JHA","INC",31447,2,0.34411178955201
"40344",8,"BETTIAH","GEN",115271,"MOHAMMAD SHAMIM AKTHAR","INC",38718,2,0.335886736473181
"40360",150,"BHAGALPUR","GEN",92385,"PRAWIN SINGH","INC",31921,2,0.345521459111328
"40414",74,"BISFI","GEN",82525,"MD. AHMAR HASSAN","INC",26967,2,0.326773704937898
"40472",159,"CHAKAI","GEN",93055,"BIJAY SINGH","INC",18575,3,0.199613132018699
"40495",7,"CHANPATIA","GEN",88836,"VISHWA MOHAN SHARMA","INC",22086,2,0.248615426178576
"40517",164,"CHAUTHAM","GEN",98247,"YUVRAJ JAY KRITI SINGH","INC",3829,4,0.0389732001994972
"40544",148,"COLGONG","GEN",122949,"SADANAND SINGH","INC",45068,2,0.366558491732344
"40567",89,"DARBHANGA","GEN",99154,"DR. MADAN MOHAN JHA","INC",28280,2,0.285212901143675
"40639",155,"DHURAIYA","SC",102094,"MANDARESHWAR KUMAR MANTU","INC",20838,3,0.204106019942406
"40651",209,"DINARA","GEN",111434,"KAMESHWAR SINGH","INC",9195,4,0.0825152107974227
"40681",186,"FATWA","SC",88149,"SANJEEV PRASAD TONY","INC",25066,2,0.284359436862585
"40707",42,"GARKHA","SC",82771,"RAGHUNANDAN MANJHI","INC",26817,2,0.323990286452985
"40711",231,"GAYA MUFASSIL","GEN",91768,"AWADESH KUMAR SINGH","INC",27282,1,0.297293174091186
"40734",232,"GAYA TOWN","GEN",82597,"SANJAY SAHAY","INC",23208,2,0.28097872804097
"40769",223,"GOH","GEN",92540,"DEO NARAYAN SINGH YADAV","INC",22596,2,0.244175491679274
"40838",19,"HARSIDHI","GEN",96765,"HARI SHANKER PRASAD SINGH","INC",13261,3,0.137043352451816
"40865",243,"HISUA","GEN",80189,"AADITYA SINGH","INC",26809,2,0.334322662709349
"41113",111,"KISHUNPUR","GEN",92555,"VIJAY KUMAR GUPTA","INC",27107,2,0.292874507049862
"41130",140,"KORHA","SC",108471,"SUNITA DEVI","INC",49632,1,0.457560085184058
"41259",30,"MAIRWA","SC",88033,"SANJEET KUMAR","INC",14954,3,0.169868117637704
"41265",69,"MAJORGANJ","SC",85267,"LALITA DEVI","INC",24676,2,0.289396835821596
"41302",146,"MANIHARI","GEN",84542,"MUBARAK HUSSAIN","INC",27822,1,0.329090866078399
"41315",35,"MANJHI","GEN",89712,"RAVINDRA NATH MISHRA","INC",36622,2,0.408217406812912
"41353",37,"MASRAKH","GEN",89300,"TARKESHWAR SINGH","INC",31572,2,0.353549832026876
"41354",104,"MATIHANI","GEN",100286,"ABHAY KUMAR SINGH","INC",25518,2,0.254452266517759
"41369",23,"MIRGANJ","GEN",91711,"BABUDDIN KHAN","INC",23135,2,0.252259816161638
"41397",183,"MOKAMEH","GEN",90396,"GURUJIT SINGH","INC",6834,3,0.0756006902960308
"41409",167,"MONGHYR","GEN",92453,"DHANRAJ SINGH","INC",21463,2,0.232150389927855
"41443",59,"MUZAFFARPUR","GEN",115657,"VINITA VIJAY","INC",34571,2,0.298909707151318
"41619",188,"PATNA WEST","GEN",170072,"RAJESH KUMAR SINHA","INC",31796,2,0.186956112705207
"41726",110,"RAGHOPUR 2","GEN",116333,"JAI VARDHAN YADAV","INC",25691,2,0.220840174327147
"41741",34,"RAGHUNATHPUR","GEN",94387,"VIJAY SHANKAR DUBEY","INC",19060,2,0.201934588449681
"41801",10,"RAXAUL","GEN",96817,"SAGIR AHMAD","INC",22947,3,0.237014160736234
"41824",206,"SAHAR","SC",85654,"JYOTI","INC",21717,2,0.253543325472249
"41897",173,"SHEIKHPURA","GEN",81912,"SUNILA DEVI","INC",35976,1,0.439203047172575
"41928",5,"SIKTA","GEN",106046,"KHURSHED ALIAS FIROZ ALAM","INC",35811,1,0.337693076589405
"41948",119,"SIMRI BAKHTIARPUR","GEN",93989,"CH. MEHBOOB ALI KAISER","INC",35184,2,0.374341678281501
"41961",101,"SINGHIA","SC",85076,"DR. ASHOK KUMAR","INC",32764,1,0.385114485871456
"41969",67,"SITAMARHI","GEN",110660,"MD. KHALIL ANSARI","INC",29720,2,0.268570395806976
"42066",134,"THAKURGANJ","GEN",130275,"DR. MOHAMMAD JAWAID","INC",32483,2,0.249341777010171
"42088",52,"VAISHALI","GEN",94429,"VEENA SAHI","INC",31931,2,0.338148238358979
"42100",242,"WARSALIGANJ","GEN",88452,"ARUNA DEVI","INC",36851,2,0.416621444399222
