"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"39995",13,"ADAPUR","GEN",110185,"SHYAM BIHARI PRASAD","JD(U)",44714,1,0.405808413123383
"39999",123,"ALAMNAGAR","GEN",86876,"NARENDRA NARAYAN YADAV","JD(U)",39676,1,0.456696901330632
"40004",166,"ALAULI","SC",87423,"RAJ KUMARI","JD(U)",14260,3,0.163114969744804
"40009",154,"AMARPUR","GEN",88383,"BEDANAND SINGH","JD(U)",31278,2,0.353891585485897
"40053",175,"ASTHAWAN","GEN",72858,"JITENDRA KUMAR","JD(U)",40474,1,0.555518954678965
"40071",62,"AURAI","GEN",82082,"ARJUN  RAY","JD(U)",44891,1,0.546904315196998
"40091",77,"BABUBARHI","GEN",92458,"KAPIL DEB KAMAT","JD(U)",39826,1,0.430746933742889
"40108",2,"BAGHA","SC",119904,"PURNMASI RAM","JD(U)",60794,1,0.507022284494262
"40116",133,"BAHADURGANJ","GEN",94572,"SAHAB ALAM","JD(U)",8712,3,0.0921202893033879
"40129",87,"BAHERI","GEN",94035,"NARENDRA KUMAR SINGH","JD(U)",26465,2,0.281437762535226
"40137",26,"BAIKUNTHPUR","GEN",104536,"MANJEET KUMAR SINGH","JD(U)",37634,2,0.360009948725798
"40165",103,"BALIA","GEN",92613,"JAMSHED ASRAF","JD(U)",46987,1,0.507347780549167
"40173",36,"BANIAPUR","GEN",82733,"MANORANJAN SINGH","JD(U)",32440,1,0.392104722420316
"40196",236,"BARACHATTI","SC",81859,"JITAN RAM MANJHI","JD(U)",29298,1,0.357908110287201
"40230",174,"BARBIGHA","SC",70646,"RAMSUNDAR RAM KANAUJIA","JD(U)",34223,1,0.484429408600628
"40236",184,"BARH","GEN",90467,"GYANENDRA KUMAR SINGH","JD(U)",37667,1,0.416361767274255
"40243",197,"BARHARA","GEN",100775,"ASHA DEVI","JD(U)",41129,1,0.408127015628876
"40277",55,"BARURAJ","GEN",97323,"SHASHI KUMAR RAY","JD(U)",32992,1,0.338994893293466
"40299",68,"BATHNAHA","GEN",106365,"RAJ KISHOR SINGH KUSHWAHA","JD(U)",25004,3,0.235077328068444
"40315",229,"BELAGANJ","GEN",73798,"MD. AMJAD","JD(U)",26529,2,0.359481286755739
"40321",157,"BELHAR","GEN",81203,"JANARDAN MANJHI","JD(U)",32970,1,0.406019482038841
"40336",65,"BELSAND","GEN",84280,"SUNITA SINGH","JD(U)",29516,2,0.350213573801614
"40339",73,"BENIPATTI","GEN",91386,"SHALIGRAM YADAV","JD(U)",38825,1,0.424846256538201
