"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"39992",13,"ADAPUR","GEN",110185,"SABIR ALI","LJP",28706,2,0.260525479874756
"39996",123,"ALAMNAGAR","GEN",86876,"CHANDESHWARI SINH","LJP",29589,2,0.340588885307795
"40003",166,"ALAULI","SC",87423,"PASHUPATI KUMAR PARAS","LJP",40870,1,0.467497111744049
"40008",154,"AMARPUR","GEN",88383,"BABY DEVI","LJP",10082,3,0.114071710623084
"40016",136,"AMOUR","GEN",85705,"NIL MANI SINGH","LJP",4521,4,0.0527507146607549
"40025",198,"ARRAH","GEN",113344,"ABDUL AHAD","LJP",6642,4,0.05860036702428
"40042",224,"ARWAL","GEN",89351,"DULAR CHAND SINGH","LJP",33810,1,0.378395317343958
"40056",238,"ATRI","GEN",83306,"AMRENDRA SINGH","LJP",4028,4,0.0483518594098864
"40074",62,"AURAI","GEN",82082,"MOH. LAL BABU","LJP",2762,5,0.0336492775517166
"40092",77,"BABUBARHI","GEN",92458,"PRAVEEN KUMAR DAS","LJP",8412,3,0.0909818512189318
"40103",2,"BAGHA","SC",119904,"HARIDWAR PASWAN","LJP",2703,4,0.0225430344275420
"40117",133,"BAHADURGANJ","GEN",94572,"SAIDUR RAHMAN","LJP",1991,6,0.0210527428837288
"40124",85,"BAHERA","GEN",86936,"S.M. ZAFAR IMAM","LJP",10119,3,0.11639596944879
"40130",87,"BAHERI","GEN",94035,"PRAMOD KUMAR JHA","LJP",17425,3,0.185303344499389
"40136",26,"BAIKUNTHPUR","GEN",104536,"LALBABU P. YADAV","LJP",4795,4,0.0458693655774087
"40143",137,"BAISI","GEN",94247,"QUAISARUZZAMAN","LJP",10441,4,0.110783367109828
"40157",185,"BAKHTIARPUR","GEN",88912,"LAL KRISHNA YADAV","LJP",9718,3,0.109299082238618
"40171",103,"BALIA","GEN",92613,"TARIQUE MATIN","LJP",5341,3,0.0576700895122715
"40177",36,"BANIAPUR","GEN",82733,"RAM BAHADUR RAI","LJP",4943,3,0.0597464131604076
"40187",156,"BANKA","GEN",94808,"RAVI KUMAR SINGH","LJP",6363,3,0.0671145894861193
"40197",236,"BARACHATTI","SC",81859,"KRISHNA PASWAN","LJP",8977,3,0.109664178648652
"40211",141,"BARARI","GEN",104698,"SANYOGITA SINGH","LJP",17540,3,0.167529465701351
"40217",25,"BARAULI","GEN",97446,"TASLIM JAMAL","LJP",4085,4,0.0419206534901381
"40231",174,"BARBIGHA","SC",70646,"UMESH KUMAR SUMAN","LJP",6239,3,0.0883135634006172
"40241",184,"BARH","GEN",90467,"SHEELA DEVI","LJP",16619,3,0.18370234450131
"40244",197,"BARHARA","GEN",100775,"DR. SIYA MATI RAI","LJP",2692,5,0.0267129744480278
"40261",144,"BARSOI","GEN",119617,"MD. NOMAN RAHMANI","LJP",2875,7,0.0240350451858849
"40268",55,"BARURAJ","GEN",97323,"BALDEO MAHATO","LJP",15431,3,0.158554504074063
"40284",27,"BASANTPUR","GEN",100170,"MAULANA NURUDDIN ANSARI","LJP",7806,3,0.077927523210542
"40296",68,"BATHNAHA","GEN",106365,"NAGINA DEVI","LJP",35640,1,0.335072627274009
"40310",105,"BEGUSARAI","GEN",109670,"UPENDER SINGH","LJP",19937,3,0.181790827026534
"40317",229,"BELAGANJ","GEN",73798,"SHEO KUMAR PRASAD","LJP",3840,3,0.05203393045882
"40324",157,"BELHAR","GEN",81203,"RAJENDRA PANDIT NETAJEE","LJP",4864,4,0.0598992648054875
"40329",65,"BELSAND","GEN",84280,"LAL BABU RAI","LJP",9705,3,0.115151874703370
"40345",8,"BETTIAH","GEN",115271,"PARAS LAL VISHWAKARMA","LJP",6757,4,0.0586183862376487
"40362",150,"BHAGALPUR","GEN",92385,"RAJNISH KUMAR","LJP",2645,3,0.0286301888834768
"40369",22,"BHORE","SC",92023,"SURENDRA RAM","LJP",3838,5,0.041706964563207
"40371",99,"BIBHUTPUR","GEN",125092,"RAM BALAK SINGH","LJP",41865,2,0.334673680171394
"40384",176,"BIHAR","GEN",114302,"WASIM HASAN","LJP",2329,5,0.0203758464418820
"40388",152,"BIHPUR","GEN",80077,"POONAM DEO","LJP",7581,3,0.094671378797907
"40401",194,"BIKRAM","GEN",95330,"SHAILESH KUMAR SINGH","LJP",16507,3,0.173156404070072
"40415",74,"BISFI","GEN",82525,"MD. ZIYAUDDIN","LJP",5348,4,0.064804604665253
"40419",60,"BOCHAHA","SC",111357,"AWDHESH PASWAN","LJP",8340,3,0.0748942590048223
"40430",235,"BODH GAYA","SC",78621,"NAWAL KUMAR","LJP",16290,3,0.207196550539932
"40450",200,"BRAHMPUR","GEN",92039,"VISHESHWAR PANDEY","LJP",1824,8,0.0198176859809429
"40457",201,"BUXAR","GEN",102267,"SHEO KUMAR SHARMA","LJP",3656,3,0.0357495575307773
"40461",213,"CHAINPUR","GEN",110832,"DR. AJAY ALOK","LJP",9683,4,0.0873664645589721
"40474",159,"CHAKAI","GEN",93055,"BIRENDRA PRADHAN","LJP",17050,4,0.183224974477460
"40487",181,"CHANDI","GEN",71468,"NARESH KUMAR YADAV ALIAS NARO YADAV","LJP",12930,2,0.180920132087088
"40506",41,"CHAPRA","GEN",101561,"RAMBABU RAY","LJP",7771,3,0.0765155916148915
"40516",164,"CHAUTHAM","GEN",98247,"SUNITA SHARMA","LJP",29270,2,0.297922582877849
"40518",215,"CHENARI","SC",116692,"ASHA PASWAN","LJP",13755,4,0.117874404415041
"40525",108,"CHERIA BARIARPUR","GEN",95944,"ANIL CHAUDHARY","LJP",32892,1,0.342824981239056
"40540",114,"CHHATAPUR","SC",83111,"YOGENDRA NR. SARDAR","LJP",4250,3,0.0511364320005775
"40545",148,"COLGONG","GEN",122949,"SIKANDAR JAMAL","LJP",12779,3,0.103937404940260
"40550",98,"DALSINGHSARAI","GEN",115316,"SHEEL KUMAR ROY","LJP",38884,2,0.337195185403587
"40557",31,"DARAULI","GEN",93165,"MOHAN PRASAD RAJBHAR","LJP",2325,7,0.0249557237159878
"40568",89,"DARBHANGA","GEN",99154,"EHSANUL HAQUE","LJP",6595,3,0.0665126974201747
"40585",88,"DARBHANGA RURAL","SC",84423,"SUNITI RANJAN DAS","LJP",19552,3,0.231595655212442
"40595",217,"DEHRI","GEN",119391,"RADHA KRISHNA SINGH","LJP",4939,4,0.0413682773408381
"40601",219,"DEO","SC",89443,"KUSUM DEVI","LJP",11113,3,0.124246726965777
"40608",14,"DHAKA","GEN",97940,"BHAI PAWAN JAISWAL","LJP",28734,2,0.293383704308760
"40622",125,"DHAMDAHA","GEN",99384,"NEELAM DEVI","LJP",11900,3,0.119737583514449
"40632",1,"DHANAHA","GEN",59357,"RAJESH KUMAR KAWAT","LJP",1373,6,0.0231312229391647
"40649",191,"DINAPUR","GEN",96110,"SURESH RAI","LJP",7914,3,0.082343148475705
"40650",209,"DINARA","GEN",111434,"ASHOK KUMAR GUPTA","LJP",14239,3,0.127779672272376
"40674",237,"FATEHPUR","SC",75950,"SHYAM DEO PASWAN","LJP",25060,2,0.329953917050691
"40679",186,"FATWA","SC",88149,"PUNIT RAI","LJP",7104,4,0.0805908178198278
"40687",129,"FORBESGANJ","GEN",128594,"DIVYA PRAKASH MANDAL","LJP",3688,3,0.0286794096147565
"40700",61,"GAIGHATTI","GEN",86274,"VAKIL SAHNI","LJP",12967,3,0.150300206319401
"40709",42,"GARKHA","SC",82771,"VIJAY KUMAR","LJP",2857,5,0.0345169201773568
"40717",231,"GAYA MUFASSIL","GEN",91768,"MOHAMMAD NASIM","LJP",9940,4,0.108316624531427
"40737",86,"GHANSHYAMPUR","GEN",101950,"IZHAR AHMAD","LJP",33888,1,0.332398234428641
"40743",15,"GHORASAHAN","GEN",97282,"NEK MAHAMAD","LJP",29050,3,0.298616393577435
"40751",228,"GHOSI","GEN",94039,"VIJAY YADAV","LJP",2790,4,0.0296685417752209
"40755",20,"GOBINDGANJ","GEN",88872,"RAJAN TIWARI","LJP",19722,2,0.221914663786119
