"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"39986",13,"ADAPUR","GEN",110185,"HARI SHANKAR PRASAD YADAV","RJD",22235,3,0.201796977810047
"40005",166,"ALAULI","SC",87423,"RAMBRIKSHA SADA","RJD",32293,2,0.369387918511147
"40012",154,"AMARPUR","GEN",88383,"SURENDRA PRASAD SINGH","RJD",33679,1,0.381057443173461
"40030",198,"ARRAH","GEN",113344,"MD. NWAJ ALAM","RJD",38336,2,0.338226990400903
"40045",224,"ARWAL","GEN",89351,"MASHAROOR AHAMAD","RJD",11445,3,0.128090340343141
"40060",238,"ATRI","GEN",83306,"KUNTI DEVI","RJD",32162,1,0.386070631167023
"40088",220,"AURANGABAD","GEN",117788,"SURESH MEHTA","RJD",35953,2,0.305234828675247
"40094",77,"BABUBARHI","GEN",92458,"UMA KANT YADAV","RJD",37744,2,0.408228601094551
"40120",85,"BAHERA","GEN",86936,"ABDUL BARI SIDDIQUI","RJD",38910,1,0.447570626667894
"40127",87,"BAHERI","GEN",94035,"HARE KRISHNA YADAV","RJD",33420,1,0.355399585260807
"40134",26,"BAIKUNTHPUR","GEN",104536,"DEO DUTT PRASAD","RJD",44291,1,0.423691359914288
"40141",137,"BAISI","GEN",94247,"ABDUS SUBHAN","RJD",26042,2,0.276316487527454
"40150",109,"BAKHRI","SC",90405,"RAMANAND RAM","RJD",24109,2,0.26667772800177
"40154",185,"BAKHTIARPUR","GEN",88912,"ANIRUDH KUMAR","RJD",32719,2,0.367993071801332
"40170",103,"BALIA","GEN",92613,"SRINARAYAN YADAV","RJD",28992,2,0.313044604969065
"40181",156,"BANKA","GEN",94808,"JAWED IQBAL ANSARI","RJD",35200,2,0.371276685511771
"40189",126,"BANMANKHI","SC",81589,"KANT LAL RISHI","RJD",29320,2,0.35936216891983
"40200",236,"BARACHATTI","SC",81859,"SAMTA DEVI","RJD",25156,2,0.307308909221955
"40215",25,"BARAULI","GEN",97446,"MD. NEMTULLAH","RJD",37081,2,0.380528703076576
"40233",184,"BARH","GEN",90467,"ANIL KUMAR SINGH","RJD",24031,2,0.265632772171068
"40249",197,"BARHARA","GEN",100775,"RAGHVENDRA PRATAP SINGH","RJD",37945,2,0.376531877945919
"40269",55,"BARURAJ","GEN",97323,"BRIJ KISHOR SINGH","RJD",30018,2,0.308436854597577
"40283",27,"BASANTPUR","GEN",100170,"MANIKCHAND RAI","RJD",47922,1,0.478406708595388
"40302",68,"BATHNAHA","GEN",106365,"SURYADEO RAI","RJD",26202,2,0.246340431532929
"40318",229,"BELAGANJ","GEN",73798,"SURENDRA PRASAD YADAV","RJD",32726,1,0.443453752134204
"40325",157,"BELHAR","GEN",81203,"RAMDEO YADAV","RJD",27142,2,0.334248734652661
"40335",65,"BELSAND","GEN",84280,"SANJAY KUMAR GUPTA","RJD",30899,1,0.366623160892264
"40357",212,"BHABHUA","GEN",128122,"DR. PRAMOD KUMAR SINGH","RJD",28438,3,0.221960319070886
"40364",22,"BHORE","SC",92023,"ANIL KUMAR","RJD",33081,1,0.359486215402671
"40383",176,"BIHAR","GEN",114302,"SYED NAUSHADUN NAVI","RJD",39227,2,0.343187345803223
"40390",152,"BIHPUR","GEN",80077,"SHAILESH KUMAR ALIAS BULO MANDAL","RJD",33284,1,0.415649936935699
"40402",194,"BIKRAM","GEN",95330,"SHYAM DEO SINGH","RJD",26967,2,0.282880520297912
"40403",208,"BIKRAMGANJ","GEN",100244,"AKHLAQUE AHMAD","RJD",38024,2,0.379314472686645
"40424",60,"BOCHAHA","SC",111357,"RAMAI RAM","RJD",46861,1,0.420817730362707
"40431",235,"BODH GAYA","SC",78621,"PHOOLCHAND MANJHI","RJD",23669,2,0.301051881812747
