"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"40337",73,"BENIPATTI","GEN",91386,"CHANDAR  PASWAN","RLD",5074,4,0.055522727770118
"40417",74,"BISFI","GEN",82525,"S.M. ABDULLAH","RLD",1240,8,0.0150257497727961
"40569",89,"DARBHANGA","GEN",99154,"KHALIKUJJAMA","RLD",383,15,0.00386267825806321
"40686",186,"FATWA","SC",88149,"YOGENDRA PASWAN","RLD",1059,9,0.0120137494469591
"40850",92,"HAYAGHAT","GEN",83809,"BIPIN KR. ROY","RLD",2514,7,0.0299967783889558
"40906",91,"JALE","GEN",87811,"ASGAR  KAMAL NAUSHAD","RLD",1888,6,0.0215007231440252
"41049",90,"KEOTI","GEN",96210,"MUSHTAQUE AHMAD","RLD",1737,6,0.0180542563143124
"41225",78,"MADHUBANI","GEN",101029,"IMRAN ANSARI","RLD",2137,6,0.0211523423967376
"41596",189,"PATNA CENTRAL","GEN",129329,"RAM BABU BAITHA","RLD",208,14,0.00160830130906448
"41628",81,"PHULPARAS","GEN",83998,"KISHORE KUMAR","RLD",3003,5,0.0357508512107431
"41739",34,"RAGHUNATHPUR","GEN",94387,"MAHESH SINGH","RLD",1144,10,0.0121203131787216
"41758",177,"RAJGIR","SC",63264,"PANKAJ KUMAR","RLD",600,8,0.00948406676783005
"42050",38,"TARAIYA","GEN",83562,"NAND KISHOR SINGH","RLD",1011,10,0.0120988008903569
