"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"40054",175,"ASTHAWAN","GEN",72858,"JITENDRA PRASAD","SAP",1625,5,0.0223036591726372
"40153",109,"BAKHRI","SC",90405,"SAKAL DEO PASWAN","SAP",1123,8,0.0124218793208340
"40184",156,"BANKA","GEN",94808,"OM PRAKASH GUPTA","SAP",2862,4,0.0301873259640537
"40188",126,"BANMANKHI","SC",81589,"GUGAL PASWAN","SAP",1601,6,0.0196227432619593
"40242",184,"BARH","GEN",90467,"TAPENDRA NARAYAN","SAP",1660,7,0.0183492323167564
"40573",89,"DARBHANGA","GEN",99154,"RAJ KUMAR KANTH","SAP",389,14,0.00392319018899893
"40920",168,"JAMALPUR","GEN",90656,"SHIVDANI SINGH","SAP",1927,4,0.0212561771973173
"40927",170,"JAMUI","GEN",105054,"MANOHAR SINGH","SAP",3037,6,0.0289089420678889
"40936",48,"JANDAHA","GEN",97653,"PUNAM DEVI","SAP",1986,6,0.0203373168259040
"40999",207,"KARAKAT","GEN",104256,"KAMALA PRASAD SINGH","SAP",701,10,0.0067238336402701
"41410",167,"MONGHYR","GEN",92453,"LOK NATH KUSHWAHA","SAP",1100,7,0.0118979373303192
"41468",128,"NARPATGANJ","GEN",116930,"KAPIL DEO ROY","SAP",1218,10,0.0104164884973916
"41546",195,"PALIGANJ","GEN",99832,"SATISH CHANDRA SHARMA","SAP",580,12,0.00580976039746775
"41661",205,"PIRO","GEN",105254,"SHATRUJAY PANDEY","SAP",394,12,0.00374332566933323
"41672",147,"PIRPAINTI","GEN",114909,"SUNITA DEVI","SAP",1700,8,0.0147943155018319
"41779",3,"RAMNAGAR","GEN",104534,"MAJISTER YADAV","SAP",900,10,0.00860963896913923
"41973",67,"SITAMARHI","GEN",110660,"VINOD KUMAR SINGH","SAP",1142,7,0.0103198987890837
"42041",71,"SURSAND","GEN",94771,"AWADHESH KUMAR CHAUDHARY","SAP",1911,7,0.0201643962815629
"42052",38,"TARAIYA","GEN",83562,"RANANJAY KUMAR","SAP",1045,9,0.0125056844020009
"42072",134,"THAKURGANJ","GEN",130275,"SYED ATAUR RAHMAN","SAP",1473,10,0.0113068508923431
