"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"40264",144,"BARSOI","GEN",119617,"PREM KUMAR ROY","SHS",2907,6,0.0243025656888235
"40438",200,"BRAHMPUR","GEN",92039,"ANKLESH GIRI","SHS",427,13,0.00463933767207379
"40971",143,"KADWA","GEN",111833,"MAGAN PASWAN","SHS",619,14,0.00553503885257482
"41007",138,"KASBA","GEN",126822,"BAMBAM SAH","SHS",1717,9,0.0135386604847739
"41029",142,"KATIHAR","GEN",118602,"PREM KUMAR","SHS",709,10,0.00597797676261783
"41086",122,"KISHANGANJ 1","GEN",81787,"AJNEYA ANAND","SHS",3007,7,0.0367662342426058
"41394",183,"MOKAMEH","GEN",90396,"AJAY MAHTO","SHS",5051,4,0.0558763662108943
"41516",216,"NOKHA","GEN",103783,"OM PRAKASH  AVATAR","SHS",783,9,0.00754458822735901
"41595",189,"PATNA CENTRAL","GEN",129329,"OM PRAKASH  AWTAR","SHS",1909,4,0.0147608038413658
"41695",139,"PURNEA","GEN",118804,"BINDU PRAKASH JHA","SHS",569,13,0.00478940103026834
"41728",110,"RAGHOPUR 2","GEN",116333,"NARAYAN MANDAL","SHS",7298,4,0.0627337041080347
"41873",96,"SARAIRANJAN","GEN",107476,"SUBHASH PRASAD SINGH","SHS",6883,5,0.0640422047712978
"41881",214,"SASARAM","GEN",118553,"CHHANDAN SAW","SHS",1158,6,0.00976778318557945
"41959",116,"SINGHESHWAR","GEN",81894,"NIRMAL KUMAR YADAV","SHS",7088,4,0.0865509072703739
"42075",113,"TRIBENIGANJ","GEN",87077,"NARAYAN MANDAL","SHS",4437,5,0.0509549019833021
