"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"39989",13,"ADAPUR","GEN",110185,"NASIM AFROZ","SP",1020,9,0.0092571584153923
"40000",123,"ALAMNAGAR","GEN",86876,"NIRJALA SINGH","SP",1315,6,0.0151365164141995
"40007",154,"AMARPUR","GEN",88383,"ANIL KUMAR SINGH","SP",2211,5,0.0250161230100811
"40017",136,"AMOUR","GEN",85705,"SABA ZAFAR","SP",27423,2,0.319969663380199
"40019",130,"ARARIA","GEN",110253,"JAYANTA KUMAR GUPTA","SP",2464,7,0.0223485982240846
"40064",238,"ATRI","GEN",83306,"RAMASRAY PRA. SINGH","SP",10530,3,0.126401459678775
"40076",62,"AURAI","GEN",82082,"SANJAY SHAHI","SP",2680,6,0.0326502765527156
"40090",77,"BABUBARHI","GEN",92458,"HARI NARAYAN YADAV","SP",3739,4,0.040439983560103
"40102",2,"BAGHA","SC",119904,"DINESH CHANDRA RAM","SP",1094,10,0.00912396583933814
"40133",87,"BAHERI","GEN",94035,"SUSHIL KUMAR CHOUDHARY","SP",2607,6,0.0277237198915298
"40139",26,"BAIKUNTHPUR","GEN",104536,"NANDU RAI","SP",2465,6,0.0235803933573123
"40142",137,"BAISI","GEN",94247,"ALIMUDDIN ANSARI","SP",3988,5,0.0423143442231583
"40149",109,"BAKHRI","SC",90405,"RAM SHANKAR PASWAN","SP",2787,4,0.0308279409324706
"40156",185,"BAKHTIARPUR","GEN",88912,"KUMAR INDRADEO PRASAD","SP",1592,6,0.0179053446104013
"40167",103,"BALIA","GEN",92613,"MD. SAMSU JOHA","SP",1914,6,0.0206666450714263
"40191",126,"BANMANKHI","SC",81589,"RAMDEO RISHI","SP",2275,5,0.0278836607876062
"40201",236,"BARACHATTI","SC",81859,"SHIVNATH KUMAR NIRALA","SP",1899,8,0.0231984265627481
"40207",141,"BARARI","GEN",104698,"DINA YADAV","SP",3995,4,0.0381573669029017
"40214",25,"BARAULI","GEN",97446,"JAINATH PD. YADAV","SP",3484,5,0.0357531350696796
"40220",106,"BARAUNI","GEN",96342,"MAHENDRA SAHNI","SP",2625,5,0.0272466836893567
"40274",55,"BARURAJ","GEN",97323,"RAM SAKAL RAY","SP",4762,4,0.048929852141837
"40288",27,"BASANTPUR","GEN",100170,"SUSHILA SINGH","SP",1045,8,0.0104322651492463
"40301",68,"BATHNAHA","GEN",106365,"RAM PRAVESH YADAV","SP",3378,4,0.0317585671978564
"40323",157,"BELHAR","GEN",81203,"NAND KISHORE PANDIT","SP",1797,6,0.0221297242712708
"40342",8,"BETTIAH","GEN",115271,"MANGAL YADAV","SP",3261,5,0.0282898560782851
"40351",212,"BHABHUA","GEN",128122,"KAMESHWAR PRASAD","SP",1450,8,0.0113173381620643
"40367",22,"BHORE","SC",92023,"MANOJ KUMAR","SP",3554,6,0.0386207795877118
"40397",194,"BIKRAM","GEN",95330,"JITENDRA KUMAR","SP",1498,6,0.0157138361481171
"40407",208,"BIKRAMGANJ","GEN",100244,"HARENDRA SINGH","SP",2249,6,0.0224352579705519
"40447",200,"BRAHMPUR","GEN",92039,"SURYA KUMAR YADAV","SP",2111,7,0.0229359293343039
"40465",213,"CHAINPUR","GEN",110832,"MUSAFIR RAI","SP",3012,5,0.0271762667821568
"40480",159,"CHAKAI","GEN",93055,"VIJAY SHANKAR YADAV","SP",997,10,0.0107140938154855
"40491",7,"CHANPATIA","GEN",88836,"PANKAJ KUMAR","SP",6214,4,0.0699491197262371
"40502",41,"CHAPRA","GEN",101561,"PRADEEP KUMAR","SP",573,11,0.00564192948080464
"40513",164,"CHAUTHAM","GEN",98247,"DHIRENDRA KUMAR SINGH","SP",2084,6,0.0212118436186347
"40523",215,"CHENARI","SC",116692,"RAM JEE PASWAN","SP",1279,6,0.0109604771535324
"40528",108,"CHERIA BARIARPUR","GEN",95944,"JANKI DEVI","SP",1388,8,0.0144667722838322
"40535",114,"CHHATAPUR","SC",83111,"KUMARI SHOBHA","SP",1555,6,0.0187099180613878
"40543",148,"COLGONG","GEN",122949,"JITENDRA PRASAD YADAV","SP",3760,4,0.0305817859437653
"40556",31,"DARAULI","GEN",93165,"KAPIL DEW","SP",766,12,0.00822197177051468
"40572",89,"DARBHANGA","GEN",99154,"NAVIN KHATIK","SP",1159,6,0.0116888879924158
"40592",217,"DEHRI","GEN",119391,"NEETA SINGH","SP",352,12,0.00294829593520450
"40611",14,"DHAKA","GEN",97940,"NEK MOHAMD","SP",7240,4,0.0739228098836022
"40626",125,"DHAMDAHA","GEN",99384,"SHIV SHANKAR THAKUR","SP",1519,6,0.0152841503662561
"40635",1,"DHANAHA","GEN",59357,"RAMADHAR YADAV","SP",17700,2,0.298195663527469
"40656",209,"DINARA","GEN",111434,"SIPAHI RAI","SP",530,8,0.0047561785451478
"40664",203,"DUMRAON","GEN",104189,"SANJAY KUMAR SINGH","SP",1958,7,0.0187927708299341
"40673",237,"FATEHPUR","SC",75950,"RAJKUMAR MANJHI","SP",6012,4,0.079157340355497
"40676",186,"FATWA","SC",88149,"ASHOK PRABHAKAR","SP",1810,7,0.0205334150132163
"40689",129,"FORBESGANJ","GEN",128594,"MUJIBUR RAHMAN","SP",1412,6,0.0109802945705087
"40698",61,"GAIGHATTI","GEN",86274,"SHIV SHANKAR RAI","SP",2148,6,0.02489741984839
"40703",42,"GARKHA","SC",82771,"BISHWA NATH BAITHA","SP",1046,8,0.0126372763407474
"40716",231,"GAYA MUFASSIL","GEN",91768,"MD. AYYUB","SP",696,10,0.00758434312614419
"40736",86,"GHANSHYAMPUR","GEN",101950,"HARENDRA NARAYAN SINGH","SP",4258,4,0.0417655713585091
"40744",15,"GHORASAHAN","GEN",97282,"OM PRAKASH KUMAR","SP",2832,4,0.0291112436010773
"40775",223,"GOH","GEN",92540,"RAM AYODHYA PRASAD YADAV","SP",5194,5,0.0561270801815431
"40786",24,"GOPALGANJ","GEN",106688,"SUBHASH KUMAR SINGH","SP",4095,5,0.0383829484103179
"40803",28,"GOREAKOTHI","GEN",88683,"RIZWAN AHMAD","SP",876,8,0.00987787963871317
"40810",234,"GURUA","GEN",89146,"MOHAMMAD KHAN ALI","SP",938,8,0.0105220649271981
"40816",45,"HAJIPUR","GEN",109065,"JAGANNATH PRASAD YADAV","SP",1362,7,0.0124879658918993
"40826",75,"HARLAKHI","GEN",102017,"UMESH CHOUDHARY","SP",3248,5,0.0318378309497437
