"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"36888",198,"ARRAH","GEN",113891,"BHARAT BHUSAN PANDEY","ABJS",535,14,0.0046974739004838
"36963",220,"AURANGABAD","GEN",138397,"SANJAY KUMAR SINGH","ABJS",628,11,0.00453767061424742
"37220",197,"BARHARA","GEN",104660,"RANA RANJIT SINGH","ABJS",505,13,0.00482514809860501
"37439",194,"BIKRAM","GEN",109976,"STAYANDER KUMAR","ABJS",404,13,0.00367352876991344
"37449",208,"BIKRAMGANJ","GEN",109560,"HARENDRA SINGH","ABJS",525,11,0.00479189485213582
"37509",200,"BRAHMPUR","GEN",101442,"KRISHNA KUMAR PANDEY","ABJS",496,11,0.00488949350367698
"37525",201,"BUXAR","GEN",100459,"KRISHNA MURARI TIWARI","ABJS",361,16,0.00359350580833972
"37792",209,"DINARA","GEN",114226,"JITENDRA TIWARI","ABJS",211,16,0.00184721516992629
"38161",204,"JAGDISHPUR","GEN",109139,"CHANDRASAKHER MISHRA","ABJS",571,13,0.00523186028825626
"38339",207,"KARAKAT","GEN",102457,"SAMIR KUMAR MISHRA","ABJS",489,11,0.00477273392740369
"38985",59,"MUZAFFARPUR","GEN",130799,"MD. RAHMATULLAH","ABJS",390,16,0.00298167417182089
"39221",190,"PATNA EAST","GEN",121121,"SHRIKANT SINGH","ABJS",337,14,0.00278234162531683
"39284",193,"PHULWARI","SC",131459,"VINOD RAVIDAS","ABJS",424,14,0.00322534022014468
"39304",205,"PIRO","GEN",113252,"MADHURI DEVI","ABJS",719,11,0.00634867375410589
"39467",202,"RAJPUR","SC",86995,"RAM PASAD RAM","ABJS",365,12,0.00419564342778321
"39579",206,"SAHAR","SC",85831,"VIJAY KUMAR","ABJS",777,11,0.00905267327655509
"39621",196,"SANDESH","GEN",103375,"DILEEP SINGH","ABJS",666,11,0.00644256348246675
"39654",199,"SHAHPUR","GEN",104684,"AKHILESHWAR TIWARI","ABJS",510,12,0.00487180466929044
"39758",119,"SIMRI BAKHTIARPUR","GEN",102785,"SUBHASH  CHOUDHARY","ABJS",2077,6,0.0202072286812278
