"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"36975",107,"BACHWARA","GEN",102183,"AWADHESH KUMAR RAI","CPI",31058,2,0.303944883199749
"37056",109,"BAKHRI","SC",94373,"RAM BINOD PASWAN","CPI",33639,1,0.35644728894917
"37178",106,"BARAUNI","GEN",103273,"RAJENDRA PRASAD SINGH","CPI",44451,1,0.430422278814405
"37282",105,"BEGUSARAI","GEN",110825,"KAMLI MAHTO","CPI",28182,2,0.254292803970223
"37436",194,"BIKRAM","GEN",109976,"RAM NATH YADAV","CPI",2004,6,0.0182221575616498
"37607",164,"CHAUTHAM","GEN",103866,"SATYANARAYAN SINGH","CPI",20486,3,0.197234898811931
"37769",155,"DHURAIYA","SC",113422,"NARESH DAS","CPI",37834,2,0.333568443511841
"37806",203,"DUMRAON","GEN",108449,"NAGENDRA NATH OJHA","CPI",13416,4,0.123707918007543
"37894",232,"GAYA TOWN","GEN",92106,"MASOOD MANJAR","CPI",22380,2,0.242980913295551
"38043",75,"HARLAKHI","GEN",99083,"RAM NARESH PANDEY","CPI",38825,1,0.391843202163842
"38153",179,"ISLAMPUR","GEN",96339,"RAKESH KUMAR ROSHAN","CPI",20689,2,0.214752073407447
"38200",91,"JALE","GEN",80691,"ABDUS SALAM","CPI",11763,3,0.145778339591776
"38874",104,"MATIHANI","GEN",103951,"RAJENDRA RAJAN","CPI",26703,2,0.256880645688834
"38900",23,"MIRGANJ","GEN",86656,"BISHWANATH SINGH","CPI",2514,9,0.0290112629246677
"39311",147,"PIRPAINTI","GEN",120404,"AMBIKA PRASAD","CPI",25357,2,0.210599315637354
"39446",177,"RAJGIR","SC",70475,"ARJUN PASWAN ALIAS AJAY PASWAN","CPI",19614,2,0.278311457963817
"39553",124,"RUPAULI","GEN",95592,"BAL KISHORE MANDAL","CPI",7321,4,0.076585906770441
