"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"36809",13,"ADAPUR","GEN",107928,"SHYAM BIHARI PRASAD","JD(U)",38025,1,0.352318212141428
"36825",123,"ALAMNAGAR","GEN",97751,"NARENDRA NARAYAN YADAV","JD(U)",24808,1,0.25378768503647
"36837",166,"ALAULI","SC",95578,"RAMBRICHK  SADA","JD(U)",11143,3,0.116585406683546
"36858",154,"AMARPUR","GEN",109332,"VEDA NAND SINGH","JD(U)",25109,2,0.229658288515714
"36912",224,"ARWAL","GEN",95961,"RANJIT KUMAR","JD(U)",18929,3,0.197257219078584
"36920",175,"ASTHAWAN","GEN",77412,"JITENDRA  KUMAR","JD(U)",31387,1,0.405453934790472
"36941",62,"AURAI","GEN",85099,"ARJUN RAY","JD(U)",52327,1,0.614895592192623
"36968",77,"BABUBARHI","GEN",87362,"KAPIL DEB KAMAT","JD(U)",31674,2,0.36256038094366
"36989",2,"BAGHA","SC",120737,"PURNAMASI RAM","JD(U)",59151,1,0.489916098627595
"37000",133,"BAHADURGANJ","GEN",105442,"FIROZ ANJUM","JD(U)",2614,9,0.0247908802943798
"37025",87,"BAHERI","GEN",102590,"RAMA NAND SINGH","JD(U)",8850,3,0.0862657179062287
"37035",26,"BAIKUNTHPUR","GEN",100051,"MANJEET KUMAR SINGH","JD(U)",25719,2,0.25705889996102
"37078",103,"BALIA","GEN",93328,"KRISHNA MOHAN YADAV","JD(U)",23340,3,0.250085719183953
"37099",36,"BANIAPUR","GEN",85093,"YOGENDRA PANDEY","JD(U)",11955,3,0.140493342578120
"37134",236,"BARACHATTI","SC",99805,"VIJAY PASWAN","JD(U)",24243,2,0.242903662141175
"37184",174,"BARBIGHA","SC",74123,"MITHALESH KUMAR","JD(U)",27348,2,0.368954305681098
"37193",184,"BARH","GEN",92492,"LOVELY ANAND","JD(U)",26014,1,0.281256757341175
"37208",197,"BARHARA","GEN",104660,"ASHA DEVI","JD(U)",34010,1,0.324957003630804
"37253",55,"BARURAJ","GEN",98648,"SHASHI KUMAR RAI","JD(U)",25645,2,0.259964723055713
"37270",68,"BATHNAHA","GEN",103259,"RAM BAHADUR SINGH","JD(U)",22969,3,0.222440658925614
"37302",157,"BELHAR","GEN",91557,"JANARDAN  MANJHI","JD(U)",14900,2,0.162740150944221
"37317",65,"BELSAND","GEN",86739,"DIGVIJAY PRATAP SINGH","JD(U)",9506,4,0.109593147257866
"37330",73,"BENIPATTI","GEN",95158,"NAVENDRA JHA","JD(U)",9908,4,0.104121566237205
"37408",176,"BIHAR","GEN",127735,"DR. SUNIL KUMAR","JD(U)",74752,1,0.585211570830234
"37450",208,"BIKRAMGANJ","GEN",109560,"JAI KUMAR SINGH","JD(U)",29344,2,0.267834976268711
"37462",74,"BISFI","GEN",86668,"MANOJ KUMAR YADAV","JD(U)",13546,3,0.156297595421609
"37484",60,"BOCHAHA","SC",112254,"SHIV NATH CHOUDHARY","JD(U)",33432,2,0.297824576407077
"37556",181,"CHANDI","GEN",69523,"HARINARAYAN SINGH","JD(U)",32767,1,0.471311652258965
"37596",41,"CHAPRA","GEN",91562,"RAM PARVASH RAI","JD(U)",33776,1,0.368886656036347
"37606",164,"CHAUTHAM","GEN",103866,"PANNALAL SINGH PATEL","JD(U)",24024,2,0.231298018600890
"37615",215,"CHENARI","SC",119048,"LALAN PASWAN","JD(U)",51741,1,0.434623009206371
"37626",108,"CHERIA BARIARPUR","GEN",94467,"PRABHU SAHANI","JD(U)",9177,3,0.097145034774048
"37640",114,"CHHATAPUR","SC",82802,"VISHWA MOHAN BHARTI","JD(U)",30860,2,0.372696311683293
"37650",148,"COLGONG","GEN",133609,"RAJ KUMAR SINGH","JD(U)",21591,2,0.161598395317681
"37655",98,"DALSINGHSARAI","GEN",116417,"DR. KRISHNA MURARI SAH","JD(U)",10296,3,0.088440691651563
"37690",88,"DARBHANGA RURAL","SC",80814,"JAGDISH CHOUDHARY","JD(U)",8534,3,0.105600514762294
"37720",219,"DEO","SC",96607,"RENU DEVI","JD(U)",32677,1,0.338246710900866
"37741",125,"DHAMDAHA","GEN",105897,"LESHI SINGH","JD(U)",40587,1,0.383268647837049
"37759",1,"DHANAHA","GEN",63287,"RAGHUNATH PRASAD SAHANI","JD(U)",1716,9,0.0271145732930934
"37763",155,"DHURAIYA","SC",113422,"BHUDEV CHOUDHARY","JD(U)",47625,1,0.419892084428065
"37795",209,"DINARA","GEN",114226,"RAM DHANI SINGH","JD(U)",32443,1,0.284024652881130
"37809",203,"DUMRAON","GEN",108449,"RAM BIHARI SINGH","JD(U)",14099,3,0.130005809182196
"37819",237,"FATEHPUR","SC",106929,"JITAN RAM MANJHI","JD(U)",23465,3,0.219444678244443
"37835",186,"FATWA","SC",91102,"SARYUG PASWAN","JD(U)",38373,1,0.421209194090141
"37847",61,"GAIGHATTI","GEN",89288,"ASHOK KUMAR SINGH","JD(U)",21077,2,0.236056356957262
"37877",231,"GAYA MUFASSIL","GEN",111619,"DR. RAM KUMAR MEHTA","JD(U)",11389,3,0.102034599844113
"37917",15,"GHORASAHAN","GEN",94135,"PRAMOD KUMAR SINHA","JD(U)",10141,5,0.107728262601583
"37934",20,"GOBINDGANJ","GEN",89763,"MINA DVIWEDI","JD(U)",31325,1,0.348974521796286
"37955",241,"GOBINDPUR","GEN",102769,"PROF. K. V. PRASAD","JD(U)",10492,2,0.102093043622104
"37963",223,"GOH","GEN",94441,"DR. RANVIJAY KUMAR","JD(U)",27812,1,0.294490740250527
"37986",151,"GOPALPUR","GEN",113568,"NARENDRA KU. NIRAJ","JD(U)",41206,2,0.362831079177233
"38058",182,"HARNAUT","GEN",78514,"SUNIL KUMAR","JD(U)",45909,1,0.584723743536185
"38067",19,"HARSIDHI","GEN",95013,"MAHESHWAR SINGH","JD(U)",28791,2,0.303021691768495
"38073",102,"HASANPUR","GEN",85769,"GAJENDRA PRASAD HIMANSHU","JD(U)",11777,3,0.13731068334713
"38098",92,"HAYAGHAT","GEN",80807,"UMAKANT CHODHARY","JD(U)",17198,2,0.212828096575792
"38111",180,"HILSA","GEN",89991,"RAMCHARITRA PRASAD SINGH","JD(U)",34698,1,0.385571890522386
"38144",233,"IMAMGANJ","SC",80992,"UDAY NARAYAN CHAUDHARY","JD(U)",24454,1,0.301931054919004
"38154",179,"ISLAMPUR","GEN",96339,"RAMSWAROOP PRASAD","JD(U)",40749,1,0.422975119110641
"38170",204,"JAGDISHPUR","GEN",109139,"SHREE BHAGWAN SINGH","JD(U)",29495,1,0.27025169737674
"38188",40,"JALALPUR","GEN",91149,"HEM NARAYAN SINGH","JD(U)",9282,3,0.101833262021525
"38219",168,"JAMALPUR","GEN",92681,"SHAILESH KUMAR","JD(U)",45536,1,0.491319687961934
"38230",170,"JAMUI","GEN",129135,"SUSHIL KUMAR SINGH","JD(U)",6614,4,0.0512177178921284
