"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"37043",137,"BAISI","GEN",96186,"JAMILUR RAHMAN","JDP",853,11,0.00886823446239578
"37121",126,"BANMANKHI","SC",89605,"MANJU DEVI","JDP",2598,7,0.0289939177501255
"37155",141,"BARARI","GEN",103395,"SHAMBHU MAHALDAR","JDP",1334,14,0.0129019778519271
"37237",144,"BARSOI","GEN",121985,"S.K.SAMIRUDDIN","JDP",3026,9,0.0248063286469648
"38283",143,"KADWA","GEN",110253,"MADAN LAL RAY","JDP",1146,11,0.0103942749857147
"38352",138,"KASBA","GEN",125505,"MOJIB","JDP",1200,17,0.00956137205689016
"38386",142,"KATIHAR","GEN",123722,"MAHAMAD SALIM","JDP",2670,6,0.0215806404681463
"38516",140,"KORHA","SC",107703,"WAKIL DAS","JDP",2391,7,0.0221999387203699
"38773",146,"MANIHARI","GEN",86387,"BRAJ LAL SOREN","JDP",2584,9,0.0299119080417192
"39362",139,"PURNEA","GEN",115583,"DHARMENDRA ORAON","JDP",915,17,0.00791638908836075
