"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"36814",123,"ALAMNAGAR","GEN",97751,"AKHILESH SINGH","LJP",8595,5,0.0879274892328467
"36835",166,"ALAULI","SC",95578,"PASHUPATI KUMAR PARAS","LJP",39951,1,0.417993680554102
"36856",154,"AMARPUR","GEN",109332,"SUNIL KUMAR  SINGH","LJP",5917,4,0.0541195624336882
"36906",224,"ARWAL","GEN",95961,"DULARCHAND SINGH","LJP",28864,1,0.300788862141912
"36924",175,"ASTHAWAN","GEN",77412,"MUKESH KUMAR","LJP",10888,3,0.140650028419366
"36937",238,"ATRI","GEN",118017,"RANJEET SINGH","LJP",6554,4,0.0555343721667217
"36954",220,"AURANGABAD","GEN",138397,"ANANT VIJAY PRASAD SINGH","LJP",8467,3,0.0611790718006893
"36969",77,"BABUBARHI","GEN",87362,"MAHADEV SAHANI","LJP",8889,3,0.101749044206863
"36984",107,"BACHWARA","GEN",102183,"YUGESHWAR GOP","LJP",5783,4,0.0565945411663388
"36993",2,"BAGHA","SC",120737,"RAMBHA DEVI","LJP",3384,5,0.0280278622129090
"37017",85,"BAHERA","GEN",87174,"YUGESHWAR SAHANI","LJP",10131,3,0.116215844173722
"37023",87,"BAHERI","GEN",102590,"MOHAN CHOUDHARY","LJP",35684,2,0.347831172628911
"37034",26,"BAIKUNTHPUR","GEN",100051,"MANDEO TIWARY","LJP",6611,6,0.0660763010864459
"37048",137,"BAISI","GEN",96186,"SHAMIM AKHTAR","LJP",9986,5,0.103819682698106
"37051",109,"BAKHRI","SC",94373,"DHIRENDRA KUMAR","LJP",17899,3,0.189662297479152
"37076",103,"BALIA","GEN",93328,"JAMSHED ASRAF","LJP",27436,2,0.293973941368078
"37090",36,"BANIAPUR","GEN",85093,"MANORANJAN SINGH","LJP",32724,1,0.384567473235166
"37102",156,"BANKA","GEN",104720,"AVINASH YADAV","LJP",5812,4,0.0555003819709702
"37128",126,"BANMANKHI","SC",89605,"UMESH PASWAN","LJP",6634,4,0.0740360470955862
"37132",236,"BARACHATTI","SC",99805,"RAMSWAROOP MANDAL","LJP",8558,3,0.0857472070537548
"37154",141,"BARARI","GEN",103395,"SAYOGITA SINGH","LJP",13887,4,0.134310169737415
"37163",25,"BARAULI","GEN",90053,"ABRAR SIDDIQUI","LJP",3602,6,0.0399986674513897
"37177",106,"BARAUNI","GEN",103273,"PADIP RAI","LJP",39532,2,0.382791242628761
"37221",197,"BARHARA","GEN",104660,"SARYAU YADAV","LJP",2093,7,0.019998089050258
"37269",68,"BATHNAHA","GEN",103259,"NAGINA DEVI","LJP",30797,1,0.298250031474254
"37292",229,"BELAGANJ","GEN",106005,"MD. AMJAD","LJP",35911,2,0.338767039290599
"37311",157,"BELHAR","GEN",91557,"SHEELA  SINGH","LJP",2751,8,0.0300468560568826
"37327",65,"BELSAND","GEN",86739,"SUNITA SINGH","LJP",28958,1,0.333852131105962
"37354",212,"BHABHUA","GEN",131138,"ANAMAL KHAN","LJP",12097,5,0.0922463359209383
"37395",22,"BHORE","SC",88159,"SURENDER RAM","LJP",17464,2,0.198096620878186
"37399",99,"BIBHUTPUR","GEN",121716,"RAM BALAK SINGH","LJP",49622,2,0.407686746196063
"37410",176,"BIHAR","GEN",127735,"JAGESHAR  YADAV","LJP",3857,3,0.0301953262614006
"37422",152,"BIHPUR","GEN",103431,"SHAILESH PRASAD SINGH","LJP",17637,3,0.170519476752618
"37426",194,"BIKRAM","GEN",109976,"ANIL KUMAR","LJP",46150,1,0.419637011711646
"37477",60,"BOCHAHA","SC",112254,"AWDHESH PASWAN","LJP",10706,3,0.0953729933899906
"37492",235,"BODH GAYA","SC",99854,"MAUJI RAM","LJP",21766,2,0.217978248242434
"37515",200,"BRAHMPUR","GEN",101442,"SWAMINATH TIWARI","LJP",4888,5,0.0481851698507522
"37516",201,"BUXAR","GEN",100459,"AJAY CHOUBEY","LJP",5441,5,0.054161399177774
"37543",159,"CHAKAI","GEN",104693,"ABHAY SINGH","LJP",27948,1,0.266951945211237
"37588",41,"CHAPRA","GEN",91562,"JAI NARAIN SINGH 'SOLANKI'","LJP",8410,3,0.0918503309233088
"37610",164,"CHAUTHAM","GEN",103866,"SUNITA SHARMA","LJP",28691,1,0.276230912907015
"37620",108,"CHERIA BARIARPUR","GEN",94467,"ANIL CHOUDHARY","LJP",32741,1,0.3465866387204
"37636",114,"CHHATAPUR","SC",82802,"KUMBHA NARAYAN SARDAR","LJP",3704,3,0.0447332190043719
