"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"36823",123,"ALAMNAGAR","GEN",97751,"MEENA DEVI","NCP",878,13,0.00898200529917853
"36852",154,"AMARPUR","GEN",109332,"RAMKISHORE  ISHWAR","NCP",4033,6,0.0368876449712801
"36871",136,"AMOUR","GEN",115787,"SIKANDARK ALAM ALIAS DARA","NCP",5552,5,0.0479501152979177
"36958",220,"AURANGABAD","GEN",138397,"KAUSHAL SINGH","NCP",1548,6,0.0111852135523169
"37006",133,"BAHADURGANJ","GEN",105442,"MD. MASHAWAR ALAM","NCP",2016,12,0.0191195159424138
"37144",141,"BARARI","GEN",103395,"MUHAMMAD SAKUR","NCP",18542,1,0.179331689153247
"37234",144,"BARSOI","GEN",121985,"MUKHATAR   ALAM","NCP",3251,8,0.0266508177234906
"37346",8,"BETTIAH","GEN",119551,"NAVENDU CHATURVEDI","NCP",744,11,0.00622328545976194
"37467",74,"BISFI","GEN",86668,"MD. ZIAUDDIN","NCP",3231,7,0.0372801956892971
"37572",7,"CHANPATIA","GEN",87431,"MAHAMMAD JIYAUDDIN","NCP",1201,12,0.0137365465338381
"37755",1,"DHANAHA","GEN",63287,"INDRAJIT YADAV","NCP",2985,6,0.0471660846619369
"37931",20,"GOBINDGANJ","GEN",89763,"CHANDRA KISHOR  PANDEY","NCP",1805,7,0.0201085079598498
"38077",102,"HASANPUR","GEN",85769,"RAJANI KANT JHA","NCP",517,13,0.0060278189089298
"38273",143,"KADWA","GEN",110253,"ABDUL ZALIL","NCP",35289,1,0.320072923185764
"38361",138,"KASBA","GEN",125505,"SAYED GULAM HUSSAIN","NCP",7392,4,0.0588980518704434
"38401",142,"KATIHAR","GEN",123722,"SRI SATYA NARAYAN PRASAD","NCP",2098,8,0.0169573721730977
"38599",6,"LAURIA","GEN",95810,"MOHAMMAD JAWED","NCP",2931,6,0.0305917962634381
"38787",146,"MANIHARI","GEN",86387,"SAGIR AHMAD","NCP",15729,2,0.182076006806580
"39068",239,"NAWADA","GEN",127329,"DR. SHATRUGHAN PRASAD SINGH","NCP",5310,5,0.0417029898923262
"39171",49,"PATEPUR","SC",92148,"HARIWANSH PASWAN","NCP",921,9,0.00999479098840995
"39183",189,"PATNA CENTRAL","GEN",138662,"AQUIL HAIDER","NCP",25027,3,0.180489247234282
"39234",188,"PATNA WEST","GEN",174998,"DR. ARVIND KUMAR","NCP",742,11,0.00424004845769666
"39339",145,"PRANPUR","GEN",108099,"RAJ KUMAR MANDAL","NCP",13577,2,0.125597831617314
"39492",3,"RAMNAGAR","GEN",97660,"MD. SALAHUDDIN","NCP",10353,5,0.106010649191071
"39517",10,"RAXAUL","GEN",101287,"ARJUN BHARATIYA","NCP",9616,4,0.0949381460602052
"39701",4,"SHIKARPUR","SC",97699,"SUBODH KUMAR","NCP",30421,1,0.311374732597058
"39729",5,"SIKTA","GEN",95532,"KRISHNA PRASAD","NCP",5183,6,0.0542540719340116
"39742",131,"SIKTI","GEN",137676,"JAMIL AKHTAR","NCP",1854,12,0.0134663993724396
"39836",11,"SUGAULI","GEN",110691,"RAKESH KUMAR JHA","NCP",1291,13,0.0116630981741966
"39877",169,"SURAJGARHA","GEN",91079,"UPENDRA PRASAD SINGH","NCP",692,13,0.00759779971233764
"39927",134,"THAKURGANJ","GEN",131127,"NOUSHAD ALAM","NCP",26133,3,0.19929533963257
