"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"36909",224,"ARWAL","GEN",95961,"KAMTA PRASAD","RLD",830,8,0.00864934713060514
"36990",2,"BAGHA","SC",120737,"RAM PRAWESH RAM","RLD",1997,7,0.0165400829903012
"37363",212,"BHABHUA","GEN",131138,"RAM YASH SINGH","RLD",4506,6,0.0343607497445439
"37700",217,"DEHRI","GEN",112190,"INDRAJEET SINGH","RLD",685,12,0.00610571352170425
"37797",209,"DINARA","GEN",114226,"UMESH SINGH","RLD",355,13,0.00310787386409399
"37853",61,"GAIGHATTI","GEN",89288,"MIRA DEVI","RLD",888,12,0.00994534539915778
"37885",231,"GAYA MUFASSIL","GEN",111619,"SAROJ DEVI","RLD",637,8,0.00570691369748878
"37947",241,"GOBINDPUR","GEN",102769,"JAY KARAN SHARMA","RLD",532,12,0.00517665833081960
"38022",45,"HAJIPUR","GEN",118745,"DEVENDRA YADAV BHARTI","RLD",404,19,0.00340224851572698
"38062",182,"HARNAUT","GEN",78514,"VISHWA MOHAN CHOWDHARY","RLD",1826,6,0.0232569987518150
"38203",91,"JALE","GEN",80691,"IRFANUR RAHMAN","RLD",1397,9,0.0173129593139260
"38307",93,"KALYANPUR","GEN",101724,"BAIJU SAH","RLD",2036,6,0.0200149423931422
"38364",138,"KASBA","GEN",125505,"UPENDRA NATH SAGAR","RLD",1045,19,0.00832636149954185
"38918",211,"MOHANIA","SC",110381,"MUKUD RAWAT","RLD",953,9,0.00863373225464527
"38952",167,"MONGHYR","GEN",109509,"RAMDEV SINGH YADAV","RLD",1091,7,0.00996265147156855
"39120",195,"PALIGANJ","GEN",102616,"PINTU SHARMA","RLD",652,16,0.00635378498479769
"39202",189,"PATNA CENTRAL","GEN",138662,"SARSWATI SHARMA","RLD",179,23,0.00129090882866250
"39259",188,"PATNA WEST","GEN",174998,"VISHNU PASWAN","RLD",440,17,0.00251431444930799
"39309",205,"PIRO","GEN",113252,"SRIRAM SINGH","RLD",605,12,0.00534206901423374
"39359",72,"PUPRI","GEN",99393,"VISHWANATH MISHRA","RLD",1048,9,0.0105440020927027
"39496",3,"RAMNAGAR","GEN",97660,"PRAMOD KUMAR SINGH","RLD",1065,11,0.0109051812410403
"39603",58,"SAKRA","SC",96506,"DEVAN KUMAR","RLD",1308,8,0.0135535614365946
"39612",95,"SAMASTIPUR","GEN",108067,"ASHA DEVI","RLD",1139,9,0.0105397577428817
