"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"36829",166,"ALAULI","SC",95578,"ANITA DEVI","RLSM",3044,4,0.0318483332984578
"37084",103,"BALIA","GEN",93328,"VIJAY RAM","RLSM",1792,7,0.0192010972055546
"37272",68,"BATHNAHA","GEN",103259,"RAMBABU RAI","RLSM",2030,8,0.0196593033052809
"37356",212,"BHABHUA","GEN",131138,"MANJU DEVI","RLSM",569,20,0.00433894065793286
"37531",201,"BUXAR","GEN",100459,"RAJENDRA PRASAD","RLSM",612,14,0.00609203754765626
"37605",164,"CHAUTHAM","GEN",103866,"MAHENDRA PRASAD GUPTA","RLSM",2638,6,0.0253981091021123
"37989",151,"GOPALPUR","GEN",113568,"SUBODH SAH","RLSM",1749,5,0.0154004649196957
"38442",165,"KHAGARIA","GEN",105037,"UMESH THAKUR","RLSM",2019,6,0.0192217980330741
"38677",118,"MAHISHI","GEN",101888,"LAXMI  NARAYAN  JHA","RLSM",806,9,0.00791064698492462
"38848",187,"MASAURHI","GEN",109669,"SURESH PRASAD","RLSM",500,16,0.00455917351302556
"38950",167,"MONGHYR","GEN",109509,"MANOHAR PASWAN","RLSM",716,8,0.00653827539289008
"39195",189,"PATNA CENTRAL","GEN",138662,"MAYA VERMA","RLSM",181,21,0.00130533239099393
"39643",214,"SASARAM","GEN",118573,"BIHARI PRASAD","RLSM",1574,7,0.0132745228677692
"39776",101,"SINGHIA","SC",91434,"SUNIL KUMAR RAJAK","RLSM",2579,6,0.0282061377605705
"39778",67,"SITAMARHI","GEN",108339,"BABLOO SINGH","RLSM",762,9,0.00703347824883006
