"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"37432",194,"BIKRAM","GEN",109976,"KUSUM DEVI","RSMD",2317,5,0.0210682330690332
"37451",208,"BIKRAMGANJ","GEN",109560,"JITENDRA NATH MORYA","RSMD",740,9,0.00675428988682
"37613",215,"CHENARI","SC",119048,"CHAND MUNI PASWAN","RSMD",1470,7,0.0123479604865264
"37701",217,"DEHRI","GEN",112190,"JYOTI SHANKAR","RSMD",251,16,0.00223727604955878
"37788",209,"DINARA","GEN",114226,"BABAN SINGH KUSHWAHA","RSMD",3826,6,0.0334950011380947
"38337",207,"KARAKAT","GEN",102457,"RAM SURESH SINGH","RSMD",1362,6,0.0132933816137502
"38486",111,"KISHUNPUR","GEN",99280,"PRAKASH CHANDRA MEHTA","RSMD",2382,7,0.0239927477840451
"38915",211,"MOHANIA","SC",110381,"BIJAY PRASAD","RSMD",896,10,0.00811733903479766
"39150",163,"PARBATTA","GEN",107451,"SUSHIL CHANDRA SINGH","RSMD",1203,7,0.0111958008766787
"39420",110,"RAGHOPUR 2","GEN",120137,"SAROJ KUMAR","RSMD",8675,6,0.0722092277982637
