"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"36796",13,"ADAPUR","GEN",107928,"ARBIND PRASAD SAH","SAP",2691,7,0.0249332888592395
"36832",166,"ALAULI","SC",95578,"BUDHAN SADA","SAP",1198,9,0.0125342652074745
"36848",154,"AMARPUR","GEN",109332,"MANDESHWARI  RAO","SAP",1070,18,0.00978670471591117
"36892",198,"ARRAH","GEN",113891,"NAND  KISHORE  SINGH","SAP",996,9,0.00874520374744273
"36973",107,"BACHWARA","GEN",102183,"ANIL SINGH","SAP",1380,8,0.013505181879569
"37027",87,"BAHERI","GEN",102590,"SUSHIL KUMAR CHOUDHARY","SAP",1305,8,0.0127205380641388
"37077",103,"BALIA","GEN",93328,"KAMNI DEVI","SAP",1658,9,0.0177653008743357
"37149",141,"BARARI","GEN",103395,"PREMNATH JAISWAL","SAP",939,19,0.0090816770636878
"37246",55,"BARURAJ","GEN",98648,"BALENDRA SINGH","SAP",1162,7,0.0117792555348309
"37263",27,"BASANTPUR","GEN",94642,"RITESH SINGH","SAP",1459,7,0.0154159886731050
"37275",68,"BATHNAHA","GEN",103259,"SHIV SHANKAR MANDAL","SAP",1629,9,0.0157758645735481
"37286",105,"BEGUSARAI","GEN",110825,"SANJAY KUMAR","SAP",3064,5,0.0276471915181593
"37308",157,"BELHAR","GEN",91557,"MANOJ  AZAD","SAP",4937,6,0.0539226929672226
"37413",176,"BIHAR","GEN",127735,"RAJESH KUMAR","SAP",1314,5,0.0102869221435002
"37568",7,"CHANPATIA","GEN",87431,"DAROGA PRASAD GUPTA","SAP",3083,8,0.0352620923928584
"37625",108,"CHERIA BARIARPUR","GEN",94467,"NARESH KUMAR DAS","SAP",2481,7,0.0262631395090349
"37634",114,"CHHATAPUR","SC",82802,"JAG DEO RAM","SAP",1694,9,0.020458443032777
"37706",217,"DEHRI","GEN",112190,"NARENDRA KUMAR MAURYA","SAP",461,14,0.00410910063285498
"37754",1,"DHANAHA","GEN",63287,"BAWWAN PRASAD YADAV","SAP",3320,5,0.0524594308467774
"37857",61,"GAIGHATTI","GEN",89288,"SATYA NARAYAN MANDAL","SAP",1287,9,0.0144140310008064
"37890",232,"GAYA TOWN","GEN",92106,"BINOD KUMAR","SAP",466,12,0.0050593880963238
"37923",15,"GHORASAHAN","GEN",94135,"YADO LAL  PASWAN","SAP",747,11,0.00793541190842938
"38037",45,"HAJIPUR","GEN",118745,"SUSHILA DEVI","SAP",560,14,0.00471598804160175
"38100",180,"HILSA","GEN",89991,"ANIL KUMAR","SAP",927,8,0.0103010301030103
"38159",204,"JAGDISHPUR","GEN",109139,"BINAY KUMAR MISHRA","SAP",963,8,0.00882361025847772
"38198",40,"JALALPUR","GEN",91149,"SRIBHAGWAN RAI","SAP",1591,9,0.0174549364227803
"38220",168,"JAMALPUR","GEN",92681,"SHIVDANI SINGH","SAP",1575,7,0.0169937743442561
"38365",138,"KASBA","GEN",125505,"VIDHYANAND MEHTA","SAP",2092,11,0.0166686586191785
"38423",18,"KESARIYA","GEN",85101,"ABHINEET ANAND","SAP",1960,8,0.0230314567396388
"38440",165,"KHAGARIA","GEN",105037,"RAMGULAM SAHNI","SAP",1051,9,0.0100059978864591
"38459",122,"KISHANGANJ 1","GEN",87157,"DHIRENDRA KUMAR MEHTA","SAP",1812,7,0.02079006849708
"38503",140,"KORHA","SC",107703,"AITWARI RAVIDAS","SAP",1836,8,0.0170468789170218
"38521",115,"KUMARKHAND","SC",67654,"UMANAND PASWAN","SAP",2288,6,0.0338191385579567
