"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42196",56,"AMOUR","GEN",124701,"ASLAM","ANC",2746,5,0.0220206734508945
"42252",214,"ARWAL","GEN",94911,"RANJEET KUMAR","ANC",2534,9,0.0266986966737259
"42297",89,"AURAI","GEN",116668,"RAM BABU SHARMA","ANC",1211,13,0.0103798813727843
"42498",182,"BANKIPUR","GEN",109309,"BINOY KUMAR SINHA","ANC",485,9,0.0044369631045934
"42813",156,"BHAGALPUR","GEN",117003,"TARKESHWAR PD. MISHRA","ANC",245,14,0.00209396340264780
"43268",113,"EKMA","GEN",102981,"RAJ KUMAR PATHAK","ANC",1029,12,0.00999213447140735
"43289",185,"FATWAH","GEN",111774,"SHYAM BABU KUMAR","ANC",376,16,0.00336393078891334
"43650",216,"JAHANABAD","GEN",110616,"DHANESHVAR THAKUR","ANC",1292,11,0.0116800462862515
"43773",155,"KAHALGAON","GEN",132286,"DEV NARAYAN YADAV","ANC",732,11,0.00553346537048516
"44342",189,"MASAURHI","SC",142650,"RAGHUWAR PASWAN","ANC",1752,8,0.0122818086225026
"44563",158,"NATHNAGAR","GEN",122257,"MUMTAZ","ANC",954,10,0.00780323417064054
"44646",220,"OBRA","GEN",130262,"VIJAY SHARMA","ANC",1119,10,0.00859037938923093
"44726",184,"PATNA SAHIB","GEN",134301,"GHANSHYAM LAL JAMUAR","ANC",335,14,0.00249439691439379
"44759",188,"PHULWARI","SC",135457,"ANIL DAS","ANC",1858,6,0.0137165299689200
"44857",224,"RAFIGANJ","GEN",117986,"KALIMUDDIN KHAN","ANC",2394,6,0.0202905429457732
"45389",157,"SULTANGANJ","GEN",123561,"MATIUR RAHMAN","ANC",1412,15,0.0114275540016672
