"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42202",56,"AMOUR","GEN",124701,"TUKSI DEVI","BJJD",1188,7,0.00952678807708038
"42514",59,"BANMANKHI","SC",126527,"GYANCHAND PASWAN","BJJD",1338,11,0.0105748180230307
"42837",71,"BIHARIGANJ","GEN",152620,"ASHOK KUMAR VERMA","BJJD",1245,11,0.00815751539771983
"43279",185,"FATWAH","GEN",111774,"ATRIPT JAWAHAR","BJJD",970,10,0.00867822570544134
"43340",230,"GAYA TOWN","GEN",103153,"MANOJ KUMAR","BJJD",211,20,0.00204550522040076
"43659",216,"JAHANABAD","GEN",110616,"RAMBARAN PRASAD","BJJD",399,19,0.00360707311781297
"43922",149,"KHAGARIA","GEN",113831,"SADASHIV PRASAD JAISWAL","BJJD",968,13,0.00850383463204224
"44229",218,"MAKHDUMPUR","SC",90186,"GANAURI PASWAN","BJJD",586,10,0.00649768256713902
"44771",188,"PHULWARI","SC",135457,"VIDHAN CHANDRA RANA","BJJD",876,9,0.00646699690676746
"44845",62,"PURNIA","GEN",131847,"ANIRUDH MEHTA","BJJD",651,12,0.00493754124098387
"45558",1,"VALMIKI NAGAR","GEN",143701,"RAMASHANKAR PRASAD","BJJD",1042,12,0.00725116735443734
