"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42537",68,"BARARI","GEN",136794,"HOPEN MURMU","BVM",1147,8,0.00838487068146264
"42616",193,"BARHARA","GEN",111190,"MRITUNJAY BHARDWAJ","BVM",1361,7,0.0122403093803400
"42757",80,"BENIPUR","GEN",107178,"VIJAY KUMAR MISHRA","BVM",2814,6,0.0262553882326597
"42810",156,"BHAGALPUR","GEN",117003,"RAJIV MISHRA","BVM",477,10,0.00407681854311428
"42842",71,"BIHARIGANJ","GEN",152620,"NAVEEN KUMAR MEHTA","BVM",1646,7,0.0107849561001179
"43113",109,"DARAUNDHA","GEN",110869,"BIPIN BIHARI SINGH","BVM",515,22,0.00464512172022838
"43259",113,"EKMA","GEN",102981,"BINOD KUMAR BHARTI","BVM",725,15,0.00704013361688078
"43295",48,"FORBESGANJ","GEN",143965,"MANOJ SADA","BVM",574,15,0.00398708019310249
"43842",213,"KARAKAT","GEN",127790,"SURENDRA PANDEY","BVM",2051,7,0.0160497691525158
"44094",124,"LALGANJ","GEN",142678,"RUPESH KUMAR SINGH","BVM",1495,9,0.0104781395870422
"44205",126,"MAHUA","GEN",115908,"MANJAR HUSSAIN","BVM",938,17,0.00809262518549194
"44277",67,"MANIHARI","ST",126140,"PHOOLMANI HEMBRAM","BVM",2233,8,0.0177025527192009
"44386",137,"MOHIUDDINNAGAR","GEN",105108,"FANI BHUSHAN YADAV","BVM",580,11,0.00551813372911672
"44457",165,"MUNGER","GEN",129649,"SUNIL SOLANKI (SAHA)","BVM",1269,9,0.00978796596965653
"44611",41,"NIRMALI","GEN",130487,"UPENDER SINGH KUSHWAHA","BVM",1330,8,0.0101925862346441
"44618",211,"NOKHA","GEN",116708,"DAYANAND PRASAD","BVM",546,18,0.00467834253007506
"44806",42,"PIPRA (Supaul)","GEN",122364,"SANJEET KUMAR CHOUDHARY","BVM",1231,14,0.0100601484096630
"44996",2,"RAMNAGAR","SC",125257,"SAHODARI DEVI","BVM",1038,13,0.00828696200611543
"45151",192,"SANDESH","GEN",112877,"SATYENDRA MEHTA","BVM",2190,8,0.0194016495831746
"45435",167,"SURYAGARHA","GEN",128485,"SHYAM KISHORE SINGH","BVM",1943,9,0.0151223878273728
"45633",106,"ZIRADEI","GEN",108054,"RAKESH KUMAR PANDEY","BVM",1305,18,0.0120772946859903
