"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42393",85,"BAHADURPUR","GEN",115518,"SHYAM BHARTI","CPM",5325,7,0.046096712200696
"42674",146,"BEGUSARAI","GEN",129070,"MD. USMAN","CPM",19929,3,0.154404586658402
"42832",138,"BIBHUTPUR","GEN",121331,"RAMDEO VERMA","CPM",34168,2,0.281609811177687
"42942",200,"BUXAR","GEN",128102,"MANJU PRAKASH","CPM",9317,4,0.0727311049007822
"43053",45,"CHHATAPUR","GEN",136720,"BALRAM SINGH YADAV","CPM",1971,8,0.0144163253364541
"43193",61,"DHAMDAHA","GEN",146118,"OMPRAKASH MEHTA","CPM",2471,9,0.0169109897480119
"43548",140,"HASANPUR","GEN",116704,"RAGHUWANSH MUKHIYA","CPM",9345,5,0.0800743761996161
"43558",104,"HATHUA","GEN",119609,"DUDHNATH SINGH","CPM",3281,6,0.0274310461587339
"43780",155,"KAHALGAON","GEN",132286,"SREE NIWAS MANDAL","CPM",7656,5,0.0578746050224514
"43913",149,"KHAGARIA","GEN",113831,"DANGE PRASAD SINGH","CPM",3974,6,0.034911403747661
"43943",54,"KISHANGANJ","GEN",123875,"ABDUL KALAM AZAD","CPM",3626,6,0.0292714429868819
"43999",183,"KUMHRARH","GEN",115805,"BINDESHWARI PRASAD","CPM",1618,4,0.0139717628772506
"44026",93,"KURHANI","GEN",129965,"RAM PUKAR SAHNI","CPM",5506,6,0.0423652521832801
"44056",78,"KUSHESHWAR ASTHAN","SC",90475,"SANGEETA BHARTI","CPM",2185,6,0.0241503177673390
"44079",168,"LAKHISARAI","GEN",145331,"RAVI VILOCHAN VERMA","CPM",1948,8,0.0134038849247580
"44108",40,"LAUKAHA","GEN",137390,"SATYA NARAYAN YADAV","CPM",6021,6,0.0438241502292743
"44120",5,"LAURIYA","GEN",114779,"UMESH YADAV","CPM",2811,7,0.0244905426950923
"44303",114,"MANJHI","GEN",106813,"SATYENDRA YADAV","CPM",5441,6,0.0509394923838859
"44425",19,"MOTIHARI","GEN",122099,"ARVIND KUMAR","CPM",6222,5,0.050958648309978
"44757",39,"PHULPARAS","GEN",126778,"VIKRAM SHILA DEVI","CPM",3358,11,0.0264872454211298
"44784",17,"PIPRA","GEN",122364,"RAJ MANGAL PRASAD","CPM",9254,3,0.0756268183452650
"44844",62,"PURNIA","GEN",131847,"AMIT KUMAR","CPM",23061,3,0.174907278891442
"44923",235,"RAJAULI","SC",108439,"PREMCHAND RAM","CPM",2639,5,0.0243362627836848
"45045",29,"RUNISAIDPUR","GEN",108978,"DEVENDRA PD. YADAV","CPM",2740,9,0.0251426893501441
"45084",75,"SAHARSA","GEN",151969,"VINOD KUMAR","CPM",2459,7,0.0161809316373734
"45111",145,"SAHEBPUR KAMAL","GEN",107996,"VIDYANAND YADAV","CPM",4553,4,0.0421589688506982
"45167",208,"SASARAM","GEN",144526,"BABU RAM SINGH","CPM",989,12,0.00684305938031911
"45440",116,"TARAIYA","GEN",100202,"AHMAD ALI","CPM",3280,7,0.032733877567314
"45522",134,"UJIARPUR","GEN",130802,"AJAY KUMAR","CPM",19145,3,0.146366263512790
"45612",234,"WAZIRGANJ","GEN",122073,"SHAMBHU SHARAN SHARMA","CPM",2308,10,0.018906719749658
