"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42263",171,"ASTHAWAN","GEN",106981,"HARI KANT PRASAD","IJK",320,14,0.00299118535066974
"42884",191,"BIKRAM","GEN",131773,"RANA RAJU PRATAP SINGH","IJK",1963,12,0.0148968301548876
"43233",210,"DINARA","GEN",120273,"MANOJ KUMAR UJALA","IJK",1116,11,0.00927889052405777
"43282",185,"FATWAH","GEN",111774,"DHIRENDRA KUMAR","IJK",428,15,0.00382915525972051
"43694",166,"JAMALPUR","GEN",114747,"YOGENDRA PRASAD SAH","IJK",1029,12,0.0089675547073126
"43924",149,"KHAGARIA","GEN",113831,"SUJAY KUMAR","IJK",2129,8,0.0187031652186136
"44447",165,"MUNGER","GEN",129649,"MANOJ KUMAR YADAV","IJK",310,19,0.00239107127706346
"44510",176,"NALANDA","GEN",120904,"VINOD UGANWEE","IJK",1191,11,0.00985079070998478
"44658",190,"PALIGANJ","GEN",115900,"RANA RAJESH PRATAP SINGH","IJK",600,12,0.00517687661777394
"44723",130,"PATEPUR","SC",114913,"UPENDRA KUMAR","IJK",691,13,0.00601324480258979
"45369",122,"SONEPUR","GEN",120399,"SURESH PANDIT","IJK",645,9,0.00535718735205442
"45595",239,"WARSALIGANJ","GEN",120861,"TANUJA KUMARI","IJK",1210,10,0.0100115008149858
