"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42159",81,"ALINAGAR","GEN",101888,"DILEEP KUMAR YADAV","IJP",1084,10,0.0106391331658291
"42166",159,"AMARPUR","GEN",115992,"AMIT KUMAR JHA","IJP",840,13,0.00724187875025864
"42244",214,"ARWAL","GEN",94911,"KAMAL PRASAD","IJP",403,19,0.00424608317265649
"42304",223,"AURANGABAD","GEN",111326,"ARMANUL HAQUE","IJP",1341,11,0.0120457036092198
"42406",99,"BAIKUNTHPUR","GEN",125345,"PURNENDU NARAYAN TIWARI ALIAS BHOLA TIWARI","IJP",884,12,0.00705253500339064
"42468",115,"BANIAPUR","GEN",112191,"AKHILESHWAR SINGH","IJP",1001,9,0.00892228431870649
"42606",199,"BARHAMPUR","GEN",125987,"SAYEEDUL AZAM","IJP",1069,14,0.0084850024208847
"42631",110,"BARHARIA","GEN",115121,"KAILASH MANJHI","IJP",988,15,0.00858227430269021
"42774",8,"BETTIAH","GEN",106174,"SURENDRA RAM","IJP",678,17,0.00638574415581969
"42939",200,"BUXAR","GEN",128102,"HARI KISHUN RAM","IJP",566,17,0.00441835412405739
"42996",7,"CHANPATIA","GEN",110958,"NARMADA PRASAD SAH","IJP",586,18,0.00528127760053354
"43029",207,"CHENARI","SC",126820,"BABY DEVI","IJP",1014,9,0.00799558429269831
"43045",141,"CHERIA BARIARPUR","GEN",114204,"RAMASHRAY MAHTO","IJP",1111,10,0.00972820566705194
"43110",109,"DARAUNDHA","GEN",110869,"BALENDRA KUMAR RAY","IJP",790,19,0.00712552652229207
"43203",160,"DHURAIYA","SC",112759,"DEVENDRA DAS","IJP",1435,8,0.0127262568841512
"43396",101,"GOPALGANJ","GEN",127512,"JAG NARAYAN SINGH","IJP",809,12,0.0063445009097183
"43476",225,"GURUA","GEN",120672,"SUNIL PASWAN","IJP",929,14,0.0076985547600106
"43487",123,"HAJIPUR","GEN",133437,"KUMAR VISHVAJEET SINGH","IJP",532,21,0.00398690018510608
"43523",177,"HARNAUT","GEN",120103,"MAHESHWAR DAS","IJP",439,13,0.00365519595680374
"43552",140,"HASANPUR","GEN",116704,"SITA RAM PANDIT","IJP",1810,7,0.0155093227310118
"43565",104,"HATHUA","GEN",119609,"RAM BABU PRASAD","IJP",695,17,0.00581059953682415
"43803",131,"KALYANPUR(SC)","SC",128961,"SINGHESHWAR RAM","IJP",1699,9,0.0131745256317802
"43839",213,"KARAKAT","GEN",127790,"RISHI KESH RAM","IJP",822,12,0.00643242820251976
"43962",55,"KOCHADHAMAN","GEN",103564,"MINHAJ ALAM","IJP",607,15,0.00586111003823723
"43991",102,"KUCHAIKOTE","GEN",126644,"SANJIV TIWARI","IJP",808,13,0.00638008906857017
"44046",78,"KUSHESHWAR ASTHAN","SC",90475,"AMRENDRA KUMAR SADA","IJP",853,12,0.00942801878972092
"44058",222,"KUTUMBA","SC",93460,"GANESH PASWAN","IJP",2075,6,0.0222020115557458
"44184",77,"MAHISHI","GEN",117376,"LALAN KUMAR SADA","IJP",563,15,0.00479655125408942
"44248",187,"MANER","GEN",132348,"SANJEET KUMAR","IJP",392,16,0.00296188835494303
"44275",67,"MANIHARI","ST",126140,"JULIE HEMBRAM","IJP",669,15,0.00530363088631679
"44349",189,"MASAURHI","SC",142650,"YUGESHWAR MANJHI","IJP",1119,10,0.00784437434279706
"44357",144,"MATIHANI","GEN",149383,"SANJAY KUMAR","IJP",1696,8,0.0113533668489721
"44458",165,"MUNGER","GEN",129649,"TRIDEO SINGH","IJP",335,18,0.00258389960585890
"44530",3,"NARKATIAGANJ","GEN",118282,"BAIDHNATH CHAUBEY","IJP",706,13,0.0059687864594782
"44620",211,"NOKHA","GEN",116708,"JAYRAM SINGH","IJP",526,20,0.00450697467183055
"44648",190,"PALIGANJ","GEN",115900,"BABY PRAVEEN","IJP",993,10,0.00856773080241588
"44721",130,"PATEPUR","SC",114913,"SURESH MALICK","IJP",2039,8,0.0177438583972222
"44762",188,"PHULWARI","SC",135457,"JEETENDRA PASWAN","IJP",661,11,0.00487977734631654
"44785",17,"PIPRA","GEN",122364,"RAJENDRA PASWAN","IJP",819,21,0.0066931450426596
"44953",37,"RAJNAGAR","SC",106756,"SIYA RAM SADAY","IJP",2226,6,0.0208512870470981
"45022",23,"RIGA","GEN",122024,"DROPATI DEVI","IJP",819,15,0.00671179440110142
"45039",139,"ROSERA","SC",127908,"AASHISH KUMAR PARAS","IJP",2873,6,0.022461456671983
"45102",145,"SAHEBPUR KAMAL","GEN",107996,"MAHENDRA RAJAK","IJP",709,11,0.00656505796510982
"45169",208,"SASARAM","GEN",144526,"BHOLA SINGH","IJP",405,25,0.00280226395250682
"45242",226,"SHERGHATI","GEN",107698,"RAM PRASAD PRAJAPAT","IJP",764,18,0.00709391075043176
"45467",164,"TARAPUR","GEN",119133,"SHRAVAN KUMAR SINGH","IJP",1612,8,0.0135310954983086
"45573",132,"WARISNAGAR","GEN",136178,"RAM CHANDRA MAHTO","IJP",686,19,0.00503752441657243
