"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42122",195,"AGIAON","SC",92375,"BRAHMDEV PRASAD","IND",1728,7,0.0187063599458728
"42123",195,"AGIAON","SC",92375,"MANU RAM RATHAUR","IND",1333,9,0.0144303112313938
"42124",195,"AGIAON","SC",92375,"NATHUNI RAM","IND",2008,6,0.0217374830852503
"42130",195,"AGIAON","SC",92375,"SUBHAG RAM","IND",2946,5,0.0318917456021651
"42133",195,"AGIAON","SC",92375,"VIMLESH RAM","IND",878,12,0.00950473612990528
"42134",70,"ALAMNAGAR","GEN",154111,"AHMAD","IND",2582,11,0.0167541577174893
"42135",70,"ALAMNAGAR","GEN",154111,"ASGAR ALI","IND",870,14,0.00564528164764358
"42136",70,"ALAMNAGAR","GEN",154111,"BULBUL SINGH","IND",2961,9,0.0192134240904283
"42138",70,"ALAMNAGAR","GEN",154111,"JANARDAN P. MANDAL","IND",2530,12,0.0164167385845267
"42143",70,"ALAMNAGAR","GEN",154111,"RAS BIHARI MANDAL","IND",4248,7,0.0275645476312528
"42144",70,"ALAMNAGAR","GEN",154111,"SANDEEP KUMAR","IND",3912,8,0.0253843009259560
"42155",148,"ALAULI","SC",108367,"SHUSHILA DEVI","IND",2792,7,0.0257643009403232
"42158",81,"ALINAGAR","GEN",101888,"BIDESHWAR RAM","IND",3514,5,0.0344888505025126
"42162",81,"ALINAGAR","GEN",101888,"MANAWATI DEVI","IND",1524,8,0.0149576005025126
"42170",159,"AMARPUR","GEN",115992,"JAWAHARLAL PASWAN","IND",1033,11,0.00890578660597283
"42177",159,"AMARPUR","GEN",115992,"SURESH PASWAN","IND",920,12,0.0079315814883785
"42178",159,"AMARPUR","GEN",115992,"SYED ALAMDAR HUSSAIN","IND",3667,7,0.0316142492585696
"42180",120,"AMNOUR","GEN",96626,"ASHRAF ALI KHAN","IND",660,15,0.00683045971063689
"42181",120,"AMNOUR","GEN",96626,"AWADHESH SINGH","IND",1751,9,0.0181214165959473
"42183",120,"AMNOUR","GEN",96626,"GINNI LAL SINGH","IND",1219,13,0.0126156521019187
"42186",120,"AMNOUR","GEN",96626,"NAGENDRA RAM","IND",1631,11,0.0168795148303769
"42188",120,"AMNOUR","GEN",96626,"RAM KRISHANA SINGH","IND",1737,10,0.0179765280566307
"42191",120,"AMNOUR","GEN",96626,"SHATRUDHAN TIWARI","IND",15547,3,0.160898722911018
"42192",120,"AMNOUR","GEN",96626,"SUNIL KUMAR","IND",18991,2,0.196541303582887
"42194",120,"AMNOUR","GEN",96626,"YOGENDRA PRASAD YADAV","IND",1254,12,0.0129778734502101
"42200",56,"AMOUR","GEN",124701,"NIL MANI SINGH","IND",4452,4,0.0357013977434022
"42203",49,"ARARIA","GEN",128555,"AJAY KUMAR JHA","IND",11846,4,0.092147329936603
"42204",49,"ARARIA","GEN",128555,"ANIL KUMAR","IND",1226,9,0.00953677414336276
"42205",49,"ARARIA","GEN",128555,"GAGAN KUMAR JHA","IND",1204,10,0.00936564116526
"42207",49,"ARARIA","GEN",128555,"MANZOOR ALAM","IND",2222,7,0.0172844307883785
"42208",49,"ARARIA","GEN",128555,"MOHAMMAD HAIDER  YASIN","IND",4612,5,0.0358756952277235
"42211",49,"ARARIA","GEN",128555,"NASIM","IND",575,14,0.00447279374586753
"42212",49,"ARARIA","GEN",128555,"PRAMOD SINGH YADAV","IND",1151,12,0.008953366263467
"42214",49,"ARARIA","GEN",128555,"SITA RAM BISHWAS","IND",3123,6,0.0242931041188596
"42218",194,"ARRAH","GEN",113450,"AWDHESH YADAV","IND",892,9,0.00786249449096518
"42221",194,"ARRAH","GEN",113450,"BHARAT SINGH SAHYOGI","IND",1855,5,0.0163508153371529
"42222",194,"ARRAH","GEN",113450,"JYOTI KALASH","IND",373,16,0.00328779197884531
"42227",194,"ARRAH","GEN",113450,"MOHAMMAD NASIM","IND",1175,6,0.0103569854561481
"42229",194,"ARRAH","GEN",113450,"RAHUL KUMAR","IND",366,17,0.00322609078889379
"42230",194,"ARRAH","GEN",113450,"RAM DINESH SINGH","IND",238,20,0.00209784045835170
"42235",194,"ARRAH","GEN",113450,"VIJAY KUMAR","IND",504,13,0.00444248567650948
"42238",214,"ARWAL","GEN",94911,"BHUNESHWAR PATHAK","IND",2622,7,0.0276258810885988
"42242",214,"ARWAL","GEN",94911,"DR. ARVIND KUMAR","IND",2171,10,0.0228740609623753
"42246",214,"ARWAL","GEN",94911,"MANOJ KUMAR SANTOSH","IND",1136,15,0.0119691079010863
"42247",214,"ARWAL","GEN",94911,"NAND KISHORE SINGH","IND",1862,11,0.0196183793237875
"42248",214,"ARWAL","GEN",94911,"NITYANAND SINGH","IND",4541,6,0.0478448230447472
"42249",214,"ARWAL","GEN",94911,"PRANAV PRAKASH","IND",1586,13,0.0167103918407772
"42253",214,"ARWAL","GEN",94911,"RAVINDRA SINGH","IND",572,18,0.00602669869667373
"42256",214,"ARWAL","GEN",94911,"SHYAM KISHORE SINGH","IND",396,20,0.00417232986692796
"42257",214,"ARWAL","GEN",94911,"SUBHASH CHANDRA YADAV","IND",1519,14,0.0160044673430898
"42259",171,"ASTHAWAN","GEN",106981,"ANIL KUMAR","IND",2111,5,0.0197324758601995
"42260",171,"ASTHAWAN","GEN",106981,"ASHOK KUMAR SINGH","IND",519,12,0.00485132874061749
"42262",171,"ASTHAWAN","GEN",106981,"GANESH RAM","IND",959,8,0.0089642085977884
"42264",171,"ASTHAWAN","GEN",106981,"JAYMANTI DEVI","IND",1983,6,0.0185360017199316
"42266",171,"ASTHAWAN","GEN",106981,"JUGESHWAR MANJHI","IND",4286,3,0.0400631887905329
"42272",233,"ATRI","GEN",117023,"ASHUTOSH KUMAR","IND",544,15,0.00464865881066115
"42274",233,"ATRI","GEN",117023,"BRAJNANDAN PRASAD","IND",2433,6,0.0207907847175342
"42275",233,"ATRI","GEN",117023,"DEVENDRA CHAUDHARI","IND",940,12,0.0080326089743042
"42276",233,"ATRI","GEN",117023,"GITA DEVI","IND",1222,11,0.0104423916665955
"42282",233,"ATRI","GEN",117023,"SARYU SAO","IND",752,13,0.00642608717944336
"42284",233,"ATRI","GEN",117023,"SUBHASH KUMAR SINHA","IND",1592,8,0.0136041632841407
"42286",233,"ATRI","GEN",117023,"VINAY RAJVANSHI","IND",1484,9,0.0126812677849653
"42288",89,"AURAI","GEN",116668,"DINESH DAS","IND",2771,6,0.0237511571296328
"42291",89,"AURAI","GEN",116668,"KRANTI PRAKASH","IND",2201,8,0.0188654986800151
"42296",89,"AURAI","GEN",116668,"NARENDRA KUMAR","IND",1656,10,0.0141941234957315
"42299",89,"AURAI","GEN",116668,"SHASHI BHUSHAN .P. SHAHI","IND",12859,4,0.110218740357253
"42303",223,"AURANGABAD","GEN",111326,"ANIL KUMAR SINHA","IND",1264,12,0.0113540412841564
"42307",223,"AURANGABAD","GEN",111326,"BAIDYANATH MISHRA","IND",1589,8,0.0142733952535796
"42313",223,"AURANGABAD","GEN",111326,"RANJAN KUMAR SINGH","IND",2952,6,0.0265167166699603
"42314",223,"AURANGABAD","GEN",111326,"RANJIT KUMAR SINGH","IND",1410,9,0.0126655049134973
"42315",223,"AURANGABAD","GEN",111326,"SANTOSH RAM","IND",532,16,0.00477875788225572
"42316",223,"AURANGABAD","GEN",111326,"SIDHESHWAR VIDYARTHI","IND",1646,7,0.0147854050266784
"42321",34,"BABUBARHI","GEN",127758,"MANOJ JHA","IND",2685,6,0.0210162964354483
"42324",34,"BABUBARHI","GEN",127758,"RAKESH KUMAR RANJAN","IND",5825,4,0.0455940136821178
"42330",142,"BACHHWARA","GEN",129942,"ARVIND KUMAR SINGH","IND",21683,2,0.166866755937264
"42332",142,"BACHHWARA","GEN",129942,"JAGJIT JHA","IND",4653,6,0.0358082836958027
"42333",142,"BACHHWARA","GEN",129942,"KUNDAN SINGH","IND",3014,7,0.0231949639069739
"42337",142,"BACHHWARA","GEN",129942,"PARPHULL KUMAR","IND",2247,8,0.0172923304243432
"42338",142,"BACHHWARA","GEN",129942,"PUNEET SINGH","IND",743,17,0.00571793569438673
