"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42219",194,"ARRAH","GEN",113450,"BABLU SINGH","JMBP",246,19,0.00216835610401058
"42574",179,"BARH","GEN",113021,"BHIM PRASAD","JMBP",1146,11,0.0101397085497385
"42630",110,"BARHARIA","GEN",115121,"JITENDRA KUMAR PANDEY","JMBP",1928,11,0.0167475960076789
"43255",201,"DUMRAON","GEN",124617,"SATYENDAR PRASAD","JMBP",954,13,0.00765545631815884
"43385",219,"GOH","GEN",120065,"KUMARI ANUPAM SINHA","JMBP",1508,8,0.0125598634073210
"43444",111,"GORIYAKOTHI","GEN",124905,"RAJKISHORE TIWARI","JMBP",502,22,0.00401905448140587
"43605",236,"HISUA","GEN",124432,"DR. INDRADEV YADAV","JMBP",562,12,0.00451652308087952
"44326",117,"MARHAURA","GEN",99374,"NAGENDRA RAI","JMBP",731,18,0.00735604886590054
"44422",135,"MORWA","GEN",104988,"WAKIL CHAUDHARY","JMBP",1122,10,0.0106869356497885
"44926",235,"RAJAULI","SC",108439,"RAM KRISHNA PASWAN","JMBP",474,12,0.00437112109112035
"44938",173,"RAJGIR","SC",101803,"KISMAT RAM","JMBP",1131,10,0.0111096922487549
"45182",208,"SASARAM","GEN",144526,"RAJ KISHOR MISHRA","JMBP",765,18,0.00529316524362398
"45361",74,"SONBARSA","SC",119699,"VEDANAND RAM","JMBP",1492,8,0.0124645987017435
