"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42189",120,"AMNOUR","GEN",96626,"RAM NATH BHAGAT","JPS",3091,6,0.0319893196448161
"42289",89,"AURAI","GEN",116668,"DURGA DEVI","JPS",1062,15,0.00910275311139301
"42349",4,"BAGAHA","GEN",133946,"BHISAM SAHNI","JPS",8150,4,0.0608454153166201
"42397",99,"BAIKUNTHPUR","GEN",125345,"ADARSH KUMAR","JPS",970,11,0.00773864134987435
"42529",228,"BARACHATTI","SC",114697,"SANJAY KUMAR","JPS",2168,8,0.0189019765120273
"42551",100,"BARAULI","GEN",114936,"KALPANATH MAHATO","JPS",2095,8,0.0182275353240064
"42760",8,"BETTIAH","GEN",106174,"CHANDRIKA SAHNI","JPS",1178,13,0.0110949950081941
"42923",229,"BODH GAYA","SC",122013,"INDRADEO KUMAR MANJHI","JPS",2972,8,0.0243580602066993
"42947",200,"BUXAR","GEN",128102,"RAM KRIPAL SINGH","JPS",1412,10,0.0110224664720301
"42975",206,"CHAINPUR","GEN",142033,"VINAY KUMAR","JPS",606,16,0.004266614096724
"42990",7,"CHANPATIA","GEN",110958,"BRIJ BIHARI PRASAD","JPS",633,17,0.00570486129886984
"43014",118,"CHAPRA","GEN",114426,"JITENDRA KUMAR SINGH","JPS",956,13,0.00835474455106357
"43229",210,"DINARA","GEN",120273,"KAMAL KISHORE MEHTA","JPS",875,12,0.0072751157782711
"43324",119,"GARKHA","SC",103636,"BHOLA RAM","JPS",650,9,0.00627195183140993
"43434",111,"GORIYAKOTHI","GEN",124905,"CHATURGUN PRASAD CHAUHAN","JPS",1249,16,0.00999959969576878
"43524",177,"HARNAUT","GEN",120103,"OM PRAKASH PRASAD","JPS",1489,7,0.0123976919810496
"43593",175,"HILSA","GEN",126043,"RAJKUMAR KEWAT","JPS",479,14,0.00380029037709353
"43682",166,"JAMALPUR","GEN",114747,"JAY KUMAR VERMA","JPS",1644,9,0.0143271719522079
"43854",209,"KARGAHAR","GEN",149753,"RAM AVATAR GUPTA","JPS",3794,5,0.0253350517184965
"43947",54,"KISHANGANJ","GEN",123875,"MAHABIR CHAUHAN","JPS",1198,10,0.0096710393541877
"43957",55,"KOCHADHAMAN","GEN",103564,"ASHOK KUMAR SINGH","JPS",979,11,0.00945309180796416
"44028",93,"KURHANI","GEN",129965,"SAROJ KUMAR","JPS",2617,8,0.0201361905128304
"44320",117,"MARHAURA","GEN",99374,"KHURSHID ALAM","JPS",507,25,0.00510193813271077
"44400",178,"MOKAMA","GEN",116975,"RAM DAYAL MAHTO","JPS",4177,5,0.0357084847189570
"44430",19,"MOTIHARI","GEN",122099,"DURGA SAH","JPS",452,19,0.00370191402058985
"44453",165,"MUNGER","GEN",129649,"RAM BILASH NISHAD","JPS",3641,5,0.0280835178057679
"44570",158,"NATHNAGAR","GEN",122257,"USHA KUMARI","JPS",2403,7,0.0196553162600097
"44705",121,"PARSA","GEN",101163,"KRISHNA ROY","JPS",1176,7,0.0116248035348892
"44748",39,"PHULPARAS","GEN",126778,"LALESHWAR PRASAD SINGH","JPS",4035,10,0.0318272886462951
"44898",127,"RAJA PAKAR","SC",102960,"ANIL KUMAR DAS","JPS",864,17,0.00839160839160839
"44935",173,"RAJGIR","SC",101803,"JAY RAM MANGHI","JPS",624,14,0.00612948537862342
"44968",202,"RAJPUR","SC",137856,"SHIV KUMAR RAM","JPS",3912,5,0.0283774373259053
"45277",9,"SIKTA","GEN",124953,"SURYA DEO PRASAD","JPS",819,14,0.00655446447864397
"45451",116,"TARAIYA","GEN",100202,"SHEO KUMAR MAHATO","JPS",803,15,0.00801381209955889
"45468",164,"TARAPUR","GEN",119133,"SUMITRA DEVI","JPS",4089,5,0.0343229835561935
"45552",1,"VALMIKI NAGAR","GEN",143701,"MANOJ KUMAR SINGH","JPS",8358,6,0.058162434499412
