"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42179",159,"AMARPUR","GEN",115992,"VINOD KUMAR","LSSP",3049,8,0.0262862956065936
"42199",56,"AMOUR","GEN",124701,"MD. SAGIR","LSSP",1041,8,0.00834796834026993
"42293",89,"AURAI","GEN",116668,"MD. PARWEZ HASHMI","LSSP",782,16,0.00670278053965098
"42635",110,"BARHARIA","GEN",115121,"NARSINGH CHAUHAN","LSSP",661,18,0.00574178473084841
"42651",96,"BARURAJ","GEN",112639,"MAKESHWAR CHAUDHARY","LSSP",790,14,0.00701355658342137
"42668",146,"BEGUSARAI","GEN",129070,"AMARJIT KUMAR","LSSP",1548,10,0.0119934919036182
"42913",91,"BOCHAHA","SC",122509,"RAVI SHANKAR PASWAN","LSSP",1099,8,0.00897076949448612
"42981",243,"CHAKAI","GEN",108266,"NARESH SINGH","LSSP",1355,11,0.0125154711543790
"43124",109,"DARAUNDHA","GEN",110869,"RAM NARESH PANDIT","LSSP",1906,12,0.0171914601917578
"43216",181,"DIGHA","GEN",130974,"MAYA SHRIVASTAVA","LSSP",865,12,0.00660436422496068
"43285",185,"FATWAH","GEN",111774,"PARMANANDA SINGH","LSSP",733,12,0.0065578757134933
"43297",48,"FORBESGANJ","GEN",143965,"MUKESH KUMAR SINGH","LSSP",555,16,0.00385510367103115
"43551",140,"HASANPUR","GEN",116704,"RAVINDRA KUMAR GUPTA","LSSP",1349,9,0.0115591582122292
"43715",242,"JHAJHA","GEN",124114,"KUNDAN KUMAR MATHURI","LSSP",541,18,0.00435889585381182
"43820",95,"KANTI","GEN",124714,"MD. NAUSHAD","LSSP",635,17,0.00509164969450102
"43862",58,"KASBA","GEN",133901,"AZIZUR RAHMAN","LSSP",482,10,0.00359967438630033
"44148",36,"MADHUBANI","GEN",121083,"JIVANAND MISHRA JIVAN","LSSP",641,15,0.00529388931559344
"44308",117,"MARHAURA","GEN",99374,"AJAY KUMAR RAY","LSSP",522,24,0.00525288304787973
"44351",144,"MATIHANI","GEN",149383,"AMIT KUMAR SINGH","LSSP",2179,7,0.0145866664881546
"44408",135,"MORWA","GEN",104988,"CHANDRESHWAR PANDEY","LSSP",599,19,0.00570541395207071
"44692",97,"PAROO","GEN",124179,"RAJESH RAI","LSSP",478,16,0.00384928208473252
"44754",39,"PHULPARAS","GEN",126778,"SHEKHARJEE MISHRA","LSSP",1195,18,0.00942592563378504
"45096",98,"SAHEBGANJ","GEN",121012,"RUPNATH RAY","LSSP",1106,13,0.0091395894622021
"45125",133,"SAMASTIPUR","GEN",116809,"ISHRAT JAHAN","LSSP",726,11,0.00621527450795743
"45159",136,"SARAIRANJAN","GEN",118711,"RAM PRAMOD MISHRA","LSSP",2954,7,0.0248839618906420
"45237",226,"SHERGHATI","GEN",107698,"MD. AJIM","LSSP",2280,10,0.0211703095693513
"45261",240,"SIKANDRA","SC",103824,"SUBHASH PASWAN","LSSP",2260,9,0.0217676067190630
"45339",105,"SIWAN","GEN",116826,"UPENDRA TIWARI","LSSP",473,20,0.00404875627000839
"45543",125,"VAISHALI","GEN",134986,"RAJEEV RANJAN","LSSP",2472,8,0.0183130102380988
"45619",106,"ZIRADEI","GEN",108054,"BIJAY PRAKASH SRIVASTAVA","LSSP",429,29,0.00397023710367039
