"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42347",4,"BAGAHA","GEN",133946,"BECHU YADAV","RASED",690,15,0.00515132964030281
"42531",228,"BARACHATTI","SC",114697,"SHRAVAN MANJHI","RASED",1009,13,0.00879709146708284
"42787",205,"BHABUA","GEN",119106,"MAMTA DEVI","RASED",518,19,0.00434906721743657
"42809",156,"BHAGALPUR","GEN",117003,"RAJESH MISHRA","RASED",286,13,0.00244438176798886
"43038",207,"CHENARI","SC",126820,"SURESH RAM","RASED",1045,8,0.00824002523261315
"43378",219,"GOH","GEN",120065,"AWDHESH MISHRA","RASED",875,12,0.00728771915212593
"43394",101,"GOPALGANJ","GEN",127512,"ARUN SINGH","RASED",2726,7,0.0213783800740322
"43423",79,"GORA BAURAM","GEN",90480,"GANESH MUKHIYA","RASED",902,13,0.00996905393457118
"43822",95,"KANTI","GEN",124714,"PREM KUMAR","RASED",523,22,0.0041935949452347
"44127",73,"MADHEPURA","GEN",153274,"RAJ KUMAR","RASED",770,9,0.00502368307736472
"44465",94,"MUZAFFARPUR","GEN",121805,"DHIRENDRA SAMSHER","RASED",361,18,0.00296375354049505
"44793",17,"PIPRA","GEN",122364,"VIKRAM KUMAR","RASED",642,22,0.00524664116897127
"44870",224,"RAFIGANJ","GEN",117986,"TULSI YADAVA","RASED",885,10,0.00750088993609411
"44966",202,"RAJPUR","SC",137856,"SANJAY PASWAN","RASED",678,13,0.00491817548746518
"45499",231,"TIKARI","GEN",131911,"BHOLA PASWAN","RASED",515,11,0.00390414749338569
