"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42268",171,"ASTHAWAN","GEN",106981,"MADHAV KISHORE PRASAD","SMBHP",492,13,0.00459894747665473
"42295",89,"AURAI","GEN",116668,"MOJAMMIL HUSAIN","SMBHP",1128,14,0.00966846093187506
"42436",147,"BAKHRI","SC",118629,"RAM NARESH PASWAN","SMBHP",968,11,0.0081598934493252
"42910",91,"BOCHAHA","SC",122509,"RAM KUMAR RAJAK","SMBHP",1067,9,0.00870956419528361
"43174",21,"DHAKA","GEN",126707,"DHARAM DEV RAI","SMBHP",1258,9,0.00992841753020749
"43339",230,"GAYA TOWN","GEN",103153,"KEDAR PRASAD","SMBHP",207,21,0.00200672787025099
"43453",111,"GORIYAKOTHI","GEN",124905,"TRIBHUWAN RAM","SMBHP",571,21,0.00457147432048357
"43703",241,"JAMUI","GEN",121784,"SAGAR SAW","SMBHP",1242,8,0.0101983840241739
"43718",242,"JHAJHA","GEN",124114,"PRADIP SINGH","SMBHP",607,15,0.00489066503375929
"44192",77,"MAHISHI","GEN",117376,"TIRO SHARMA","SMBHP",1167,10,0.00994240730643402
"44424",19,"MOTIHARI","GEN",122099,"ANURAG RAJ","SMBHP",634,18,0.00519250771914594
"44469",94,"MUZAFFARPUR","GEN",121805,"KISHORI LAL AGRAWAL","SMBHP",554,10,0.00454825335577357
"45026",23,"RIGA","GEN",122024,"LALAN PASWAN","SMBHP",472,21,0.00386809152297909
"45179",208,"SASARAM","GEN",144526,"MUNSHI CHANDRABANSHI","SMBHP",549,21,0.00379862446895368
"45252",240,"SIKANDRA","SC",103824,"KARINA DEVI","SMBHP",2020,10,0.0194560024657112
"45578",132,"WARISNAGAR","GEN",136178,"SHANKAR MAHTO","SMBHP",989,16,0.00726255342272614
