"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"42154",148,"ALAULI","SC",108367,"SANJAY RAM","SP",1162,8,0.0107228215231574
"42161",81,"ALINAGAR","GEN",101888,"HARENDRA NA SINGH","SP",1315,9,0.0129063285175879
"42173",159,"AMARPUR","GEN",115992,"PANKAJ KUMAR","SP",545,14,0.00469859990344162
"42223",194,"ARRAH","GEN",113450,"KHAGENDRA KUMAR","SP",336,18,0.00296165711767298
"42281",233,"ATRI","GEN",117023,"SANTOSH KUMAR VARMA","SP",590,14,0.00504174393068029
"42311",223,"AURANGABAD","GEN",111326,"RAM AWADHESH SINGH","SP",915,15,0.0082191042523759
"42326",34,"BABUBARHI","GEN",127758,"RAM BHAROS SINGH","SP",1301,9,0.0101833153305468
"42340",142,"BACHHWARA","GEN",129942,"RAJNEESH KUMAR MUKHIYA","SP",511,18,0.00393252374136153
"42357",4,"BAGAHA","GEN",133946,"SHAILENDRA SINGH, ALIES S.K.SINGH","SP",910,13,0.00679378256909501
"42389",85,"BAHADURPUR","GEN",115518,"MUSTAFA","SP",907,20,0.00785159022836268
"42408",99,"BAIKUNTHPUR","GEN",125345,"RAVI RANJAN KUMAR YADAV","SP",723,13,0.00576808009892696
"42439",147,"BAKHRI","SC",118629,"SANJEEV RAM","SP",1528,9,0.0128804929654638
"42464",65,"BALRAMPUR","GEN",147272,"SHAH ALAM","SP",1591,13,0.0108031397685915
"42469",115,"BANIAPUR","GEN",112191,"ANANDI DEVI","SP",587,12,0.00523214874633438
"42494",161,"BANKA","GEN",106702,"ZAFRUL HODA","SP",620,14,0.00581057524694945
"42504",182,"BANKIPUR","GEN",109309,"RAJU KUMAR VIDYARTHI","SP",241,14,0.00220475898599383
"42520",59,"BANMANKHI","SC",126527,"SURESH BAITHA","SP",2019,7,0.0159570684517929
"42557",100,"BARAULI","GEN",114936,"SHIV SHANKAR PRASAD GUPTA","SP",924,13,0.00803925662977657
"42564",170,"BARBIGHA","GEN",92414,"RAJESH KUMAR","SP",798,11,0.00863505529465233
"42602",199,"BARHAMPUR","GEN",125987,"PRAMOD SINGH","SP",1118,13,0.00887393143737052
"42628",110,"BARHARIA","GEN",115121,"HASIBUR RAHMAN","SP",925,16,0.00803502401820693
"42665",24,"BATHNAHA","SC",111731,"MANCHIT PASWAN","SP",812,11,0.00726745486928426
"42670",146,"BEGUSARAI","GEN",129070,"DILIP KESRI","SP",1158,12,0.00897187572635004
"42713",163,"BELHAR","GEN",120346,"SHRIDHAR YADAV","SP",905,14,0.0075199840460007
"42718",30,"BELSAND","GEN",98391,"KHUSNANDAN RAY","SP",2161,8,0.0219633909605553
"42730",32,"BENIPATTI","GEN",97671,"BINOD YADAV","SP",760,19,0.00778122472381771
"42754",80,"BENIPUR","GEN",107178,"NAWAL KISHOR SINGH","SP",1099,11,0.0102539700311631
"42783",205,"BHABUA","GEN",119106,"ENAMUL KHAN","SP",7448,5,0.0625325340453042
"42812",156,"BHAGALPUR","GEN",117003,"SYED ASAD IQBAL","SP",244,15,0.00208541661324923
"42834",138,"BIBHUTPUR","GEN",121331,"SUBODH KR. RAI","SP",1196,8,0.00985733242122788
"42851",172,"BIHARSHARIF","GEN",150206,"ARVIND KUMAR","SP",299,13,0.00199059957658149
"42877",191,"BIKRAM","GEN",131773,"ARJUN PRASAD","SP",811,15,0.00615452330902385
"42917",91,"BOCHAHA","SC",122509,"SHATRUGHAN PASWAN","SP",1126,7,0.00919116146568824
"42929",229,"BODH GAYA","SC",122013,"SURESH MANJHI","SP",1422,10,0.0116544958324113
"42952",200,"BUXAR","GEN",128102,"UMA SHANKAR RAY","SP",416,21,0.00324741221838847
"42969",206,"CHAINPUR","GEN",142033,"RAMCHANDRA SINGH YADAV","SP",7412,5,0.0521850555856738
"42989",7,"CHANPATIA","GEN",110958,"ASHWANI KUMAR YADAV","SP",2032,9,0.0183132356387101
"43024",118,"CHAPRA","GEN",114426,"SANDEEP KUMAR","SP",264,22,0.00230716795133973
"43046",141,"CHERIA BARIARPUR","GEN",114204,"SHAHID AKHTAR","SP",1635,8,0.0143164862876957
"43074",20,"CHIRAIA","GEN",111936,"KAILASH PRASAD YADWA","SP",664,12,0.00593196112064037
"43088",186,"DANAPUR","GEN",125059,"RAKESH KUMAR GOPE","SP",551,11,0.00440592040556857
"43098",107,"DARAULI","SC",117034,"RAM PUKAR HARIJAN","SP",1830,13,0.0156364817061709
"43120",109,"DARAUNDHA","GEN",110869,"OMPRAKASH YADAV","SP",1298,15,0.0117075106657406
"43133",83,"DARBHANGA","GEN",118600,"KRISHNA KUMAR SUMAN YADAV","SP",1333,6,0.0112394603709949
"43168",212,"DEHRI","GEN",123685,"RAMNATH SINGH","SP",312,15,0.00252253709018879
"43177",21,"DHAKA","GEN",126707,"JAWAHAR LAL PRASAD","SP",914,10,0.00721349254579463
"43188",61,"DHAMDAHA","GEN",146118,"LAKSHMAN MANDAL","SP",615,19,0.00420892703157722
"43210",160,"DHURAIYA","SC",112759,"SUGANDHA DEVI","SP",1059,9,0.00939171152635266
"43225",181,"DIGHA","GEN",130974,"SHUBH NARAYAN SINGH YADAV","SP",334,15,0.00255012445218135
"43244",201,"DUMRAON","GEN",124617,"BINOD SINGH","SP",701,14,0.00562523572225298
"43300",48,"FORBESGANJ","GEN",143965,"PRADEEP YADAV","SP",601,14,0.0041746257770986
"43319",88,"GAIGHAT","GEN",129760,"RAMANAND SAHNI","SP",668,16,0.00514796547472257
"43352",230,"GAYA TOWN","GEN",103153,"SURENDRA YADAV","SP",359,14,0.00348026717594253
"43359",217,"GHOSI","GEN",104126,"MANIBHUSHAN SHARMA","SP",826,10,0.00793269692487947
"43398",101,"GOPALGANJ","GEN",127512,"PRAMOD KUMAR SINGH","SP",687,13,0.00538772821381517
"43426",79,"GORA BAURAM","GEN",90480,"KRISHAN MOHAN SINGH","SP",1120,9,0.0123784261715296
"43451",111,"GORIYAKOTHI","GEN",124905,"SURENDRA SINGH YADAV","SP",1002,17,0.0080220967935631
"43471",225,"GURUA","GEN",120672,"PABAN PRASAD","SP",1411,13,0.0116928533545479
"43563",104,"HATHUA","GEN",119609,"RAJENDRA RAWAT","SP",670,18,0.00560158516499594
"43579",84,"HAYAGHAT","GEN",90937,"MD. ALI ABBAS","SP",921,14,0.0101278907375436
"43592",175,"HILSA","GEN",126043,"RAJKAPOOR RAI","SP",433,16,0.00343533556008664
"43627",174,"ISLAMPUR","GEN",114408,"MUNNA AHMAD","SP",1249,7,0.010917068736452
"43639",197,"JAGDISHPUR","GEN",130261,"JAYANTI DEVI","SP",901,10,0.00691688225946369
"43663",216,"JAHANABAD","GEN",110616,"TABREZ ALAM","SP",5085,5,0.045969841614233
"43669",87,"JALE","GEN",107994,"CHANDRA BHUSHAN PRATAP SINGH","SP",1426,11,0.0132044372835528
"43686",166,"JAMALPUR","GEN",114747,"PAPPU YADAV","SP",663,17,0.00577792883474078
"43720",242,"JHAJHA","GEN",124114,"RAJENDRA PRASAD","SP",947,12,0.00763008202136745
"43730",38,"JHANJHARPUR","GEN",117305,"MAHENDRA YADAV","SP",746,11,0.00635949021780828
"43776",155,"KAHALGAON","GEN",132286,"RAJU RANJANA","SP",1250,8,0.00944922365178477
"43784",16,"KALYANPUR","GEN",96880,"ASHOK KUMAR RAM","SP",751,12,0.00775185796862097
"43802",131,"KALYANPUR(SC)","SC",128961,"SHATRUDHAN KUMAR PASWAN","SP",1496,10,0.0116004063243926
"43825",95,"KANTI","GEN",124714,"SURESH PRASAD GUPTA","SP",1913,5,0.0153390958513078
"43857",209,"KARGAHAR","GEN",149753,"SATYENDRA TIWARI","SP",764,16,0.0051017341889645
"43863",58,"KASBA","GEN",133901,"MANI SINHA","SP",657,8,0.00490661010746746
"43900",86,"KEOTI","GEN",108745,"WASI AHMED KHAN","SP",606,10,0.00557267000781645
"43902",15,"KESARIA","GEN",94482,"DHRUV SAHNI","SP",2188,7,0.0231578501725196
"43912",149,"KHAGARIA","GEN",113831,"AJAY KUMAR SINGH","SP",377,15,0.00331192733086769
"43938",33,"KHAJAULI","GEN",124145,"PRAMOD KR. PRABHAKAR","SP",2041,8,0.0164404526964437
"43953",54,"KISHANGANJ","GEN",123875,"SAYED ASAD HASNAIN","SP",652,13,0.00526337033299697
"43960",55,"KOCHADHAMAN","GEN",103564,"MASRUR ALAM","SP",1510,9,0.0145803561083002
"43979",69,"KORHA","SC",128447,"SITARAM DAS","SP",1291,8,0.0100508380888616
"43988",102,"KUCHAIKOTE","GEN",126644,"ENGINEER PRASAD","SP",669,14,0.00528252424118
"44051",78,"KUSHESHWAR ASTHAN","SC",90475,"MAHENDRA KR. PASWAN","SP",886,11,0.0097927604310583
"44077",168,"LAKHISARAI","GEN",145331,"RAMANUJ PRASAD SINGH","SP",1324,12,0.00911023800840839
"44090",124,"LALGANJ","GEN",142678,"JAINANDAN RAI","SP",785,13,0.0055018993818248
"44121",5,"LAURIYA","GEN",114779,"VIJAY KUMAR","SP",814,12,0.00709188963137856
"44132",73,"MADHEPURA","GEN",153274,"SWATI PRIYA","SP",3117,5,0.0203361300677219
"44141",18,"MADHUBAN","GEN",102670,"SANJAY KUMAR","SP",912,8,0.00888282847959482
"44166",112,"MAHARAJGANJ","GEN",111079,"JITENDRA SHARMA","SP",672,19,0.00604974837728103
"44233",218,"MAKHDUMPUR","SC",90186,"KUSUM DEVI","SP",524,12,0.0058102144457011
"44247",187,"MANER","GEN",132348,"RAJA RAM RAI","SP",452,15,0.00341523861335268
"44254",129,"MANHAR","GEN",118974,"BRAJESH KUMAR RAY","SP",1059,13,0.00890110444298754
"44305",114,"MANJHI","GEN",106813,"SUJIT PURI","SP",804,19,0.00752717365863706
"44312",117,"MARHAURA","GEN",99374,"AYUB MIYAN","SP",317,29,0.00318996920723731
"44353",144,"MATIHANI","GEN",149383,"DR. KRANTI SINGH","SP",898,10,0.00601139353206188
"44366",90,"MINAPUR","GEN",124176,"LOVE KUMAR","SP",918,14,0.00739273289524546
"44388",137,"MOHIUDDINNAGAR","GEN",105108,"MANOJ KUMAR ROY","SP",622,10,0.00591772272329414
"44417",135,"MORWA","GEN",104988,"RAM YATAN ROY","SP",609,17,0.00580066293290662
"44436",19,"MOTIHARI","GEN",122099,"MD. MURTUJA ANSARI ALIAS DR. LAL","SP",950,15,0.00778057150345212
"44461",165,"MUNGER","GEN",129649,"ZAFAR AHMAD","SP",238,20,0.00183572569013259
"44468",94,"MUZAFFARPUR","GEN",121805,"KEDAR NATH PRASAD","SP",398,16,0.00326751775378679
"44529",3,"NARKATIAGANJ","GEN",118282,"ASIMA KHATOON","SP",1300,9,0.0109906832823253
"44561",158,"NATHNAGAR","GEN",122257,"JITENDRA PRASAD YADAV","SP",594,14,0.0048586175024743
"44581",6,"NAUTAN","GEN",112111,"RAMCHHATRIYA SINGH PATEL","SP",1110,14,0.00990090178483824
"44635",211,"NOKHA","GEN",116708,"USHA DEVI","SP",702,16,0.00601501182438222
"44647",190,"PALIGANJ","GEN",115900,"ASHA DEVI","SP",396,14,0.0034167385677308
"44680",25,"PARIHAR","GEN",115482,"MOHAMMAD SHAHANAWAJ NUJHARUL.","SP",760,14,0.00658111220796315
"44710",121,"PARSA","GEN",101163,"SARBA RAI","SP",482,10,0.00476458784338147
"44717",130,"PATEPUR","SC",114913,"RINA KUMARI","SP",1060,12,0.00922436974058636
"44755",39,"PHULPARAS","GEN",126778,"UPENDRA KUMAR YADAV","SP",5416,8,0.042720345801322
"44772",188,"PHULWARI","SC",135457,"YUGESH DAS","SP",457,13,0.00337376436802823
"44781",17,"PIPRA","GEN",122364,"NAGENDRA SAHANI","SP",4249,6,0.0347242653067896
"44815",154,"PIRPAINTI","SC",129089,"BIRENDRA KUMAR DAS","SP",762,16,0.00590290419787898
"44860",224,"RAFIGANJ","GEN",117986,"MAHENDRA PRASAD","SP",573,14,0.00485650839930161
"44884",108,"RAGHUNATHPUR","GEN",103497,"DR. C.B MISHRA","SP",1221,12,0.0117974434041566
"44912",127,"RAJA PAKAR","SC",102960,"RITA CHOUDHARY","SP",636,19,0.00617715617715618
"44931",173,"RAJGIR","SC",101803,"BALESHWAR PASWAN","SP",750,13,0.00736716992623007
"44947",37,"RAJNAGAR","SC",106756,"KARI PASWAN","SP",1175,10,0.0110064071340253
"44962",202,"RAJPUR","SC",137856,"PARSURAM PRASAD","SP",567,14,0.00411298746518106
"44969",203,"RAMGARH","GEN",123219,"AMAR DAYAL SINGH","SP",562,17,0.00456098491304101
"44987",2,"RAMNAGAR","SC",125257,"HIRALAL RAM","SP",1863,8,0.0148734202479702
"45011",10,"RAXAUL","GEN",113455,"BHAGMATI DEVI","SP",1138,7,0.0100304085320171
"45023",23,"RIGA","GEN",122024,"GONAUR DAS","SP",812,16,0.00665442863698945
"45068",60,"RUPAULI","GEN",139310,"SHRI NIVAS SINGH YADAV","SP",662,15,0.00475199196037614
"45091",98,"SAHEBGANJ","GEN",121012,"MRITUNJAY SUMAN","SP",1256,11,0.0103791359534592
"45103",145,"SAHEBPUR KAMAL","GEN",107996,"MD. ANWAR KHAN","SP",1014,10,0.00938923663839402
"45118",92,"SAKRA","SC",115631,"REKHA DEVI","SP",1131,8,0.00978111406110818
"45127",133,"SAMASTIPUR","GEN",116809,"KRISHNA GOPAL SHARMA","SP",380,15,0.0032531739848813
"45157",136,"SARAIRANJAN","GEN",118711,"KAILASH SAH","SP",2430,8,0.0204698806344821
"45177",208,"SASARAM","GEN",144526,"KALINDRA SINGH","SP",309,28,0.00213802360820890
"45238",226,"SHERGHATI","GEN",107698,"MD. HASIBUDDIN KHAN","SP",598,19,0.00555256365020706
"45253",240,"SIKANDRA","SC",103824,"KRISNHA DEO DAS","SP",1022,12,0.0098435814455232
"45276",9,"SIKTA","GEN",124953,"SHAMS PERWAIZ","SP",1386,9,0.0110921706561667
"45282",51,"SIKTI","GEN",134957,"FAROOQUE AHAMAD","SP",1139,13,0.00843972524581904
"45316",28,"SITAMARHI","GEN",118616,"RATAN KUMAR","SP",997,8,0.00840527416200175
"45325",105,"SIWAN","GEN",116826,"IZHARUL HAQUE","SP",731,17,0.00625716878092205
"45363",122,"SONEPUR","GEN",120399,"LAXMI RAI","SP",479,10,0.00397843835912258
"45394",157,"SULTANGANJ","GEN",123561,"RAHUL","SP",549,24,0.00444314953747542
"45413",43,"SUPAUL","GEN",121377,"SITA RAM SHARMA","SP",1258,8,0.0103644018224211
"45449",116,"TARAIYA","GEN",100202,"RANANJAY KUMAR","SP",970,14,0.00968044550008982
"45458",164,"TARAPUR","GEN",119133,"MANOJ KUMAR MADHUKAR","SP",521,13,0.00437326349542108
"45490",53,"THAKURGANJ","GEN",128527,"GANESH PRASAD RAI","SP",1573,10,0.0122386735860948
"45515",44,"TRIBENIGANJ","SC",130173,"KUMARI SHOBHA","SP",999,9,0.00767440252586942
