"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"43687",166,"JAMALPUR","GEN",114747,"PRAMOD KUMAR","SUCI",910,14,0.00793049055748734
"43816",95,"KANTI","GEN",124714,"KASHI NATH SAHANI","SUCI",1773,7,0.0142165274147249
"44008",183,"KUMHRARH","GEN",115805,"SADHNA MISHRA","SUCI",214,15,0.00184793402702819
"44020",93,"KURHANI","GEN",129965,"LAL BABU MAHTO","SUCI",2419,9,0.0186127034201516
"44203",126,"MAHUA","GEN",115908,"LALIT KUMAR GHOSH","SUCI",664,26,0.0057286813679815
"44700",97,"PAROO","GEN",124179,"YOGENDRA RAM","SUCI",1167,11,0.009397724252893
"45099",98,"SAHEBGANJ","GEN",121012,"YADAV LAL PATEL","SUCI",1494,9,0.0123458830529204
"45401",157,"SULTANGANJ","GEN",123561,"SHIVNANDAN SHARMA","SUCI",1233,17,0.00997887683006774
"45459",164,"TARAPUR","GEN",119133,"NARAYAN YADAV","SUCI",1340,10,0.0112479329824650
"45545",125,"VAISHALI","GEN",134986,"SINGESWAR BHAGAT","SUCI",2482,7,0.0183870919947254
