"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45825",14,"Govindganj","GEN",136927,"SANJAY KUMAR MISHRA ALIAS BABLU MISHRA","AARAKSHAN VIRODHI PARTY",1083,8,0.00790932394633637
"46078",31,"Harlakhi","GEN",144866,"VIJAY GANDHI","AARAKSHAN VIRODHI PARTY",704,16,0.0048596634130852
"46094",32,"Benipatti","GEN",134834,"GANESH PANDEY","AARAKSHAN VIRODHI PARTY",579,14,0.00429416912648145
"46109",33,"Khajauli","GEN",164227,"AMIT KUMAR MAHTO","AARAKSHAN VIRODHI PARTY",1458,12,0.00887795551279631
"46185",38,"Jhanjharpur","GEN",157914,"RAJEEV KUMAR","AARAKSHAN VIRODHI PARTY",423,16,0.00267867320186937
"47338",111,"Goriakothi","GEN",166010,"SANDHIR KUMAR SINGH","AARAKSHAN VIRODHI PARTY",539,16,0.00324679236190591
"47801",140,"Hasanpur","GEN",146742,"SUDIN YADAV","AARAKSHAN VIRODHI PARTY",3881,7,0.0264477790952829
"47946",152,"Bihpur","GEN",142528,"NIKHIL KUMAR","AARAKSHAN VIRODHI PARTY",395,13,0.00277138527166592
"48695",200,"Buxar","GEN",160594,"ASHWINI KUMAR RAI","AARAKSHAN VIRODHI PARTY",481,18,0.00299513057773018
"48926",214,"Arwal","GEN",129725,"LALIT MOHAN SINGH","AARAKSHAN VIRODHI PARTY",774,11,0.00596646752746194
"48943",215,"Kurtha","GEN",115570,"BRAJESH KUMAR ""GURU""","AARAKSHAN VIRODHI PARTY",813,16,0.00703469758587869
"49183",231,"Tikari","GEN",168816,"LIPI KUMARI","AARAKSHAN VIRODHI PARTY",998,10,0.00591176191830158
