"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45881",19,"Motihari","GEN",168493,"HARISHCHANDRA PANDIT","Aap Aur Hum Party",2956,5,0.0175437555269358
"46502",60,"Rupauli","GEN",181130,"NITYANAND GUPTA","Aap Aur Hum Party",858,21,0.00473692927731464
"46576",63,"Katihar","GEN",153667,"MD RUSTAM","Aap Aur Hum Party",315,22,0.00204988709352040
"46979",89,"Aurai","GEN",154133,"MUZAFFAR HASNAIN","Aap Aur Hum Party",1164,11,0.00755191944619257
"47025",92,"Sakra","SC",156519,"DR. ABHAY KUMAR","Aap Aur Hum Party",1058,8,0.00675956273679234
"47083",94,"Muzaffarpur","GEN",173389,"AVINASH KUMAR","Aap Aur Hum Party",227,20,0.00130919493162773
"47431",118,"Chapra","GEN",158247,"RAJNARAYAN GUPTA","Aap Aur Hum Party",772,9,0.00487844951247101
"47538",125,"Vaishali","GEN",166498,"KUNDAN SINGH","Aap Aur Hum Party",1735,10,0.0104205455921392
"47557",126,"Mahua","GEN",154435,"MOHAMMAD ALAM","Aap Aur Hum Party",1399,12,0.00905882733836242
"47586",127,"Raja Pakar","SC",134779,"UPENDRA PASWAN","Aap Aur Hum Party",1133,12,0.00840635410560992
"47601",128,"Raghopur","GEN",185628,"RAJESH RAUSHAN","Aap Aur Hum Party",992,9,0.0053440213760855
"47645",130,"Patepur","SC",146608,"SHASHANK KUMAR ANAND","Aap Aur Hum Party",1486,7,0.0101358725308305
"47675",131,"Kalyanpur(SC)","SC",168470,"NATHUNI PASWAN","Aap Aur Hum Party",676,15,0.00401258384282068
"47925",151,"Parbatta","GEN",169225,"RAKESH KUMAR","Aap Aur Hum Party",1592,8,0.00940759344068548
"48095",164,"Tarapur","GEN",152249,"RAM PRASAD SAH","Aap Aur Hum Party",1809,10,0.0118818514407320
"49127",227,"Imamganj","SC",150175,"RAM KHELAWAN CHAUDHRY","Aap Aur Hum Party",2491,7,0.0165873147994007
