"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"46097",32,"Benipatti","GEN",134834,"YOGESH KUMAR SHUKLA","Akhil Bharat Hindu Mahasabha",492,17,0.00364893127846092
"46107",33,"Khajauli","GEN",164227,"SUDHAKAR KUMAR","Akhil Bharat Hindu Mahasabha",1657,10,0.0100896929250367
"46125",34,"Babubarhi","GEN",163234,"MEENA DEVI","Akhil Bharat Hindu Mahasabha",1335,12,0.00817844321648676
"46186",38,"Jhanjharpur","GEN",157914,"PAWAN KUMAR MISHRA","Akhil Bharat Hindu Mahasabha",380,17,0.00240637308914979
"47407",116,"Taraiya","GEN",144128,"ABHIMANYU KUMAR ""MANISH""","Akhil Bharat Hindu Mahasabha",1824,10,0.0126554174067496
"47611",128,"Raghopur","GEN",185628,"PARAM HANS SINGH","Akhil Bharat Hindu Mahasabha",343,19,0.00184778158467473
"48141",167,"Suryagarha","GEN",164327,"JITENDRA SHUKLA","Akhil Bharat Hindu Mahasabha",441,14,0.00268367340729156
"48374",181,"Digha","GEN",182656,"SUNIL KUMAR MISHRA (S. K. MISHRA)","Akhil Bharat Hindu Mahasabha",233,31,0.00127562193412754
"48397",182,"Bankipur","GEN",144152,"ARPANA DEVI","Akhil Bharat Hindu Mahasabha",194,22,0.00134580165380987
"48425",183,"Kumhrar","GEN",156067,"PURUSHOTTAM KUMAR","Akhil Bharat Hindu Mahasabha",165,28,0.00105723823742367
"48962",216,"Jahanabad","GEN",150314,"DHANANJAY KUMAR","Akhil Bharat Hindu Mahasabha",982,12,0.00653299093896776
"49155",229,"Bodh Gaya","SC",165385,"RAJKUMAR PASWAN","Akhil Bharat Hindu Mahasabha",873,15,0.00527859237536657
"49191",232,"Belaganj","GEN",143933,"VIBHA DEVI","Akhil Bharat Hindu Mahasabha",3349,5,0.0232677704209598
