"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"46111",33,"Khajauli","GEN",164227,"PRABHAKAR JHA","Akhil Bhartiya Mithila Party",1135,14,0.00691116564267751
"46124",34,"Babubarhi","GEN",163234,"S.N. JHA","Akhil Bhartiya Mithila Party",1591,11,0.00974674393815014
"46138",35,"Bisfi","GEN",159971,"FAIZ AHMAD","Akhil Bhartiya Mithila Party",1198,11,0.00748885735539567
"46169",37,"Rajnagar","SC",154905,"UMESH PASWAN","Akhil Bhartiya Mithila Party",967,12,0.00624253574771634
"46225",41,"Nirmali","GEN",167436,"LAXMI KANT JHA","Akhil Bhartiya Mithila Party",1504,9,0.00898253661100361
"46309",48,"Forbesganj","GEN",185936,"SUBHASH CHAND JHA","Akhil Bhartiya Mithila Party",1276,9,0.006862576370364
"46768",75,"Saharsa","GEN",193947,"NIRMAL MISHRA","Akhil Bhartiya Mithila Party",1125,8,0.00580055375953224
"46788",76,"Simri Bakhtiarpur","GEN",165233,"UMESH CHANDRA BHARTI","Akhil Bhartiya Mithila Party",1277,13,0.00772848038830016
"46929",86,"Keoti","GEN",145527,"ABDESH KAMTI","Akhil Bhartiya Mithila Party",602,11,0.00413668941158685
"47050",93,"Kurhani","GEN",173007,"SANJAY THAKUR","Akhil Bhartiya Mithila Party",1066,18,0.00616160039767177
"47706",133,"Samastipur","GEN",151218,"PREMJEET KUMAR","Akhil Bhartiya Mithila Party",381,15,0.00251954132444550
"47844",144,"Matihani","GEN",182354,"SUSHIL KUMAR","Akhil Bhartiya Mithila Party",1207,8,0.00661899382519714
