"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45658",2,"Ramnagar","SC",170997,"BHAGIRATHI DEVI","BJP",82166,1,0.480511354000363
"45669",3,"Narkatiaganj","GEN",153571,"RENU DEVI","BJP",41151,2,0.267960747797436
"45685",4,"Bagaha","GEN",167561,"RAGHAW SHARAN PANDEY","BJP",74476,1,0.444470968781518
"45701",5,"Lauriya","GEN",141706,"VINAY BIHARI","BJP",57351,1,0.404718219412022
"45713",6,"Nautan","GEN",150379,"NARAYAN PRASAD","BJP",66697,1,0.443526024245407
"45729",7,"Chanpatia","GEN",157027,"PRAKASH RAI","BJP",61304,1,0.390404198004165
"45741",8,"Bettiah","GEN",147563,"RENU DEVI","BJP",64466,2,0.436871031356099
"45758",9,"Sikta","GEN",160709,"DILIP VARMA","BJP",67035,2,0.417120385292672
"45770",10,"Raxaul","GEN",162582,"AJAY KUMAR SINGH","BJP",64731,1,0.398143705945308
"45781",11,"Sugauli","GEN",155495,"RAMCHANDRA SAHNI","BJP",62384,1,0.401196179941477
"45810",13,"Harsidhi","SC",150784,"KRISHNANDAN PASWAN","BJP",64936,2,0.430655772495756
"45828",15,"Kesaria","GEN",132290,"RAJENDRA PRASAD GUPTA","BJP",46955,2,0.354939904754706
"45835",16,"Kalyanpur","GEN",135523,"SACHINDRA PRASAD SINGH","BJP",50060,1,0.369383794632645
"45846",17,"Pipra","GEN",172496,"SHYAMBABU PRASAD YADAV","BJP",65552,1,0.38002040627029
"45864",18,"Madhuban","GEN",138934,"RANA RANDHIR","BJP",61054,1,0.43944606791714
"45877",19,"Motihari","GEN",168493,"PRAMOD KUMAR","BJP",79947,1,0.474482619456001
"45888",20,"Chiraia","GEN",148082,"LAL BABU PRASAD GUPTA","BJP",62831,1,0.424298699369268
"45902",21,"Dhaka","GEN",186214,"PAWAN KUMAR JAISWAL","BJP",68261,2,0.366572867775785
"45925",23,"Riga","GEN",161768,"MOTI LAL PRASAD","BJP",56361,2,0.348406359725038
"45943",24,"Bathnaha","SC",152233,"DINKAR RAM","BJP",74763,1,0.491109023667667
"45956",25,"Parihar","GEN",163042,"GAYTRI DEVI","BJP",66388,1,0.407183425129721
"46014",28,"Sitamarhi","GEN",164358,"SUNIL KUMAR ALIAS PINTU","BJP",66835,2,0.406642816291267
"46082",32,"Benipatti","GEN",134834,"VINOD NARAIN JHA","BJP",51244,2,0.38005250901108
"46099",33,"Khajauli","GEN",164227,"ARUN SHANKAR PRASAD","BJP",60831,2,0.370408032783891
"46146",36,"Madhubani","GEN",169692,"RAMDEO MAHTO","BJP",69516,2,0.409659854324305
"46158",37,"Rajnagar","SC",154905,"RAM PRIT PASWAN","BJP",71614,1,0.462309157225396
"46171",38,"Jhanjharpur","GEN",157914,"NITISH MISHRA","BJP",63486,2,0.402028952467799
"46190",39,"Phulparas","GEN",158555,"RAM SUNDAR YADAV","BJP",50953,2,0.321358519125855
"46203",40,"Laukaha","GEN",183235,"PRAMOD KUMAR PRIYEDARSHI","BJP",56138,2,0.306371599312358
"46218",41,"Nirmali","GEN",167436,"RAM KUMAR ROY","BJP",55649,2,0.332359827038391
"46233",42,"Pipra(Supaul)","GEN",159132,"VISHWAMOHAN KUMAR","BJP",49575,2,0.31153382097881
"46243",43,"Supaul","GEN",150466,"KISHOR KUMAR","BJP",44898,2,0.298392992436830
"46262",45,"Chhatapur","GEN",173177,"NIRAJ KUMAR SINGH","BJP",75697,1,0.437107699059344
"46275",46,"Narpatganj","GEN",175843,"JANARDAN YADAV","BJP",64299,2,0.365661413874877
"46288",47,"Raniganj","SC",161402,"RAMJI DAS RISHIDEV","BJP",62787,2,0.389010049441767
"46301",48,"Forbesganj","GEN",185936,"VIDYA SAGAR KESHRI","BJP",85929,1,0.462142887875398
"46344",51,"Sikti","GEN",165656,"VIJAY KUMAR MANDAL","BJP",76995,1,0.464788477326508
"46357",52,"Bahadurganj","GEN",159520,"AWADH BIHARI SINGH","BJP",39591,2,0.248188314944835
"46388",54,"Kishanganj","GEN",171327,"SWEETY SINGH","BJP",57913,2,0.338026113805763
"46409",55,"Kochadhaman","GEN",141890,"ABDUR RAHMAN","BJP",34895,3,0.24592994573261
"46421",56,"Amour","GEN",169250,"SABA ZAFAR","BJP",48138,2,0.284419497784343
"46448",58,"Kasba","GEN",182478,"PRADIP KUMAR DAS","BJP",79839,2,0.437526715549272
"46463",59,"Banmankhi","SC",164850,"KRISHNA KUMAR RISHI","BJP",59053,1,0.35822262663027
"46483",60,"Rupauli","GEN",181130,"PREM PRAKASH MANDAL","BJP",41273,2,0.227863965107934
"46529",62,"Purnia","GEN",186786,"VIJAY KUMAR KHEMKA","BJP",92020,1,0.492649342027775
"46555",63,"Katihar","GEN",153667,"TARKISHORE PRASAD","BJP",66048,1,0.429812516675669
"46579",64,"Kadwa","GEN",158361,"CHANDER BHUSHAN THAKUR","BJP",50342,2,0.317893925903474
"46598",65,"Balrampur","GEN",197216,"BARUN KUMAR JHA","BJP",42094,2,0.213441100113581
"46615",66,"Pranpur","GEN",179444,"BINOD KUMAR SINGH","BJP",47924,1,0.267069392122333
"46659",68,"Barari","GEN",164998,"BIBHASH CHANDRA CHOUDHARY","BJP",56839,2,0.344482963429860
"46675",69,"Korha","SC",172222,"MAHESH PASWAN","BJP",72983,2,0.423772804868135
"46705",71,"Bihariganj","GEN",173137,"RAVINDRA CHARAN YADAV","BJP",49108,2,0.283636657675713
"46734",73,"Madhepura","GEN",183722,"VIJAY KUMAR "" BIMAL""","BJP",53332,2,0.290286410990518
"46762",75,"Saharsa","GEN",193947,"ALOK RANJAN","BJP",63644,2,0.328151505308151
"46833",80,"Benipur","GEN",148283,"GOPAL JEE THAKUR","BJP",43068,2,0.290444622782113
"46848",81,"Alinagar","GEN",139698,"MISHRI LAL YADAV","BJP",54001,2,0.386555283540208
"46872",83,"Darbhanga","GEN",163187,"SANJAY SARAOGI","BJP",77776,1,0.476606592436898
"46904",85,"Bahadurpur","GEN",155714,"HARI SAHANI","BJP",54558,2,0.350373119950679
"46920",86,"Keoti","GEN",145527,"ASHOK KUMAR YADAV","BJP",60771,2,0.417592611680307
"46933",87,"Jale","GEN",148843,"JIBESH KUMAR","BJP",62059,1,0.416942684573678
"46948",88,"Gaighat","GEN",164965,"VEENA DEVI","BJP",63812,2,0.386821446973600
"46970",89,"Aurai","GEN",154133,"RAM SURAT RAY","BJP",56133,2,0.364185476179663
"46986",90,"Minapur","GEN",162872,"AJAY KUMAR","BJP",56850,2,0.349047104474680
"47019",92,"Sakra","SC",156519,"ARJUN RAM","BJP",61998,2,0.396105265175474
"47033",93,"Kurhani","GEN",173007,"KEDAR PRASAD GUPTA","BJP",73227,1,0.423260330506858
"47064",94,"Muzaffarpur","GEN",173389,"SURESH KUMAR SHARMA","BJP",95594,1,0.551326785436216
"47108",96,"Baruraj","GEN",155924,"ARUN KUMAR SINGH","BJP",63102,2,0.404697160154947
"47120",97,"Paroo","GEN",166855,"ASHOK KUMAR SINGH","BJP",80445,1,0.482125198525666
"47135",98,"Sahebganj","GEN",161699,"RAJU KUMAR SINGH","BJP",59923,2,0.370583615235716
"47150",99,"Baikunthpur","GEN",159956,"MITHILESH TIWARI","BJP",56162,1,0.351109054990122
"47165",100,"Barauli","GEN",152510,"RAMPRAVESH RAI","BJP",61186,2,0.40119336436955
"47182",101,"Gopalganj","GEN",172533,"SUBASH SINGH","BJP",78491,1,0.454933259144627
"47210",103,"Bhorey","SC",167777,"INDRADEV MANJHI","BJP",59494,2,0.35460164384868
"47238",105,"Siwan","GEN",157489,"VYAS DEO PRASAD","BJP",55156,1,0.350221285296116
"47254",106,"Ziradei","GEN",135904,"ASHA DEVI","BJP",34669,2,0.255099187661879
"47271",107,"Darauli","SC",147762,"RAMAYAN MANJHI","BJP",39992,2,0.270651453012276
"47280",108,"Raghunathpur","GEN",145413,"MANOJ KUMAR SINGH","BJP",50420,2,0.346736536623273
"47293",109,"Daraundha","GEN",151722,"JITENDRA SWAMI","BJP",53033,2,0.349540607163101
"47324",111,"Goriakothi","GEN",166010,"DEVESH KANT SINGH","BJP",63314,2,0.381386663454009
"47342",112,"Maharajganj","GEN",150439,"KUMAR DEO RANJAN SINGH","BJP",48167,2,0.320176284075273
"47360",113,"Ekma","GEN",140152,"KAMESHWAR KUMAR SINGH","BJP",41382,2,0.295265140704378
"47387",115,"Baniapur","GEN",152266,"TARKESHWAR SINGH","BJP",53900,2,0.353985788028844
"47399",116,"Taraiya","GEN",144128,"JANAK SINGH","BJP",48572,2,0.337005994671403
"47413",117,"Marhaura","GEN",140120,"LAL BABU RAY","BJP",49996,2,0.356808449900086
"47423",118,"Chapra","GEN",158247,"DR. C.N. GUPTA","BJP",71646,1,0.452747919391837
"47439",119,"Garkha","SC",157714,"GYANCHAND MANJHI","BJP",49366,2,0.313009625017437
"47450",120,"Amnour","GEN",131095,"SHATRUDHAN TIWARY","BJP",39134,1,0.298516343109958
"47481",122,"Sonepur","GEN",156884,"VINAY KUMAR SINGH","BJP",49686,2,0.316705336426914
"47494",123,"Hajipur","GEN",178454,"AWADHESH SINGH","BJP",86773,1,0.486248557051117
"47594",128,"Raghopur","GEN",185628,"SATISH KUMAR","BJP",68503,2,0.369033766457646
"47615",129,"Mahnar","GEN",148186,"DR. ACHUTA NAND","BJP",43370,2,0.292672722119498
"47640",130,"Patepur","SC",146608,"MAHENDRA BAITHA","BJP",55087,2,0.375743479209866
"47693",133,"Samastipur","GEN",151218,"RENU KUMARI","BJP",51428,2,0.340091788014654
"47725",135,"Morwa","GEN",138520,"SURESH RAY","BJP",40390,2,0.291582442968524
"47744",136,"Sarairanjan","GEN",152273,"RANJEET NIRGUNI","BJP",47011,2,0.308728402277488
"47758",137,"Mohiuddinnagar","GEN",124591,"SATYENDRA NARAYAN SINGH","BJP",18496,3,0.148453740639372
"47785",139,"Rosera","SC",162578,"MANJU HAZARI","BJP",51145,2,0.314587459557874
"47830",143,"Teghra","GEN",159818,"RAM LAKHAN SINGH","BJP",53364,2,0.333904816729029
"47838",144,"Matihani","GEN",182354,"SARVESH KUMAR","BJP",66609,2,0.365273040350088
"47860",146,"Begusarai","GEN",169726,"SURENDRA MEHTA","BJP",66990,2,0.394694978966098
"47873",147,"Bakhri","SC",147461,"RAMANAND RAM","BJP",32376,2,0.219556357274127
"47919",151,"Parbatta","GEN",169225,"RAMANUJ CHOUDHARY","BJP",47324,2,0.279651351750628
"47935",152,"Bihpur","GEN",142528,"KUMAR SHAILENDRA","BJP",56247,2,0.394638246519982
"47950",153,"Gopalpur","GEN",138807,"ANIL KUMAR YADAV","BJP",52234,2,0.376306670412875
"47964",154,"Pirpainti","SC",177132,"LALAN KUMAR","BJP",74914,2,0.422927534268229
"47990",156,"Bhagalpur","GEN",152511,"ARJIT SHASHWAT CHOUBEY","BJP",59856,2,0.392470051340559
"48029",159,"Amarpur","GEN",153930,"MRINAL SHEKHAR","BJP",61934,2,0.402351718313519
"48052",161,"Banka","GEN",136529,"RAM NARAYAN MANDAL","BJP",52379,1,0.383647430216291
"48065",162,"Katoria","ST",132421,"NIKKI HEMBRAM","BJP",44423,2,0.335467939375175
"48075",163,"Belhar","GEN",157781,"MANOJ YADAV","BJP",54157,2,0.343241581686008
"48101",165,"Munger","GEN",169228,"PRANAV KUMAR","BJP",72851,2,0.430490226203702
"48129",167,"Suryagarha","GEN",164327,"PREM RANJAN PATEL","BJP",52460,2,0.319241512350375
"48144",168,"Lakhisarai","GEN",186060,"VIJAY KUMAR SINHA","BJP",75901,1,0.407938299473288
"48198",172,"Biharsharif","GEN",178327,"DR.SUNIL KUMAR","BJP",76201,1,0.427310502615981
"48213",173,"Rajgir","SC",148513,"SATYDEO NARAIN ARYA","BJP",56619,2,0.381239352783931
