"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45684",3,"Narkatiaganj","GEN",153571,"NATHU RAVI","Bahujan Mukti Party",399,17,0.00259814678552591
"45950",24,"Bathnaha","SC",152233,"INDAL PASWAN","Bahujan Mukti Party",1763,8,0.0115809318610288
"45982",26,"Sursand","GEN",156718,"SATYANARAYAN THAKUR","Bahujan Mukti Party",1978,12,0.0126213963935221
"46003",27,"Bajpatti","GEN",155282,"SANOWAR PRAVEEN","Bahujan Mukti Party",726,14,0.00467536482013369
"46028",28,"Sitamarhi","GEN",164358,"RAM VINAY SINGH KUSHWAHA","Bahujan Mukti Party",374,16,0.00227552051010599
"46042",29,"Runnisaidpur","GEN",137464,"RAJARAM PASWAN","Bahujan Mukti Party",598,14,0.00435022987836815
"46144",35,"Bisfi","GEN",159971,"GULAB KUMAR SAH","Bahujan Mukti Party",389,17,0.00243169074394734
"46285",46,"Narpatganj","GEN",175843,"MOHAMMAD RAHMAT ALI","Bahujan Mukti Party",864,12,0.0049134739511951
"46324",49,"Araria","GEN",175608,"NASIM","Bahujan Mukti Party",691,11,0.00393490046011571
"46481",59,"Banmankhi","SC",164850,"ARAVIND PASWAN","Bahujan Mukti Party",612,19,0.00371246587807097
"46575",63,"Katihar","GEN",153667,"MANOJ KUMAR SAH","Bahujan Mukti Party",326,21,0.00212147045234175
"46595",64,"Kadwa","GEN",158361,"MURLI KUMAR MANDAL","Bahujan Mukti Party",502,18,0.00316997240482189
"46614",65,"Balrampur","GEN",197216,"GOPAL RAVIDAS","Bahujan Mukti Party",685,18,0.00347334901833523
"46657",67,"Manihari","ST",159465,"TALLU HEMBRAM","Bahujan Mukti Party",957,19,0.00600131690339573
"46672",68,"Barari","GEN",164998,"RAMCHANDRA SINGH NISHAD","Bahujan Mukti Party",550,15,0.00333337373786349
"46703",70,"Alamnagar","GEN",192299,"RACHANA KUMARI","Bahujan Mukti Party",818,16,0.00425379227141067
"46744",73,"Madhepura","GEN",183722,"MANISH KUMAR","Bahujan Mukti Party",1516,12,0.00825159752234354
"46759",74,"Sonbarsha","SC",148837,"SATYANARAYAN PASWAN","Bahujan Mukti Party",2007,8,0.0134845502126487
"46774",75,"Saharsa","GEN",193947,"NARESH PRASAD SAH","Bahujan Mukti Party",579,14,0.00298535166823926
"46968",88,"Gaighat","GEN",164965,"KAMALDEV RAM","Bahujan Mukti Party",456,22,0.00276422271390901
"46997",90,"Minapur","GEN",162872,"VINAY KUMAR VIPIN","Bahujan Mukti Party",763,13,0.00468466034677538
"47011",91,"Bochaha","SC",166492,"JAYNATH","Bahujan Mukti Party",2847,10,0.0170999207169113
"47027",92,"Sakra","SC",156519,"SAMATA PRAKASH BHARATI","Bahujan Mukti Party",728,10,0.00465119250697998
"47039",93,"Kurhani","GEN",173007,"RAMNERESH YADAV","Bahujan Mukti Party",1964,7,0.0113521418208512
