"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45648",1,"Valmiki Nagar","GEN",184834,"ALTAF HUSSAIN","Bahujan Samaj Party",11097,5,0.060037655409719
"45664",2,"Ramnagar","SC",170997,"NARESH RAM","Bahujan Samaj Party",2531,7,0.0148014292648409
"45672",3,"Narkatiaganj","GEN",153571,"NAUSHAD ALAM","Bahujan Samaj Party",2124,5,0.0138307362718222
"45687",4,"Bagaha","GEN",167561,"MD. KAMRAN AZIZ","Bahujan Samaj Party",8292,3,0.0494864556788274
"45704",5,"Lauriya","GEN",141706,"SUNIL KUMAR","Bahujan Samaj Party",8994,4,0.0634694367210986
"45718",6,"Nautan","GEN",150379,"SHAILESH KUSHAWAHA","Bahujan Samaj Party",3873,6,0.0257549258872582
"45735",7,"Chanpatia","GEN",157027,"MOHAMMAD JAHANGIR","Bahujan Samaj Party",2546,7,0.0162137721538334
"45745",8,"Bettiah","GEN",147563,"LAKSHMI RAM","Bahujan Samaj Party",1553,6,0.0105243184267059
"45763",9,"Sikta","GEN",160709,"VIKRAM BHAIYA","Bahujan Samaj Party",1414,7,0.00879851159549247
"45776",10,"Raxaul","GEN",162582,"CHANDRA KISHOR PAL","Bahujan Samaj Party",1681,7,0.0103393979653344
"45792",11,"Sugauli","GEN",155495,"OMPRAKASH GUPTA","Bahujan Samaj Party",770,12,0.00495192771471752
"45802",12,"Narkatia","GEN",163447,"ANWAR ALAM ANSARI","Bahujan Samaj Party",1991,7,0.0121813187149351
"45815",13,"Harsidhi","SC",150784,"BINDESHWARI RAM","Bahujan Samaj Party",644,7,0.00427101018675722
"45823",14,"Govindganj","GEN",136927,"RAVINDRA DUBEY","Bahujan Samaj Party",2376,6,0.0173523118157851
"45834",15,"Kesaria","GEN",132290,"AWDHESH KUWAR","Bahujan Samaj Party",1794,8,0.0135611157305919
"45842",16,"Kalyanpur","GEN",135523,"SURESH MUKHIYA","Bahujan Samaj Party",1793,8,0.0132302266036023
"45854",17,"Pipra","GEN",172496,"NAGENDRA SAHANI","Bahujan Samaj Party",1847,9,0.010707494666543
"45866",18,"Madhuban","GEN",138934,"SANTOSH KUMAR MADHUKAR","Bahujan Samaj Party",12366,3,0.0890062907567622
"45880",19,"Motihari","GEN",168493,"RAVI BHUSHAN PRASAD","Bahujan Samaj Party",6369,4,0.0377997899022511
"45891",20,"Chiraia","GEN",148082,"OM PRAKASH","Bahujan Samaj Party",4531,4,0.0305979119676936
"45907",21,"Dhaka","GEN",186214,"RAMKRIT PASWAN","Bahujan Samaj Party",1434,7,0.00770081733919039
"45919",22,"Sheohar","GEN",150049,"MO IMAMUDIN","Bahujan Samaj Party",2906,8,0.0193670067777859
"45929",23,"Riga","GEN",161768,"UMESH SAH","Bahujan Samaj Party",2635,6,0.0162887592107215
"45948",24,"Bathnaha","SC",152233,"MANOJ RAM","Bahujan Samaj Party",2273,6,0.0149310596257053
"45959",25,"Parihar","GEN",163042,"NILAM YADAV","Bahujan Samaj Party",6794,4,0.0416702444768833
"45989",26,"Sursand","GEN",156718,"MUKESH KUMAR SINGH","Bahujan Samaj Party",970,19,0.00618946132543805
"45998",27,"Bajpatti","GEN",155282,"AKHILESHWAR KUMAR","Bahujan Samaj Party",1624,9,0.0104583918290594
"46019",28,"Sitamarhi","GEN",164358,"IRSHAD AHMAD","Bahujan Samaj Party",959,7,0.00583482398179584
"46036",29,"Runnisaidpur","GEN",137464,"SHYAM BABU YADAV","Bahujan Samaj Party",1520,8,0.0110574404935110
"46052",30,"Belsand","GEN",122466,"BINDESHWAR RAM","Bahujan Samaj Party",2571,9,0.020993581892117
"46070",31,"Harlakhi","GEN",144866,"HIRALAL SAH","Bahujan Samaj Party",2109,8,0.0145582814463021
"46086",32,"Benipatti","GEN",134834,"MISHRI LAL YADAV","Bahujan Samaj Party",2011,6,0.0149146357743596
"46103",33,"Khajauli","GEN",164227,"MURARI THAKUR","Bahujan Samaj Party",2281,6,0.0138893117453281
"46123",34,"Babubarhi","GEN",163234,"RITA DEVI","Bahujan Samaj Party",2105,10,0.0128955977308649
"46134",35,"Bisfi","GEN",159971,"CHAMELI DEVI","Bahujan Samaj Party",2271,7,0.0141963230835589
"46151",36,"Madhubani","GEN",169692,"MITHILESH KUMAR DAS","Bahujan Samaj Party",2508,7,0.0147797185489004
"46161",37,"Rajnagar","SC",154905,"MAHESWAR RAM","Bahujan Samaj Party",2650,4,0.0171072592879507
"46182",38,"Jhanjharpur","GEN",157914,"RAM BHAROS PASWAN","Bahujan Samaj Party",574,13,0.00363488987676837
"46196",39,"Phulparas","GEN",158555,"DURGANAND MANDAL","Bahujan Samaj Party",2626,8,0.0165620762511431
"46212",40,"Laukaha","GEN",183235,"SHAKUNTALA","Bahujan Samaj Party",1881,11,0.0102655060441510
"46224",41,"Nirmali","GEN",167436,"BINOD KUMAR SAHU","Bahujan Samaj Party",1591,8,0.00950213813039012
"46234",42,"Pipra(Supaul)","GEN",159132,"MAHENDRA SAH","Bahujan Samaj Party",4204,3,0.0264183193826509
"46245",43,"Supaul","GEN",150466,"MD. ZIYAUR RAHMAN","Bahujan Samaj Party",4322,4,0.0287240971382239
"46259",44,"Triveniganj","SC",156215,"MAHENDRA RAM","Bahujan Samaj Party",1824,8,0.0116762154722658
"46265",45,"Chhatapur","GEN",173177,"AQUEEL AHMAD","Bahujan Samaj Party",4135,4,0.0238773047229136
"46278",46,"Narpatganj","GEN",175843,"GURU PRASAD YADAV","Bahujan Samaj Party",2483,5,0.0141205507185387
"46292",47,"Raniganj","SC",161402,"JAY RAM RISHIDEV","Bahujan Samaj Party",1935,6,0.0119886990247952
"46304",48,"Forbesganj","GEN",185936,"LAXMI NARAYAN MEHTA","Bahujan Samaj Party",4262,4,0.0229218655881594
"46337",50,"Jokihat","GEN",158505,"SARFUDDIN","Bahujan Samaj Party",1593,8,0.0100501561464938
"46350",51,"Sikti","GEN",165656,"VINOD RISHIDEV","Bahujan Samaj Party",1853,7,0.0111858308784469
"46362",52,"Bahadurganj","GEN",159520,"PARMESHWAR PRASAD SINHA","Bahujan Samaj Party",2428,7,0.0152206619859579
"46396",54,"Kishanganj","GEN",171327,"AJAY KUMAR SAH","Bahujan Samaj Party",1322,10,0.00771623853800043
"46415",55,"Kochadhaman","GEN",141890,"BABUL ALAM","Bahujan Samaj Party",970,9,0.00683628162661216
"46424",56,"Amour","GEN",169250,"MD NASIM AKHTER","Bahujan Samaj Party",2458,5,0.0145228951255539
"46443",57,"Baisi","GEN",161320,"HARUN RASID","Bahujan Samaj Party",1474,10,0.0091371187701463
"46452",58,"Kasba","GEN",182478,"AJEET KUMAR MEHTA","Bahujan Samaj Party",2318,6,0.0127029011716481
"46472",59,"Banmankhi","SC",164850,"SATAYANRAYAN RAM","Bahujan Samaj Party",1933,10,0.0117258113436457
"46490",60,"Rupauli","GEN",181130,"KETAN KUMAR SINGH","Bahujan Samaj Party",2757,9,0.0152211119085740
"46516",61,"Dhamdaha","GEN",188439,"TARUN KUMAR SINGH","Bahujan Samaj Party",2109,14,0.0111919507108401
"46544",62,"Purnia","GEN",186786,"ASHOK KUMAR MAHTO","Bahujan Samaj Party",996,16,0.00533230541903569
"46567",63,"Katihar","GEN",153667,"ARVIND KHWAB","Bahujan Samaj Party",842,13,0.00547938073887041
"46587",64,"Kadwa","GEN",158361,"VIDHANAND MANDAL","Bahujan Samaj Party",1369,10,0.00864480522350831
"46607",65,"Balrampur","GEN",197216,"MD. ANSAR","Bahujan Samaj Party",1688,11,0.00855914327437936
"46626",66,"Pranpur","GEN",179444,"ABDUS SALAM","Bahujan Samaj Party",1503,12,0.008375872138383
"46648",67,"Manihari","ST",159465,"ABHILASHITA URAON","Bahujan Samaj Party",1881,10,0.0117956918446054
"46670",68,"Barari","GEN",164998,"LAKSHMI KANT MANDAL","Bahujan Samaj Party",794,13,0.0048121795415702
"46680",69,"Korha","SC",172222,"RAVINDRA KUMAR","Bahujan Samaj Party",1621,7,0.00941227020938092
"46700",70,"Alamnagar","GEN",192299,"RAVINDRA SINGH","Bahujan Samaj Party",1764,13,0.00917321462930124
"46713",71,"Bihariganj","GEN",173137,"PRATIBHA KUMARI","Bahujan Samaj Party",1859,10,0.0107371619006914
"46725",72,"Singheshwar","SC",167982,"INDO DEVI","Bahujan Samaj Party",4098,6,0.0243954709433154
"46741",73,"Madhepura","GEN",183722,"KAPILDEV PASWAN","Bahujan Samaj Party",2323,9,0.0126441035912955
"46760",74,"Sonbarsha","SC",148837,"RAJESH RAM","Bahujan Samaj Party",1809,9,0.0121542358418942
"46773",75,"Saharsa","GEN",193947,"SHAMBHU SAH","Bahujan Samaj Party",809,13,0.00417124265907696
"46786",76,"Simri Bakhtiarpur","GEN",165233,"BINOD PASWAN","Bahujan Samaj Party",1762,11,0.0106637294003014
"46799",77,"Mahishi","GEN",145580,"NANHE KHAN","Bahujan Samaj Party",1777,9,0.0122063470256903
