"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45874",18,"Madhuban","GEN",138934,"JAGDISH PRASAD","Bajjikanchal Vikas Party",614,11,0.00441936459038104
"46961",88,"Gaighat","GEN",164965,"PRABHU SAHANI","Bajjikanchal Vikas Party",931,15,0.0056436213742309
"46982",89,"Aurai","GEN",154133,"SURENDRA KUMAR","Bajjikanchal Vikas Party",820,14,0.00532008070951711
"46998",90,"Minapur","GEN",162872,"DEVENDRA SINGH","Bajjikanchal Vikas Party",656,14,0.00402770273589076
"47029",92,"Sakra","SC",156519,"RANDHIR KUMAR RAM","Bajjikanchal Vikas Party",531,12,0.00339255936978897
"47058",93,"Kurhani","GEN",173007,"ALOK KUMAR SINGH","Bajjikanchal Vikas Party",539,26,0.00311548087649633
"47074",94,"Muzaffarpur","GEN",173389,"SHIVNATH SAH","Bajjikanchal Vikas Party",465,11,0.00268183102734314
"47105",95,"Kanti","GEN",179468,"KUMAR NATH SINGH","Bajjikanchal Vikas Party",466,21,0.00259656317560791
"47118",96,"Baruraj","GEN",155924,"ABHAY KUMAR","Bajjikanchal Vikas Party",582,12,0.0037325876709166
"47541",125,"Vaishali","GEN",166498,"RAJ KUMAR SINGH","Bajjikanchal Vikas Party",1435,13,0.00861872214681257
"47571",126,"Mahua","GEN",154435,"JAYNARAYAN SAH","Bajjikanchal Vikas Party",479,26,0.00310162851685175
