"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"47158",99,"Baikunthpur","GEN",159956,"Z RAHMAN","Bhartiya New Sanskar Krantikari Party",2103,9,0.0131473655255195
"47234",104,"Hathua","GEN",158595,"FAROOKH KHAN","Bhartiya New Sanskar Krantikari Party",1501,13,0.00946435890160472
"47304",109,"Daraundha","GEN",151722,"SANJIV KUMAR","Bhartiya New Sanskar Krantikari Party",573,13,0.00377664412543995
"47318",110,"Barharia","GEN",155404,"ABDUL GAFAR ANSARI","Bhartiya New Sanskar Krantikari Party",1613,12,0.0103793982136882
"47334",111,"Goriakothi","GEN",166010,"UMA SHANKAR TIWARI","Bhartiya New Sanskar Krantikari Party",1530,12,0.00921631227034516
"47355",112,"Maharajganj","GEN",150439,"OM PRAKASH SINGH","Bhartiya New Sanskar Krantikari Party",1103,15,0.00733187537806021
"47368",113,"Ekma","GEN",140152,"RAMESH KUMAR SINGH","Bhartiya New Sanskar Krantikari Party",1629,10,0.0116230949255094
"47385",114,"Manjhi","GEN",143720,"RAVIKANT CHAURASIYA","Bhartiya New Sanskar Krantikari Party",681,16,0.00473838018369051
"47396",115,"Baniapur","GEN",152266,"DR. GOPAL PRASAD","Bhartiya New Sanskar Krantikari Party",564,11,0.00370404423837232
"47410",116,"Taraiya","GEN",144128,"LALAN SAH","Bhartiya New Sanskar Krantikari Party",611,13,0.00423928730017762
"47421",117,"Marhaura","GEN",140120,"VIJAY SAH","Bhartiya New Sanskar Krantikari Party",490,10,0.00349700256922638
"47462",120,"Amnour","GEN",131095,"SONALAL GUPTA","Bhartiya New Sanskar Krantikari Party",650,13,0.00495823639345513
