"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45744",8,"Bettiah","GEN",147563,"MOHAMMAD SAIDULLAH","Communist Party of India  (Marxist)",1628,5,0.0110325759167271
"45786",11,"Sugauli","GEN",155495,"MADAN MOHAN YADAV","Communist Party of India  (Marxist)",2666,6,0.0171452458278401
"45848",17,"Pipra","GEN",172496,"RAJ MANGAL PRASAD","Communist Party of India  (Marxist)",8366,3,0.0484996753547908
"45883",19,"Motihari","GEN",168493,"ARVIND KUMAR","Communist Party of India  (Marxist)",2242,7,0.0133061907616340
"46035",29,"Runnisaidpur","GEN",137464,"DEVENDAR PRASAD YADAV","Communist Party of India  (Marxist)",1887,7,0.0137272304021417
"46192",39,"Phulparas","GEN",158555,"UMESH KUMAR ROY","Communist Party of India  (Marxist)",7431,4,0.0468670177540916
"46205",40,"Laukaha","GEN",183235,"RAMPARI DEVI","Communist Party of India  (Marxist)",5393,4,0.0294321499713483
"46236",42,"Pipra(Supaul)","GEN",159132,"NAGESHWAR PRASAD YADAV","Communist Party of India  (Marxist)",3507,5,0.0220383078199231
"46270",45,"Chhatapur","GEN",173177,"NITU KUMARI","Communist Party of India  (Marxist)",2570,9,0.0148403078930805
"46392",54,"Kishanganj","GEN",171327,"SHYAM NAND GUPTA","Communist Party of India  (Marxist)",2038,6,0.0118953813467813
"46507",61,"Dhamdaha","GEN",188439,"MITHLESH  KUMAR SINGH","Communist Party of India  (Marxist)",4972,5,0.0263851962704111
"46532",62,"Purnia","GEN",186786,"RAJEEV KUMAR SINGH","Communist Party of India  (Marxist)",3993,4,0.0213774051588449
"46677",69,"Korha","SC",172222,"JAY PRAKASH RISHI","Communist Party of India  (Marxist)",3719,4,0.0215942214118986
"46724",72,"Singheshwar","SC",167982,"RAJKISHOR SARDAR","Communist Party of India  (Marxist)",6924,5,0.0412187020037861
"46740",73,"Madhepura","GEN",183722,"GANESH MANAV","Communist Party of India  (Marxist)",2549,8,0.0138742230108534
"46766",75,"Saharsa","GEN",193947,"VINOD KUMAR","Communist Party of India  (Marxist)",3253,6,0.0167726234486741
"46876",83,"Darbhanga","GEN",163187,"AVINASH KUMAR THAKUR","Communist Party of India  (Marxist)",2223,5,0.0136224086477477
"46905",85,"Bahadurpur","GEN",155714,"SHYAM BHARTI","Communist Party of India  (Marxist)",5595,3,0.0359312585894653
