"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45656",1,"Valmiki Nagar","GEN",184834,"VISHNUDEO PRASAD YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",1466,13,0.00793144118506335
"45662",2,"Ramnagar","SC",170997,"RAMKESHWAR RAM","Communist Party of India  (Marxist-Leninist)  (Liberation)",3158,5,0.0184681602601215
"45680",3,"Narkatiaganj","GEN",153571,"MUKHTAR MIYAN","Communist Party of India  (Marxist-Leninist)  (Liberation)",799,13,0.00520280521713084
"45696",4,"Bagaha","GEN",167561,"BHIKHARI PRASAD","Communist Party of India  (Marxist-Leninist)  (Liberation)",774,12,0.00461921330142456
"45759",9,"Sikta","GEN",160709,"BIRENDRA PRASAD GUPTA","Communist Party of India  (Marxist-Leninist)  (Liberation)",5639,3,0.0350882651251641
"45801",12,"Narkatia","GEN",163447,"DINESH PRASAD","Communist Party of India  (Marxist-Leninist)  (Liberation)",2177,6,0.0133193022814735
"46004",27,"Bajpatti","GEN",155282,"SHAILENDRA KUMAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",717,15,0.00461740575211551
"46155",36,"Madhubani","GEN",169692,"DHRUB NARAYAN KARN","Communist Party of India  (Marxist-Leninist)  (Liberation)",936,11,0.00551587582207765
"46164",37,"Rajnagar","SC",154905,"UTIM PASWAN","Communist Party of India  (Marxist-Leninist)  (Liberation)",1945,7,0.0125560827604015
"46228",41,"Nirmali","GEN",167436,"SUNIL KUMAR ""SUMAN""","Communist Party of India  (Marxist-Leninist)  (Liberation)",1279,12,0.00763873957810746
"46249",43,"Supaul","GEN",150466,"ARVIND KUMAR SHARMA","Communist Party of India  (Marxist-Leninist)  (Liberation)",1915,8,0.0127271277232066
"46260",44,"Triveniganj","SC",156215,"UPENDER SIDEO","Communist Party of India  (Marxist-Leninist)  (Liberation)",1690,9,0.0108184233268252
"46296",47,"Raniganj","SC",161402,"KAILASH RISHIDEV","Communist Party of India  (Marxist-Leninist)  (Liberation)",773,10,0.00478928389982776
"46312",48,"Forbesganj","GEN",185936,"NOORULLAH","Communist Party of India  (Marxist-Leninist)  (Liberation)",952,12,0.00512004130453489
"46352",51,"Sikti","GEN",165656,"B. K. ANITA","Communist Party of India  (Marxist-Leninist)  (Liberation)",979,9,0.00590983725310282
"46385",53,"Thakurganj","GEN",180049,"HEMANT ROY","Communist Party of India  (Marxist-Leninist)  (Liberation)",998,11,0.00554293553421569
"46457",58,"Kasba","GEN",182478,"AFJAL KHAN ALIAS MUKHTAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",546,11,0.00299214151842962
"46492",60,"Rupauli","GEN",181130,"BINDESHWARI SHARMA","Communist Party of India  (Marxist-Leninist)  (Liberation)",2587,11,0.0142825594876608
"46513",61,"Dhamdaha","GEN",188439,"PANKAJ KUMAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",2737,11,0.0145245941657513
"46561",63,"Katihar","GEN",153667,"ASGHAR ALI","Communist Party of India  (Marxist-Leninist)  (Liberation)",1247,7,0.00811494985911093
"46597",65,"Balrampur","GEN",197216,"MAHBOOB ALAM","Communist Party of India  (Marxist-Leninist)  (Liberation)",62513,1,0.316977324355022
"46635",66,"Pranpur","GEN",179444,"PRADIP KUMAR RAY","Communist Party of India  (Marxist-Leninist)  (Liberation)",873,21,0.00486502752947995
"46789",76,"Simri Bakhtiarpur","GEN",165233,"SANJAY SINGH CHAUHAN","Communist Party of India  (Marxist-Leninist)  (Liberation)",937,14,0.00567078004999001
"46803",77,"Mahishi","GEN",145580,"LALAN YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",1034,13,0.00710262398681138
"46825",79,"Gaura Bauram","GEN",120370,"ASARFI DAS","Communist Party of India  (Marxist-Leninist)  (Liberation)",1665,8,0.0138323502533854
"46855",81,"Alinagar","GEN",139698,"HARIHAR KUMAR JHA","Communist Party of India  (Marxist-Leninist)  (Liberation)",824,9,0.00589843805924208
"46867",82,"Darbhanga Rural","GEN",137328,"SANICHARI DEVI","Communist Party of India  (Marxist-Leninist)  (Liberation)",1624,9,0.0118257019690085
"46897",84,"Hayaghat","GEN",123180,"SATYA NARAYAN MUKHIA","Communist Party of India  (Marxist-Leninist)  (Liberation)",837,10,0.00679493424257185
"46908",85,"Bahadurpur","GEN",155714,"BAIDYANATH YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",3519,6,0.0225991240350900
"46939",87,"Jale","GEN",148843,"SUSHIL MISHRA","Communist Party of India  (Marxist-Leninist)  (Liberation)",2110,7,0.0141760109645734
"46956",88,"Gaighat","GEN",164965,"JITENDRA YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",1698,10,0.0102930924741612
"47009",91,"Bochaha","SC",166492,"RAMNANDAN PASWAN","Communist Party of India  (Marxist-Leninist)  (Liberation)",4080,8,0.0245056819546885
