"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45709",5,"Lauriya","GEN",141706,"RAM BABU KUMAR SANKRITYA","Communist Party of India",1729,9,0.0122013182222348
"45716",6,"Nautan","GEN",150379,"GALLU CHAUDHARI","Communist Party of India",4242,4,0.0282087259524269
"45731",7,"Chanpatia","GEN",157027,"OM PRAKASH KRANTI","Communist Party of India",10136,3,0.0645494087004146
"45785",11,"Sugauli","GEN",155495,"RADHA MOHAN SINGH","Communist Party of India",4335,5,0.0278787099263642
"45812",13,"Harsidhi","SC",150784,"VIDYA SAGAR ARYA","Communist Party of India",2867,4,0.0190139537351443
"45829",15,"Kesaria","GEN",132290,"RAM SARAN PRASAD YADAV","Communist Party of India",11767,3,0.0889485221861063
"45838",16,"Kalyanpur","GEN",135523,"RAMAYAN SINGH","Communist Party of India",4657,4,0.0343631708270921
"45873",18,"Madhuban","GEN",138934,"SUDHIR KUMAR SINGH","Communist Party of India",1176,10,0.00846445074639757
"45884",19,"Motihari","GEN",168493,"TRIBENI TIWARI","Communist Party of India",1905,8,0.0113061076721288
"45926",23,"Riga","GEN",161768,"ATUL BIHARI MISHRA","Communist Party of India",4262,3,0.0263463725829583
"45963",25,"Parihar","GEN",163042,"MD. NAZAMUDDIN ANSARI","Communist Party of India",2405,8,0.0147508004072570
"45975",26,"Sursand","GEN",156718,"NAWAL KISHOR RAUT","Communist Party of India",10342,5,0.0659911433275055
"46050",30,"Belsand","GEN",122466,"SHATRUGHAN SAHANI","Communist Party of India",5063,7,0.0413420867832705
"46065",31,"Harlakhi","GEN",144866,"RAM NARESH PANDEY","Communist Party of India",22709,3,0.15675865972692
"46083",32,"Benipatti","GEN",134834,"KRIPANAND JHA","Communist Party of India",9758,3,0.0723704703561416
"46100",33,"Khajauli","GEN",164227,"AMIRUDDIN","Communist Party of India",7568,3,0.0460825564614832
"46119",34,"Babubarhi","GEN",163234,"SURYA NARAYAN MAHTO","Communist Party of India",3635,6,0.0222686450126812
"46131",35,"Bisfi","GEN",159971,"MITHILESH KUMAR JHA","Communist Party of India",9309,4,0.058191797263254
"46173",38,"Jhanjharpur","GEN",157914,"RAM NARAYAN YADAV","Communist Party of India",4531,4,0.0286928328077308
"46279",46,"Narpatganj","GEN",175843,"SHYAM DEO ROY","Communist Party of India",2410,6,0.0137054076647919
"46316",49,"Araria","GEN",175608,"DR(CAPT.) S. R. JHA","Communist Party of India",5898,3,0.0335861691950253
"46469",59,"Banmankhi","SC",164850,"RAJ KUMAR RAJ","Communist Party of India",3745,7,0.0227176220806794
"46485",60,"Rupauli","GEN",181130,"SAVAN KUMAR","Communist Party of India",10426,4,0.0575608678849445
"46645",67,"Manihari","ST",159465,"ANIRUDH PRASAD SINGH","Communist Party of India",5129,7,0.0321637976985545
"46663",68,"Barari","GEN",164998,"DINESH PRASAD YADAV","Communist Party of India",2406,6,0.0145819949332719
"46695",70,"Alamnagar","GEN",192299,"RAMDEV SINGH","Communist Party of India",3812,8,0.0198232960129798
"46708",71,"Bihariganj","GEN",173137,"NIKHIL KUMAR JHA","Communist Party of India",4653,5,0.0268746715029139
"46756",74,"Sonbarsha","SC",148837,"RAJKUMAR CHAUDHARY","Communist Party of India",4830,5,0.0324516081350739
"46809",78,"Kusheshwar Asthan","SC",116236,"RAJENDRA PRASAD","Communist Party of India",5706,4,0.0490897828555697
