"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45739",7,"Chanpatia","GEN",157027,"LATIF MIYAN","Gareeb Aadmi Party",830,11,0.00528571519547594
"45807",12,"Narkatia","GEN",163447,"DEEPAK KUMAR","Gareeb Aadmi Party",623,12,0.00381163312878181
"46416",55,"Kochadhaman","GEN",141890,"EJAZ EQUBAL","Gareeb Aadmi Party",960,10,0.0067658044964409
"46430",56,"Amour","GEN",169250,"AKHALAK ALAM","Gareeb Aadmi Party",1119,11,0.00661152141802068
"47080",94,"Muzaffarpur","GEN",173389,"MANOJ KUMAR YADAV","Gareeb Aadmi Party",264,17,0.00152258793810449
"47195",101,"Gopalganj","GEN",172533,"SIKANDER AZAM","Gareeb Aadmi Party",485,14,0.00281105643558044
"47501",123,"Hajipur","GEN",178454,"NISHANT GANDHI","Gareeb Aadmi Party",959,8,0.00537393389893194
"47540",125,"Vaishali","GEN",166498,"SUDHIR KU SHARMA","Gareeb Aadmi Party",1556,12,0.00934545760309433
"47562",126,"Mahua","GEN",154435,"DR. SUMAN SINHA","Gareeb Aadmi Party",919,17,0.00595072360540033
"47610",128,"Raghopur","GEN",185628,"AKHILESH KUMAR","Gareeb Aadmi Party",378,18,0.00203633072596807
"47659",130,"Patepur","SC",146608,"ANIL KUMAR","Gareeb Aadmi Party",454,21,0.00309669322274364
"47932",151,"Parbatta","GEN",169225,"MOHAMMD IRFAN","Gareeb Aadmi Party",653,15,0.00385876791254247
"48375",181,"Digha","GEN",182656,"JANTI DEVI","Gareeb Aadmi Party",231,32,0.00126467238962859
"48389",182,"Bankipur","GEN",144152,"RAJ KUMAR PASWAN","Gareeb Aadmi Party",340,14,0.00235862145513070
"48429",183,"Kumhrar","GEN",156067,"NITIN PRAKASH","Gareeb Aadmi Party",151,32,0.00096753317485439
"48447",184,"Patna Sahib","GEN",187903,"JITENDRA KUMAR","Gareeb Aadmi Party",311,15,0.00165510928510987
"48476",186,"Danapur","GEN",166986,"SUSHMA SINHA","Gareeb Aadmi Party",582,13,0.00348532212281269
"48508",188,"Phulwari","SC",189057,"DEEPAK KUMAR","Gareeb Aadmi Party",1401,17,0.00741046351100462
"48622",196,"Tarari","GEN",153002,"ANIL KUMAR","Gareeb Aadmi Party",869,12,0.00567966431811349
