"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45657",1,"Valmiki Nagar","GEN",184834,"RAJESH KUMAR KEWAT","Garib Janta Dal (Secular)",1173,14,0.0063462350000541
"45724",6,"Nautan","GEN",150379,"SHANKAR CHAUDHARI","Garib Janta Dal (Secular)",1108,12,0.00736805006018128
"45754",8,"Bettiah","GEN",147563,"MOHAMMAD FIROJ","Garib Janta Dal (Secular)",328,15,0.00222277942302610
"45775",10,"Raxaul","GEN",162582,"PARMANAND PRASAD","Garib Janta Dal (Secular)",1952,6,0.0120062491542729
"45814",13,"Harsidhi","SC",150784,"VINDESHWARI RAM","Garib Janta Dal (Secular)",893,6,0.00592237903225806
"45845",16,"Kalyanpur","GEN",135523,"PRAMOD GIRI","Garib Janta Dal (Secular)",1320,11,0.00974004412535142
"45853",17,"Pipra","GEN",172496,"SADHU YADAV","Garib Janta Dal (Secular)",2604,8,0.0150960022261386
"45897",20,"Chiraia","GEN",148082,"HARENDRA PRASAD YADAV","Garib Janta Dal (Secular)",618,10,0.00417336340676112
"45910",21,"Dhaka","GEN",186214,"MOHMMAD ALAM","Garib Janta Dal (Secular)",480,10,0.00257767944408047
"45921",22,"Sheohar","GEN",150049,"QUAMRUZZAMA","Garib Janta Dal (Secular)",2370,10,0.0157948403521516
"45938",23,"Riga","GEN",161768,"RAM NARESH SAH","Garib Janta Dal (Secular)",636,15,0.00393155630285347
"45986",26,"Sursand","GEN",156718,"BHARAT BHUSHAN SAHANI","Garib Janta Dal (Secular)",1369,16,0.00873543562322133
"46010",27,"Bajpatti","GEN",155282,"SHANKAR RAY","Garib Janta Dal (Secular)",423,21,0.00272407619685475
"46027",28,"Sitamarhi","GEN",164358,"RAMESH SAH","Garib Janta Dal (Secular)",390,15,0.00237286898112657
"46058",30,"Belsand","GEN",122466,"USHA DEVI","Garib Janta Dal (Secular)",1391,15,0.0113582545359528
"46077",31,"Harlakhi","GEN",144866,"SANJAY PASWAN","Garib Janta Dal (Secular)",763,15,0.00526693634117046
"46140",35,"Bisfi","GEN",159971,"MANOJ KUMAR YADAV (PARADIH)","Garib Janta Dal (Secular)",836,13,0.00522594720293053
"46367",52,"Bahadurganj","GEN",159520,"MD. MANJAR HASNAIN","Garib Janta Dal (Secular)",1387,12,0.00869483450351053
"46403",54,"Kishanganj","GEN",171327,"ABID ALAM","Garib Janta Dal (Secular)",679,17,0.00396318151838298
"46433",56,"Amour","GEN",169250,"MOHSIN","Garib Janta Dal (Secular)",640,14,0.00378138847858198
"46445",57,"Baisi","GEN",161320,"PARABHAT RANJAN KUMAR JYOTI","Garib Janta Dal (Secular)",955,12,0.0059199107364245
"46475",59,"Banmankhi","SC",164850,"SHASHI KALA DEVI","Garib Janta Dal (Secular)",1677,13,0.0101728844404004
"46610",65,"Balrampur","GEN",197216,"MD SHAKIL","Garib Janta Dal (Secular)",1265,14,0.006414286873276
"46625",66,"Pranpur","GEN",179444,"MD MERAJ","Garib Janta Dal (Secular)",1598,11,0.0089052852143287
"46671",68,"Barari","GEN",164998,"PRADIP K. YADAV","Garib Janta Dal (Secular)",606,14,0.00367277179117323
"46701",70,"Alamnagar","GEN",192299,"MUKHTAR","Garib Janta Dal (Secular)",1581,14,0.008221571615037
"46732",72,"Singheshwar","SC",167982,"UPENDRA RAM","Garib Janta Dal (Secular)",1784,13,0.0106201854960651
"46746",73,"Madhepura","GEN",183722,"DINESH YADAV URF PHOGI","Garib Janta Dal (Secular)",1438,14,0.00782704303240766
"46770",75,"Saharsa","GEN",193947,"RAM SHANKAR KUMAR","Garib Janta Dal (Secular)",891,10,0.00459403857754954
"46815",78,"Kusheshwar Asthan","SC",116236,"RAJESH PASWAN","Garib Janta Dal (Secular)",2105,10,0.0181097078357824
"46827",79,"Gaura Bauram","GEN",120370,"TAMANNA KHAN","Garib Janta Dal (Secular)",1051,10,0.0087314114812661
"46845",80,"Benipur","GEN",148283,"BAIDYANATH YADAV","Garib Janta Dal (Secular)",778,14,0.00524672416932487
"46943",87,"Jale","GEN",148843,"ANIRUDH SAHU","Garib Janta Dal (Secular)",924,11,0.00620788347453357
"46958",88,"Gaighat","GEN",164965,"AMRITA SINGH","Garib Janta Dal (Secular)",1418,12,0.00859576273755039
"47032",92,"Sakra","SC",156519,"PREM KUMAR","Garib Janta Dal (Secular)",336,15,0.00214670423399076
"47063",93,"Kurhani","GEN",173007,"JAMIL AHMAD","Garib Janta Dal (Secular)",411,31,0.00237562641974024
"47078",94,"Muzaffarpur","GEN",173389,"RAMESH KUMAR DIPU","Garib Janta Dal (Secular)",288,15,0.00166100502338672
"47097",95,"Kanti","GEN",179468,"ABHAY SHANKAR THAKUR","Garib Janta Dal (Secular)",1238,13,0.00689816568970513
"47116",96,"Baruraj","GEN",155924,"RAM EKWAL RAY","Garib Janta Dal (Secular)",799,10,0.005124291321413
"47147",98,"Sahebganj","GEN",161699,"NAWAL KISHORE SINGH","Garib Janta Dal (Secular)",590,14,0.00364875478512545
"47162",99,"Baikunthpur","GEN",159956,"MOHAN MAHTO","Garib Janta Dal (Secular)",647,13,0.00404486233714271
"47166",100,"Barauli","GEN",152510,"ANIRUDH PRASAD URF SADHU YADAV","Garib Janta Dal (Secular)",3914,3,0.0256638908924005
"47193",101,"Gopalganj","GEN",172533,"MAHAHAMD AMIRULLAH ANSARI","Garib Janta Dal (Secular)",513,12,0.00297334422979952
"47205",102,"Kuchaikote","GEN",166892,"ARJUN PRASAD KUSHWAHA","Garib Janta Dal (Secular)",1550,8,0.0092874433765549
"47219",103,"Bhorey","SC",167777,"DIGVIJAY KUMAR","Garib Janta Dal (Secular)",913,11,0.00544174708094673
"47232",104,"Hathua","GEN",158595,"RAMAJI SAH","Garib Janta Dal (Secular)",2138,11,0.0134808789684416
"47250",105,"Siwan","GEN",157489,"BINOD  SINGH KUSWAHA","Garib Janta Dal (Secular)",559,13,0.00354945424759824
"47291",108,"Raghunathpur","GEN",145413,"AON ALI","Garib Janta Dal (Secular)",453,13,0.00311526479750779
"47301",109,"Daraundha","GEN",151722,"ASHWATTHAMA YADAV","Garib Janta Dal (Secular)",1117,10,0.00736214919392046
"47340",111,"Goriakothi","GEN",166010,"FAZALE ALI","Garib Janta Dal (Secular)",469,18,0.00282513101620384
"47357",112,"Maharajganj","GEN",150439,"MD.KALAM","Garib Janta Dal (Secular)",625,17,0.00415450780715107
"47384",114,"Manjhi","GEN",143720,"DHRUV DEV GUPTA","Garib Janta Dal (Secular)",1349,15,0.00938630670748678
"47391",115,"Baniapur","GEN",152266,"NARAYAN PD. YADAW","Garib Janta Dal (Secular)",1304,6,0.00856396043765516
"47449",119,"Garkha","SC",157714,"LAKSHMI NARAYAN MANJHI","Garib Janta Dal (Secular)",442,12,0.00280254130895165
"47464",120,"Amnour","GEN",131095,"DHANNA DEVI","Garib Janta Dal (Secular)",506,15,0.00385979633090507
"47545",125,"Vaishali","GEN",166498,"PAPPU KUMAR SAHU","Garib Janta Dal (Secular)",899,17,0.00539946425782892
"47653",130,"Patepur","SC",146608,"REENA KUMARI","Garib Janta Dal (Secular)",582,15,0.00396976972607225
"47687",132,"Warisnagar","GEN",169594,"DIGAMBER KUMAR RAY","Garib Janta Dal (Secular)",1334,12,0.00786584431052985
