"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45913",22,"Sheohar","GEN",150049,"LABHALI ANAND","Hindustani Awam Morcha (Secular)",44115,2,0.294003958706822
"45974",26,"Sursand","GEN",156718,"SHAHID ALI KHAN","Hindustani Awam Morcha (Secular)",13954,4,0.0890389106548067
"46334",50,"Jokihat","GEN",158505,"BIBI ZEBA KHATUN","Hindustani Awam Morcha (Secular)",4206,5,0.026535440522381
"46721",72,"Singheshwar","SC",167982,"MANJU DEVI","Hindustani Awam Morcha (Secular)",32873,2,0.195693586217571
"46860",82,"Darbhanga Rural","GEN",137328,"NAUSHAD AHMAD","Hindustani Awam Morcha (Secular)",36066,2,0.262626703949668
"47086",95,"Kanti","GEN",179468,"AJIT KUMAR","Hindustani Awam Morcha (Secular)",48836,2,0.272115363184523
"47223",104,"Hathua","GEN",158595,"MAHACHANDRA PD. SINGH","Hindustani Awam Morcha (Secular)",34933,2,0.220265456035814
"47530",125,"Vaishali","GEN",166498,"BRISHIN PATEL","Hindustani Awam Morcha (Secular)",48225,2,0.289643118836262
"47547",126,"Mahua","GEN",154435,"RAVINDRA RAY","Hindustani Awam Morcha (Secular)",38772,2,0.251057079030013
"47893",149,"Khagaria","GEN",139501,"RAJESH KUMAR URF ROHIT KUMAR","Hindustani Awam Morcha (Secular)",39202,2,0.281015906696009
"48087",164,"Tarapur","GEN",152249,"SAKUNI CHOUDHARY","Hindustani Awam Morcha (Secular)",54464,2,0.357729771624116
"48157",169,"Sheikhpura","GEN",127060,"NARESH SAW","Hindustani Awam Morcha (Secular)",28654,2,0.225515504486070
"48493",188,"Phulwari","SC",189057,"RAJESHWAR MANJHI","Hindustani Awam Morcha (Secular)",48381,2,0.255906948698012
"48513",189,"Masaurhi","SC",185788,"NUTAN PASWAN","Hindustani Awam Morcha (Secular)",50471,2,0.271659095312937
"48965",217,"Ghosi","GEN",141330,"RAHUL KUMAR","Hindustani Awam Morcha (Secular)",45623,2,0.322811858770254
"48974",218,"Makhadumapur","SC",130243,"JITAN RAM MANJHI","Hindustani Awam Morcha (Secular)",39854,2,0.305997251291816
"49046",222,"Kutumba","SC",120039,"SANTOSH KUMAR SUMAN","Hindustani Awam Morcha (Secular)",41205,2,0.343263439382201
"49109",226,"Sherghati","GEN",148071,"MUKESH KUMAR YADAV","Hindustani Awam Morcha (Secular)",39745,2,0.26841852894895
"49121",227,"Imamganj","SC",150175,"JITAN RAM MANJHI","Hindustani Awam Morcha (Secular)",79389,1,0.528643249542201
"49175",231,"Tikari","GEN",168816,"ANIL KUMAR","Hindustani Awam Morcha (Secular)",55162,2,0.326758127191735
"49188",232,"Belaganj","GEN",143933,"SHARIM ALI","Hindustani Awam Morcha (Secular)",40726,2,0.282951095301286
