"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45644",1,"Valmiki Nagar","GEN",184834,"DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH","Independent",66860,1,0.361729984743067
"45649",1,"Valmiki Nagar","GEN",184834,"DIP NARAYAN MAHATO","Independent",8355,6,0.0452027224428406
"45651",1,"Valmiki Nagar","GEN",184834,"SHYAM NARAYAN PRASAD","Independent",3196,8,0.0172911910146402
"45652",1,"Valmiki Nagar","GEN",184834,"VIRENDRA YADAV","Independent",2477,9,0.0134012140623478
"45653",1,"Valmiki Nagar","GEN",184834,"SURENDRA SINGH","Independent",2037,10,0.0110206996548254
"45663",2,"Ramnagar","SC",170997,"MANJAY LAL SATYAM","Independent",2769,6,0.0161932665485359
"45665",2,"Ramnagar","SC",170997,"SHANKAR MUSAHAR","Independent",1363,8,0.0079709000742703
"45666",2,"Ramnagar","SC",170997,"VISHAL KUMAR PASHWAN","Independent",1279,9,0.00747966338590735
"45670",3,"Narkatiaganj","GEN",153571,"RASHMI VERMA","Independent",39200,3,0.255256526297283
"45671",3,"Narkatiaganj","GEN",153571,"RAMBHAJU MAHATO","Independent",2262,4,0.0147293434307259
"45673",3,"Narkatiaganj","GEN",153571,"SHAILESH MISHRA","Independent",1666,6,0.0108484023676345
"45676",3,"Narkatiaganj","GEN",153571,"BHOT CHATURVEDI","Independent",1076,9,0.00700653118101725
"45677",3,"Narkatiaganj","GEN",153571,"RAMESH PASWAN","Independent",1072,10,0.0069804845967012
"45682",3,"Narkatiaganj","GEN",153571,"VINAY SAH","Independent",725,15,0.00472094340728393
"45689",4,"Bagaha","GEN",167561,"SAKET KUMAR PATHAK","Independent",2507,5,0.0149617154349759
"45690",4,"Bagaha","GEN",167561,"SHESH NATH CHAUDHARY","Independent",2463,6,0.0146991244979440
"45692",4,"Bagaha","GEN",167561,"PASHUPATINATH GUPTA","Independent",1874,8,0.0111839867272217
"45693",4,"Bagaha","GEN",167561,"BINOD YADAV","Independent",1493,9,0.00891018793155925
"45695",4,"Bagaha","GEN",167561,"BHOLE NATH YADAV","Independent",879,11,0.0052458507647961
"45697",4,"Bagaha","GEN",167561,"ATUL KUMAR SHUKLA","Independent",743,13,0.00443420605033391
"45698",4,"Bagaha","GEN",167561,"RADHESHYAM YADAV","Independent",660,14,0.0039388640554783
"45703",5,"Lauriya","GEN",141706,"SHAMBHU TIWARI","Independent",20793,3,0.146733377556349
"45707",5,"Lauriya","GEN",141706,"SANTOSH KUMAR RAI","Independent",2280,7,0.0160896504029469
"45708",5,"Lauriya","GEN",141706,"NAVIN KUMAR","Independent",1908,8,0.0134644969161503
"45715",6,"Nautan","GEN",150379,"RAJ KUMAR PRASAD","Independent",4287,3,0.0285079698628133
"45717",6,"Nautan","GEN",150379,"SANTOSH CHAUDHARY","Independent",3995,5,0.0265662093776392
"45719",6,"Nautan","GEN",150379,"PUNYADEV PRASAD","Independent",2949,7,0.0196104509273236
"45722",6,"Nautan","GEN",150379,"RATAN KUMAR SARKAR","Independent",1452,10,0.0096556035084686
"45726",6,"Nautan","GEN",150379,"PRIYA RANJAN","Independent",906,14,0.00602477739578
"45727",6,"Nautan","GEN",150379,"ISLAM","Independent",870,15,0.00578538226747086
"45732",7,"Chanpatia","GEN",157027,"MANISH KUMAR PRASAD","Independent",6446,4,0.0410502652410095
"45733",7,"Chanpatia","GEN",157027,"BASANT SINGH","Independent",5254,5,0.0334592140205188
