"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45667",2,"Ramnagar","SC",170997,"UDAY RAM","Jan Adhikar Party (Loktantrik)",870,10,0.00508780855804488
"45691",4,"Bagaha","GEN",167561,"MD. AKBAR KHAN","Jan Adhikar Party (Loktantrik)",2355,7,0.0140545831070476
"45751",8,"Bettiah","GEN",147563,"ARUN YADAV","Jan Adhikar Party (Loktantrik)",651,12,0.00441167501338411
"45832",15,"Kesaria","GEN",132290,"UMESH KUMAR SINGH","Jan Adhikar Party (Loktantrik)",1938,6,0.0146496333812080
"45858",17,"Pipra","GEN",172496,"PAVAN KUMAR RAY","Jan Adhikar Party (Loktantrik)",1542,13,0.0089393377237733
"45867",18,"Madhuban","GEN",138934,"BHAGWAN SAH","Jan Adhikar Party (Loktantrik)",4882,4,0.0351389868570688
"45887",19,"Motihari","GEN",168493,"NEETU SINGH KUSHWAHA","Jan Adhikar Party (Loktantrik)",890,11,0.00528211854498406
"45894",20,"Chiraia","GEN",148082,"ARUN SINGH","Jan Adhikar Party (Loktantrik)",1559,7,0.0105279507300009
"45958",25,"Parihar","GEN",163042,"SARITA YADAV","Jan Adhikar Party (Loktantrik)",8005,3,0.049097778486525
"46001",27,"Bajpatti","GEN",155282,"MANOJ KUMAR","Jan Adhikar Party (Loktantrik)",1287,12,0.00828814672660064
"46110",33,"Khajauli","GEN",164227,"RAJ KUMAR YADAV","Jan Adhikar Party (Loktantrik)",1144,13,0.00696596783720095
"46194",39,"Phulparas","GEN",158555,"GAURI SHANKAR YADAV","Jan Adhikar Party (Loktantrik)",4970,6,0.0313455898584088
"46211",40,"Laukaha","GEN",183235,"POONAM GOIT","Jan Adhikar Party (Loktantrik)",2187,10,0.0119354926733430
"46219",41,"Nirmali","GEN",167436,"VIJAY KUMAR YADAV","Jan Adhikar Party (Loktantrik)",10001,3,0.0597302850044196
"46239",42,"Pipra(Supaul)","GEN",159132,"IDRISH","Jan Adhikar Party (Loktantrik)",2588,8,0.0162632280119649
"46254",44,"Triveniganj","SC",156215,"AMLA DEVI","Jan Adhikar Party (Loktantrik)",7340,3,0.0469865249815959
"46269",45,"Chhatapur","GEN",173177,"SANJAY KUMAR MISHRA","Jan Adhikar Party (Loktantrik)",2779,8,0.0160471656166812
"46277",46,"Narpatganj","GEN",175843,"PRINCE VICTOR","Jan Adhikar Party (Loktantrik)",4377,4,0.0248915225513668
"46291",47,"Raniganj","SC",161402,"SUNIL PASWAN","Jan Adhikar Party (Loktantrik)",2342,5,0.0145103530315609
