"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45686",4,"Bagaha","GEN",167561,"BHISHM SAHANI","Janata Dal  (United)",66293,2,0.395635022469429
"45714",6,"Nautan","GEN",150379,"BAIDYANATH PRASAD MAHTO","Janata Dal  (United)",52362,2,0.348200214125643
"45730",7,"Chanpatia","GEN",157027,"N. N. SAHI","Janata Dal  (United)",60840,2,0.387449292159947
"45757",9,"Sikta","GEN",160709,"KHURSHID URF FIROJ AHMAD","Janata Dal  (United)",69870,1,0.434760965471753
"45836",16,"Kalyanpur","GEN",135523,"RAZIA KHATOON","Janata Dal  (United)",38572,2,0.28461589545686
"45847",17,"Pipra","GEN",172496,"KRISHAN CHANDRA","Janata Dal  (United)",61622,2,0.357237269270012
"45865",18,"Madhuban","GEN",138934,"SHIVAJEE RAI","Janata Dal  (United)",44832,2,0.322685591719809
"45912",22,"Sheohar","GEN",150049,"SHARFUDDIN","Janata Dal  (United)",44576,1,0.297076288412452
"45990",27,"Bajpatti","GEN",155282,"DR. RANJU GEETA","Janata Dal  (United)",67194,1,0.432722401823779
"46044",30,"Belsand","GEN",122466,"SUNITA SINGH CHAUHAN","Janata Dal  (United)",33785,1,0.275872487057632
"46114",34,"Babubarhi","GEN",163234,"KAPIL DEO KAMAT","Janata Dal  (United)",61486,1,0.376673977235135
"46189",39,"Phulparas","GEN",158555,"GULJAR DEVI","Janata Dal  (United)",64368,1,0.405966383904639
"46202",40,"Laukaha","GEN",183235,"LAKSHMESHWAR ROY","Janata Dal  (United)",79971,1,0.436439544846781
"46217",41,"Nirmali","GEN",167436,"ANIRUDH PRASAD YADAV","Janata Dal  (United)",79600,1,0.475405528082372
"46242",43,"Supaul","GEN",150466,"BIJENDRA PRASAD YADAV","Janata Dal  (United)",82295,1,0.546934191112943
"46252",44,"Triveniganj","SC",156215,"VEENA BHARTI","Janata Dal  (United)",89869,1,0.575290465064174
"46287",47,"Raniganj","SC",161402,"ACHMIT RISHIDEV","Janata Dal  (United)",77717,1,0.481512001090445
"46330",50,"Jokihat","GEN",158505,"SARFRAZ ALAM","Janata Dal  (United)",92890,1,0.586038295321914
"46345",51,"Sikti","GEN",165656,"SHATRUGHAN PRASAD SUMAN","Janata Dal  (United)",68889,2,0.415855749263534
"46375",53,"Thakurganj","GEN",180049,"NAUSHAD ALAM (TATPAUWA)","Janata Dal  (United)",74239,1,0.412326644413465
"46407",55,"Kochadhaman","GEN",141890,"MUJAHID ALAM","Janata Dal  (United)",55929,1,0.394171541334837
"46482",60,"Rupauli","GEN",181130,"BIMA BHARTI","Janata Dal  (United)",50945,1,0.281262076961299
"46503",61,"Dhamdaha","GEN",188439,"LESHI SINGH","Janata Dal  (United)",75400,1,0.400129484873089
"46556",63,"Katihar","GEN",153667,"BIJAY SINGH","Janata Dal  (United)",51154,2,0.332888648831564
"46599",65,"Balrampur","GEN",197216,"DULAL CHANDRA GOSWAMI","Janata Dal  (United)",40114,3,0.203401346746714
"46688",70,"Alamnagar","GEN",192299,"NARENDRA NARAYAN YADAV","Janata Dal  (United)",87962,1,0.457423075523014
"46704",71,"Bihariganj","GEN",173137,"NIRANJAN KUMAR MEHTA","Janata Dal  (United)",78361,1,0.452595343571853
