"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45683",3,"Narkatiaganj","GEN",153571,"MERAJ AHMAD","Janta Dal Rashtravadi",432,16,0.00281303110613332
"45753",8,"Bettiah","GEN",147563,"RIZWANULLAH","Janta Dal Rashtravadi",430,14,0.00291400960945494
"45765",9,"Sikta","GEN",160709,"AASMA KHATOON","Janta Dal Rashtravadi",822,9,0.00511483488790298
"45955",24,"Bathnaha","SC",152233,"KAPIL DEO PASWAN","Janta Dal Rashtravadi",672,13,0.00441428599580906
"45967",25,"Parihar","GEN",163042,"MD. MAJIBUL RAHMAN","Janta Dal Rashtravadi",1099,12,0.00674059444805633
"46142",35,"Bisfi","GEN",159971,"PARWEZ HASSAN","Janta Dal Rashtravadi",610,15,0.00381319114089429
"46297",47,"Raniganj","SC",161402,"FUDAN PASWAN","Janta Dal Rashtravadi",744,11,0.00460960830720809
"46327",49,"Araria","GEN",175608,"PRAMOD BACHCHAN","Janta Dal Rashtravadi",439,14,0.00249988610997221
"46343",50,"Jokihat","GEN",158505,"MOHAMMAD JABIR","Janta Dal Rashtravadi",765,14,0.00482634617204505
"46349",51,"Sikti","GEN",165656,"HATIM","Janta Dal Rashtravadi",2171,6,0.0131054715796591
"46372",52,"Bahadurganj","GEN",159520,"MD. NASIM AKHTAR","Janta Dal Rashtravadi",610,17,0.00382397191574724
"46383",53,"Thakurganj","GEN",180049,"MD ISAMAIL","Janta Dal Rashtravadi",1161,9,0.00644824464451344
"46411",55,"Kochadhaman","GEN",141890,"WASI ASGAR","Janta Dal Rashtravadi",2089,5,0.0147226724927761
"46521",61,"Dhamdaha","GEN",188439,"MD AFTAB ALAM","Janta Dal Rashtravadi",1230,19,0.00652731122538328
"46572",63,"Katihar","GEN",153667,"ASHISH KUMAR'' BALIDANI''","Janta Dal Rashtravadi",597,18,0.00388502411057677
"46605",65,"Balrampur","GEN",197216,"MD MUSHTAQUE ALAM","Janta Dal Rashtravadi",2897,9,0.0146894775271783
"46631",66,"Pranpur","GEN",179444,"KALI CHARAN DAS","Janta Dal Rashtravadi",1166,17,0.0064978489110809
"46666",68,"Barari","GEN",164998,"SUBHASH SINGH","Janta Dal Rashtravadi",1419,9,0.0086001042436878
"46686",69,"Korha","SC",172222,"MANOJ KUMAR","Janta Dal Rashtravadi",541,13,0.00314129437586371
"46702",70,"Alamnagar","GEN",192299,"SANDEEP KUMAR","Janta Dal Rashtravadi",924,15,0.00480501718677684
"46727",72,"Singheshwar","SC",167982,"LALAN PASWAN","Janta Dal Rashtravadi",3220,8,0.0191687204581443
"46743",73,"Madhepura","GEN",183722,"VIJENDRA YADAV","Janta Dal Rashtravadi",2177,11,0.0118494246742361
"46942",87,"Jale","GEN",148843,"MD. SARFARAZ ANSARI","Janta Dal Rashtravadi",1271,10,0.00853919902178806
"46950",88,"Gaighat","GEN",164965,"VISHAL KUMAR","Janta Dal Rashtravadi",2822,4,0.0171066589882702
"47181",100,"Barauli","GEN",152510,"NAFIS HAIDAR","Janta Dal Rashtravadi",515,18,0.00337682774900007
"47227",104,"Hathua","GEN",158595,"SAVIV ALAM","Janta Dal Rashtravadi",3903,6,0.0246098552917810
"47343",112,"Maharajganj","GEN",150439,"SATYENDRA KUMAR GANDHI","Janta Dal Rashtravadi",5743,3,0.0381749413383498
"47550",126,"Mahua","GEN",154435,"RIZWANUL AZAM","Janta Dal Rashtravadi",3189,5,0.0206494641758669
"47596",128,"Raghopur","GEN",185628,"RIZWANUL AZAM","Janta Dal Rashtravadi",4800,4,0.0258581679488008
"47650",130,"Patepur","SC",146608,"SANJEEV KUMAR SANJAY","Janta Dal Rashtravadi",1005,12,0.00685501473316599
"47702",133,"Samastipur","GEN",151218,"MD. IQBAL FIROZ","Janta Dal Rashtravadi",554,11,0.00366358502294700
"47738",135,"Morwa","GEN",138520,"MD. ZIAUR RAHMAN","Janta Dal Rashtravadi",1009,15,0.00728414669361825
"47773",137,"Mohiuddinnagar","GEN",124591,"BHUSHAN PRASAD RAY","Janta Dal Rashtravadi",565,18,0.00453483798990296
"48576",192,"Sandesh","GEN",149245,"MOBARAK HUSSAIN","Janta Dal Rashtravadi",588,11,0.00393983048008308
"48722",201,"Dumraon","GEN",169254,"VINIT KUMAR MISHRA","Janta Dal Rashtravadi",414,15,0.00244602786344784
"48944",215,"Kurtha","GEN",115570,"SHAFIKUR RAMAN","Janta Dal Rashtravadi",794,17,0.00687029505927144
"49305",241,"Jamui","GEN",157621,"BHOLA SAW","Janta Dal Rashtravadi",667,14,0.00423166963792896
"49320",242,"Jhajha","GEN",163687,"MD. ZIAUL HAQUE ANSARI","Janta Dal Rashtravadi",921,12,0.00562659221563105
