"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45700",4,"Bagaha","GEN",167561,"AMAR CHAUDHARY","Jharkhand Mukti Morcha",482,16,0.00287656435566749
"45725",6,"Nautan","GEN",150379,"RADHAKRISHNA PRASAD","Jharkhand Mukti Morcha",925,13,0.00615112482460982
"45876",18,"Madhuban","GEN",138934,"CHANDIRKA RAY","Jharkhand Mukti Morcha",455,13,0.00327493630068954
"46002",27,"Bajpatti","GEN",155282,"AWADHESH KUMAR","Jharkhand Mukti Morcha",1216,13,0.00783091407890161
"46227",41,"Nirmali","GEN",167436,"ARUN KUMAR YADAV","Jharkhand Mukti Morcha",1330,11,0.00794333357223058
"46281",46,"Narpatganj","GEN",175843,"BINOD URANW","Jharkhand Mukti Morcha",1285,8,0.00730765512417327
"46300",47,"Raniganj","SC",161402,"DAYANAND PASWAN","Jharkhand Mukti Morcha",588,14,0.00364307753311607
"46361",52,"Bahadurganj","GEN",159520,"HASAN JAVED","Jharkhand Mukti Morcha",2435,6,0.0152645436308927
"46378",53,"Thakurganj","GEN",180049,"AHMAD HUSSAIN","Jharkhand Mukti Morcha",11176,4,0.0620719915134213
"46391",54,"Kishanganj","GEN",171327,"TRILOK CHANDRA JAIN","Jharkhand Mukti Morcha",4915,5,0.0286878308731257
"46413",55,"Kochadhaman","GEN",141890,"SURENDRA  KUMAR DAS","Jharkhand Mukti Morcha",1267,7,0.00892945239269857
"46467",59,"Banmankhi","SC",164850,"UMESH PASWAN","Jharkhand Mukti Morcha",5672,5,0.0344070367000303
"46511",61,"Dhamdaha","GEN",188439,"TAHAMMUL MANSURI","Jharkhand Mukti Morcha",3650,9,0.0193696633923975
"46539",62,"Purnia","GEN",186786,"MASIUR RAHMAN","Jharkhand Mukti Morcha",1388,11,0.00743096377672845
"46596",64,"Kadwa","GEN",158361,"MADAN LAL RAY","Jharkhand Mukti Morcha",395,19,0.00249430099582599
"46651",67,"Manihari","ST",159465,"FULMANI HEMBRAM","Jharkhand Mukti Morcha",1779,13,0.0111560530523939
"46691",70,"Alamnagar","GEN",192299,"NIRMAL PASWAN","Jharkhand Mukti Morcha",7375,4,0.0383517334983541
"46715",71,"Bihariganj","GEN",173137,"MITHILESH KUMAR MEHTA","Jharkhand Mukti Morcha",1292,12,0.00746229864211578
"46782",76,"Simri Bakhtiarpur","GEN",165233,"DINESH KUMAR CHOUDHARY","Jharkhand Mukti Morcha",3717,7,0.0224955063455847
"47267",106,"Ziradei","GEN",135904,"DAROGA SINGH","Jharkhand Mukti Morcha",448,15,0.00329644454909348
"47303",109,"Daraundha","GEN",151722,"SHAILENDR KUMAR TIWARI","Jharkhand Mukti Morcha",575,12,0.00378982612936819
"47672",131,"Kalyanpur(SC)","SC",168470,"VISHUNI PASWAN","Jharkhand Mukti Morcha",1014,12,0.00601887576423102
"47685",132,"Warisnagar","GEN",169594,"SHIV SHANKAR MAHTO","Jharkhand Mukti Morcha",1546,10,0.00911588853379247
"47746",136,"Sarairanjan","GEN",152273,"LALAN KUMAR ISHWAR","Jharkhand Mukti Morcha",3565,4,0.0234118983667492
"48066",162,"Katoria","ST",132421,"ANJALA HANSDA","Jharkhand Mukti Morcha",17481,3,0.13201078378807
"48076",163,"Belhar","GEN",157781,"RAJ KISHOR PRASAD URF PAPPU YADAV","Jharkhand Mukti Morcha",10408,3,0.0659648500136265
"48089",164,"Tarapur","GEN",152249,"SANJAY KUMAR","Jharkhand Mukti Morcha",5017,4,0.0329525973898022
"48217",173,"Rajgir","SC",148513,"SUNIL RAVIDAS","Jharkhand Mukti Morcha",3099,6,0.0208668601401897
"48283",176,"Nalanda","GEN",162117,"DEO KUMAR","Jharkhand Mukti Morcha",376,14,0.00231931259522444
"48739",202,"Rajpur","SC",175536,"MANOJ KUMAR","Jharkhand Mukti Morcha",424,15,0.00241545893719807
"49113",226,"Sherghati","GEN",148071,"AKHILESH KUMAR","Jharkhand Mukti Morcha",4113,6,0.0277772149847033
"49330",243,"Chakai","GEN",150335,"NEPALI SINGH","Jharkhand Mukti Morcha",4532,7,0.0301460072504739
