"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45818",14,"Govindganj","GEN",136927,"RAJU TIWARI","Lok Jan Shakti Party",74685,1,0.545436619512587
"46045",30,"Belsand","GEN",122466,"MD. NASIR AHAMAD","Lok Jan Shakti Party",28210,2,0.230349648065586
"46115",34,"Babubarhi","GEN",163234,"BINOD KUMAR SINGH","Lok Jan Shakti Party",41219,2,0.252514794711886
"46253",44,"Triveniganj","SC",156215,"ANANT KUMAR BHARTI","Lok Jan Shakti Party",37469,2,0.239855327593381
"46315",49,"Araria","GEN",175608,"AJAY KUMAR JHA","Lok Jan Shakti Party",52623,2,0.299661746617466
"46376",53,"Thakurganj","GEN",180049,"GOPAL KUMAR AGRAWAL","Lok Jan Shakti Party",66152,2,0.367411093646730
"46640",67,"Manihari","ST",159465,"ANIL KUMAR ORAON","Lok Jan Shakti Party",48024,2,0.301156993697677
"46689",70,"Alamnagar","GEN",192299,"CHANDAN SINGH","Lok Jan Shakti Party",44086,2,0.229257562441822
"46753",74,"Sonbarsha","SC",148837,"SARITA DEVI","Lok Jan Shakti Party",35026,2,0.235331268434596
"46777",76,"Simri Bakhtiarpur","GEN",165233,"YUSUF SALAHUDDIN","Lok Jan Shakti Party",40708,2,0.24636725109391
"46807",78,"Kusheshwar Asthan","SC",116236,"DHANANJAY KUMAR ALIAS MRINAL PASWAN","Lok Jan Shakti Party",30212,2,0.259919474173234
"46819",79,"Gaura Bauram","GEN",120370,"VINOD SAHNI","Lok Jan Shakti Party",37341,2,0.310218492979978
"46889",84,"Hayaghat","GEN",123180,"RAMESH CHOUDHARY","Lok Jan Shakti Party",32446,2,0.263403149861991
"47005",91,"Bochaha","SC",166492,"ANIL KUMAR","Lok Jan Shakti Party",7383,4,0.0443444730077121
"47199",102,"Kuchaikote","GEN",166892,"KALI PRASAD PANDEY","Lok Jan Shakti Party",68662,2,0.411415765884524
"47308",110,"Barharia","GEN",155404,"BACHHA PANDAY","Lok Jan Shakti Party",50585,2,0.325506421971120
"47371",114,"Manjhi","GEN",143720,"KESHAV SINGH","Lok Jan Shakti Party",20692,2,0.143974394656276
"47466",121,"Parsa","GEN",138093,"CHHOTELAL RAI","Lok Jan Shakti Party",34876,2,0.252554437951236
"47511",124,"Lalganj","GEN",176082,"RAJ KUMAR SAH","Lok Jan Shakti Party",80842,1,0.459115639304415
"47576",127,"Raja Pakar","SC",134779,"RAM NATH RAMAN","Lok Jan Shakti Party",46096,2,0.342011737733623
"47662",131,"Kalyanpur(SC)","SC",168470,"PRINCE RAJ","Lok Jan Shakti Party",47218,2,0.280275419956075
"47677",132,"Warisnagar","GEN",169594,"CHANDRASHEKHAR RAI","Lok Jan Shakti Party",34114,2,0.201150984115004
"47777",138,"Bibhutipur","GEN",145578,"RAMESH KUMAR ROY","Lok Jan Shakti Party",32261,3,0.221606286664194
"47808",141,"Cheria Bariarpur","GEN",138565,"ANIL KUMAR CHAUDHARY","Lok Jan Shakti Party",40059,2,0.289098978818605
"47819",142,"Bachhwara","GEN",161440,"ARVIND KUMAR SINGH","Lok Jan Shakti Party",37052,2,0.229509415262636
"47848",145,"Sahebpur Kamal","GEN",136947,"M.D. ASLAM","Lok Jan Shakti Party",32751,2,0.239150912396767
"47883",148,"Alauli","SC",136755,"PASHUPATI KUMAR PARAS","Lok Jan Shakti Party",46049,2,0.336726262293883
"47907",150,"Beldaur","GEN",167215,"MITHILESH KUMAR NISHAD","Lok Jan Shakti Party",49691,2,0.297168316239572
"47976",155,"Kahalgaon","GEN",177136,"NIRAJ KUMAR MANDAL","Lok Jan Shakti Party",43752,2,0.246996657935146
"48015",158,"Nathnagar","GEN",169762,"AMAR NATH PRASAD ALIES AMAR SINGH KUSHWAHA","Lok Jan Shakti Party",58660,2,0.345542583145816
"48116",166,"Jamalpur","GEN",147258,"HIMANSHU KUNVAR","Lok Jan Shakti Party",51797,2,0.351743199011259
"48186",171,"Asthawan","GEN",132999,"CHHOTE LAL YADAV","Lok Jan Shakti Party",48464,2,0.364393717245994
"48254",175,"Hilsa","GEN",149493,"DEEPIKA KUMARI","Lok Jan Shakti Party",46271,2,0.309519509274682
"48285",177,"Harnaut","GEN",156695,"ARUN KUMAR","Lok Jan Shakti Party",57638,2,0.367835604199241
"48302",178,"Mokama","GEN",144587,"KANHAIYA KUMAR SINGH","Lok Jan Shakti Party",15472,4,0.107008237255078
"48451",185,"Fatuha","GEN",152865,"SATYENDRA KUMAR SINGH","Lok Jan Shakti Party",46808,2,0.306204821247506
"48612",196,"Tarari","GEN",153002,"GITA PANDEY","Lok Jan Shakti Party",43778,2,0.286126978732304
"49079",224,"Rafiganj","GEN",159371,"PRAMOD KUMAR SINGH","Lok Jan Shakti Party",53372,2,0.334891542375966
"49130",228,"Barachatti","SC",156134,"SUDHA DEVI","Lok Jan Shakti Party",51783,2,0.331657422470442
"49201",233,"Atri","GEN",155757,"ARVIND KUMAR SINGH","Lok Jan Shakti Party",46870,2,0.300917454753237
"49284",240,"Sikandra","SC",138531,"SUBHASH CHANDRA BOSH","Lok Jan Shakti Party",51102,2,0.368884942720402
"49326",243,"Chakai","GEN",150335,"VIJAY KUMAR SINGH","Lok Jan Shakti Party",28535,3,0.189809425616124
