"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45756",8,"Bettiah","GEN",147563,"KEDAR PRASAD","National Janta Party (Indian)",215,17,0.00145700480472747
"45953",24,"Bathnaha","SC",152233,"UMESH RAM","National Janta Party (Indian)",783,11,0.00514343145047394
"46012",27,"Bajpatti","GEN",155282,"RANJU KUMARI PATHAK","National Janta Party (Indian)",354,23,0.00227972334204866
"46041",29,"Runnisaidpur","GEN",137464,"CHAUDHARY KHUSHWANT SINGH","National Janta Party (Indian)",790,13,0.00574695920386428
"46061",30,"Belsand","GEN",122466,"DILIP KUMAR MISHRA","National Janta Party (Indian)",944,18,0.00770826188493133
"46143",35,"Bisfi","GEN",159971,"ASHOK KUMAR ROY","National Janta Party (Indian)",442,16,0.00276300079389389
"46326",49,"Araria","GEN",175608,"PANKAJ KUMAR GUPTA","National Janta Party (Indian)",541,13,0.00308072525169696
"46775",75,"Saharsa","GEN",193947,"DHIRENDRA KUMAR","National Janta Party (Indian)",563,15,0.00290285490365925
"46805",77,"Mahishi","GEN",145580,"VIJAY KUMAR GUPTA","National Janta Party (Indian)",705,15,0.00484269817282594
"46880",83,"Darbhanga","GEN",163187,"MD. IRSHAD HUSSAIN","National Janta Party (Indian)",734,9,0.00449790730879298
"46902",84,"Hayaghat","GEN",123180,"RAMSAKHA PASWAN","National Janta Party (Indian)",424,15,0.00344211722682254
"46917",85,"Bahadurpur","GEN",155714,"AMBIKA KUMARI","National Janta Party (Indian)",511,15,0.00328165739753651
"46930",86,"Keoti","GEN",145527,"DINESH KUMAR DAS","National Janta Party (Indian)",529,12,0.00363506428360373
"46946",87,"Jale","GEN",148843,"RAM LAKHAN MAHTO","National Janta Party (Indian)",709,14,0.00476340842364102
"47048",93,"Kurhani","GEN",173007,"SAKAL BALMUA","National Janta Party (Indian)",1186,16,0.0068552139508806
"47079",94,"Muzaffarpur","GEN",173389,"AMAN KUMAR","National Janta Party (Indian)",269,16,0.00155142483087162
"47101",95,"Kanti","GEN",179468,"CHANDAN KUMAR SUMAN","National Janta Party (Indian)",842,17,0.00469164419283661
"47288",108,"Raghunathpur","GEN",145413,"ARIF JAMAL","National Janta Party (Indian)",820,10,0.0056391106709854
"47478",121,"Parsa","GEN",138093,"RAMAISHWAR PRASAD RAI","National Janta Party (Indian)",392,14,0.00283866669563265
"47543",125,"Vaishali","GEN",166498,"MANOHAR RAY","National Janta Party (Indian)",1200,15,0.00720729378130668
"47565",126,"Mahua","GEN",154435,"NILOFAR MALIKA","National Janta Party (Indian)",706,20,0.0045715025738984
"47605",128,"Raghopur","GEN",185628,"RAM SAWROOP RAY","National Janta Party (Indian)",843,13,0.00454134074600815
"47637",129,"Mahnar","GEN",148186,"AMEEYA KUMAR SINGH","National Janta Party (Indian)",356,24,0.00240238619032837
"47671",131,"Kalyanpur(SC)","SC",168470,"SANTOSH KUMAR PASWAN","National Janta Party (Indian)",1554,11,0.00922419421855523
"47707",133,"Samastipur","GEN",151218,"VICKY KUMAR","National Janta Party (Indian)",272,16,0.00179872766469600
"47770",137,"Mohiuddinnagar","GEN",124591,"RAM NIWAS RAY","National Janta Party (Indian)",789,15,0.00633272066200608
"47793",139,"Rosera","SC",162578,"VIJAY LAXMY DEVI","National Janta Party (Indian)",769,10,0.00473003727441597
"48267",175,"Hilsa","GEN",149493,"SOHAWAN PASWAN","National Janta Party (Indian)",524,15,0.00350518084458804
"48360",181,"Digha","GEN",182656,"MAHENDRA PRASAD","National Janta Party (Indian)",569,17,0.00311514540995095
"48590",193,"Barhara","GEN",146612,"ASHOK KUMAR SINGH","National Janta Party (Indian)",605,13,0.00412653807328186
"48790",205,"Bhabua","GEN",146759,"MANOJ KUMAR GUPTA","National Janta Party (Indian)",264,21,0.00179886753112245
"48915",213,"Karakat","GEN",153150,"SURENDRA PANDEY","National Janta Party (Indian)",487,13,0.00317988899771466
"48969",217,"Ghosi","GEN",141330,"VIMAL KUMAR","National Janta Party (Indian)",2358,6,0.0166843557631076
"49197",232,"Belaganj","GEN",143933,"RAVINDRA PRASAD VERMA","National Janta Party (Indian)",2009,11,0.0139578831817582
"49215",233,"Atri","GEN",155757,"VISHWAJIT KUMAR NAVIN","National Janta Party (Indian)",771,16,0.00495001829773301
