"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45650",1,"Valmiki Nagar","GEN",184834,"None of the Above","None of the Above",6767,7,0.0366112295356915
"45661",2,"Ramnagar","SC",170997,"None of the Above","None of the Above",3195,4,0.0186845383252338
"45681",3,"Narkatiaganj","GEN",153571,"None of the Above","None of the Above",740,14,0.00481861809846911
"45688",4,"Bagaha","GEN",167561,"None of the Above","None of the Above",2753,4,0.0164298374920178
"45706",5,"Lauriya","GEN",141706,"None of the Above","None of the Above",2459,6,0.0173528290968625
"45720",6,"Nautan","GEN",150379,"None of the Above","None of the Above",2438,8,0.0162123700782689
"45734",7,"Chanpatia","GEN",157027,"None of the Above","None of the Above",4506,6,0.0286957020130296
"45743",8,"Bettiah","GEN",147563,"None of the Above","None of the Above",1918,4,0.0129978382114758
"45760",9,"Sikta","GEN",160709,"None of the Above","None of the Above",5579,4,0.0347149195129084
"45773",10,"Raxaul","GEN",162582,"None of the Above","None of the Above",3310,4,0.0203589573261493
"45787",11,"Sugauli","GEN",155495,"None of the Above","None of the Above",2523,7,0.0162256021093926
"45799",12,"Narkatia","GEN",163447,"None of the Above","None of the Above",8938,4,0.0546843931060221
"45811",13,"Harsidhi","SC",150784,"None of the Above","None of the Above",3133,3,0.0207780666383701
"45820",14,"Govindganj","GEN",136927,"None of the Above","None of the Above",3441,3,0.0251301788544261
"45831",15,"Kesaria","GEN",132290,"None of the Above","None of the Above",2479,5,0.0187391337213697
"45839",16,"Kalyanpur","GEN",135523,"None of the Above","None of the Above",4260,5,0.0314337787681796
"45859",17,"Pipra","GEN",172496,"None of the Above","None of the Above",1454,14,0.00842918096651517
"45868",18,"Madhuban","GEN",138934,"None of the Above","None of the Above",4666,5,0.0335842918220162
"45882",19,"Motihari","GEN",168493,"None of the Above","None of the Above",2589,6,0.0153656234977121
"45892",20,"Chiraia","GEN",148082,"None of the Above","None of the Above",2418,5,0.0163287908050945
"45904",21,"Dhaka","GEN",186214,"None of the Above","None of the Above",2548,4,0.0136831817156605
"45916",22,"Sheohar","GEN",150049,"None of the Above","None of the Above",4383,5,0.0292104579170804
"45934",23,"Riga","GEN",161768,"None of the Above","None of the Above",1105,11,0.0068307699915929
"45945",24,"Bathnaha","SC",152233,"None of the Above","None of the Above",5028,3,0.0330283184329285
"45960",25,"Parihar","GEN",163042,"None of the Above","None of the Above",3618,5,0.0221906011947842
"45983",26,"Sursand","GEN",156718,"None of the Above","None of the Above",1944,13,0.0124044462027336
"45994",27,"Bajpatti","GEN",155282,"None of the Above","None of the Above",4138,5,0.0266482914954728
"46018",28,"Sitamarhi","GEN",164358,"None of the Above","None of the Above",1629,6,0.0099112912057825
"46032",29,"Runnisaidpur","GEN",137464,"None of the Above","None of the Above",7249,4,0.0527338066693825
"46056",30,"Belsand","GEN",122466,"None of the Above","None of the Above",1647,13,0.013448630640341
"46069",31,"Harlakhi","GEN",144866,"None of the Above","None of the Above",2810,7,0.0193972360664338
"46088",32,"Benipatti","GEN",134834,"None of the Above","None of the Above",1492,8,0.0110654582672026
"46104",33,"Khajauli","GEN",164227,"None of the Above","None of the Above",2240,7,0.0136396573036102
"46117",34,"Babubarhi","GEN",163234,"None of the Above","None of the Above",8134,4,0.0498303049609763
"46136",35,"Bisfi","GEN",159971,"None of the Above","None of the Above",1670,9,0.0104393921398253
"46147",36,"Madhubani","GEN",169692,"None of the Above","None of the Above",4282,3,0.0252339532800603
"46160",37,"Rajnagar","SC",154905,"None of the Above","None of the Above",3447,3,0.0222523482134211
"46179",38,"Jhanjharpur","GEN",157914,"None of the Above","None of the Above",1044,10,0.006611193434401
"46193",39,"Phulparas","GEN",158555,"None of the Above","None of the Above",5778,5,0.0364416133202990
"46206",40,"Laukaha","GEN",183235,"None of the Above","None of the Above",4698,5,0.0256392064834775
"46220",41,"Nirmali","GEN",167436,"None of the Above","None of the Above",6699,4,0.0400093169927614
"46235",42,"Pipra(Supaul)","GEN",159132,"None of the Above","None of the Above",3960,4,0.0248850011311364
"46246",43,"Supaul","GEN",150466,"None of the Above","None of the Above",4309,5,0.0286376988821395
"46255",44,"Triveniganj","SC",156215,"None of the Above","None of the Above",6555,4,0.0419613993534552
"46266",45,"Chhatapur","GEN",173177,"None of the Above","None of the Above",4041,5,0.0233345074692367
"46276",46,"Narpatganj","GEN",175843,"None of the Above","None of the Above",4637,3,0.0263701142496431
