"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"48249",174,"Islampur","GEN",143500,"MADAN KUMAR","Pragatisheel Magahi Samaj",428,20,0.00298257839721254
"48298",177,"Harnaut","GEN",156695,"BIJAY KUMAR","Pragatisheel Magahi Samaj",542,15,0.00345894891349437
"48563",191,"Bikram","GEN",172838,"BINDESHWAR PRASAD","Pragatisheel Magahi Samaj",428,18,0.00247630729353499
"48950",215,"Kurtha","GEN",115570,"KAUSHLENDRA KUMAR","Pragatisheel Magahi Samaj",356,23,0.00308038418274639
"49026",220,"Obra","GEN",160747,"JUDAGIR MISTRI","Pragatisheel Magahi Samaj",622,18,0.00386943457731715
"49039",221,"Nabinagar","GEN",135315,"YUGAL KISHOR SINGH","Pragatisheel Magahi Samaj",842,12,0.00622251782876991
"49092",224,"Rafiganj","GEN",159371,"PRAMOD KUMAR","Pragatisheel Magahi Samaj",832,15,0.00522052318175829
"49106",225,"Gurua","GEN",143557,"AJAY KUMAR","Pragatisheel Magahi Samaj",1783,12,0.0124201536671845
"49120",226,"Sherghati","GEN",148071,"SUKHDEO YADAV","Pragatisheel Magahi Samaj",1801,13,0.0121630839259544
"49138",228,"Barachatti","SC",156134,"PRAMOD MANZI","Pragatisheel Magahi Samaj",1346,10,0.00862080008198086
"49152",229,"Bodh Gaya","SC",165385,"RAMBALI MANJHI","Pragatisheel Magahi Samaj",1052,12,0.00636091543973154
"49171",230,"Gaya Town","GEN",129090,"VIJAY SINGH","Pragatisheel Magahi Samaj",321,15,0.00248663722983965
"49221",234,"Wazirganj","GEN",169144,"AKHILESH KUMAR","Pragatisheel Magahi Samaj",1743,6,0.0103048290214255
