"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"46577",63,"Katihar","GEN",153667,"SHIVESH KUMAR","Rashtra Sewa Dal",277,23,0.00180259912668302
"46653",67,"Manihari","ST",159465,"CHHOTE LAL CHOURAE","Rashtra Sewa Dal",1401,15,0.0087856269400809
"48371",181,"Digha","GEN",182656,"JAYSHANKARPANDEY","Rashtra Sewa Dal",244,28,0.00133584442887176
"48430",183,"Kumhrar","GEN",156067,"ASHOK KUMAR KESHRI","Rashtra Sewa Dal",149,33,0.00095471816591592
"48813",207,"Chenari","SC",151067,"CHINTA DEVI","Rashtra Sewa Dal",1240,8,0.00820827844598754
"48825",208,"Sasaram","GEN",174030,"JYOTI RASHMI","Rashtra Sewa Dal",1475,7,0.00847555019249555
"48846",209,"Kargahar","GEN",177750,"RUBY  DEVI","Rashtra Sewa Dal",1254,13,0.0070548523206751
"48883",211,"Nokha","GEN",140995,"HIMANSHU KUMAR","Rashtra Sewa Dal",430,13,0.00304975353735948
"48889",212,"Dehri","GEN",145655,"PRADEEP KUMAR JOSHI","Rashtra Sewa Dal",29541,3,0.202814870756239
"49024",220,"Obra","GEN",160747,"SHIV KUMAR","Rashtra Sewa Dal",719,16,0.00447286730078944
"49035",221,"Nabinagar","GEN",135315,"DHANJAY KUMAR SINGH","Rashtra Sewa Dal",1628,8,0.0120311864907808
